sample	Run	BioProject	BioSample
PD1	ERR15755151	PRJEB101301	SAMEA120417475
PD2	ERR15755152	PRJEB101301	SAMEA120417476
PD3	ERR15755153	PRJEB101301	SAMEA120417477
PD4	ERR15755154	PRJEB101301	SAMEA120417478
PD5	ERR15755155	PRJEB101301	SAMEA120417479
PD6	ERR15755156	PRJEB101301	SAMEA120417480
PD7	ERR15755157	PRJEB101301	SAMEA120417481
PD8	ERR15755158	PRJEB101301	SAMEA120417482
PD9	ERR15755159	PRJEB101301	SAMEA120417483
PD10	ERR15755160	PRJEB101301	SAMEA120417484
PD11	ERR15755161	PRJEB101301	SAMEA120417485
PD12	ERR15755162	PRJEB101301	SAMEA120417486
PD13	ERR15755163	PRJEB101301	SAMEA120417487
PD14	ERR15755164	PRJEB101301	SAMEA120417488
PD15	ERR15755165	PRJEB101301	SAMEA120417489
PD16	ERR15755166	PRJEB101301	SAMEA120417490
PD17	ERR15755167	PRJEB101301	SAMEA120417491
PD18	ERR15755168	PRJEB101301	SAMEA120417492
PD19	ERR15755169	PRJEB101301	SAMEA120417493
PD20	ERR15755170	PRJEB101301	SAMEA120417494
PD21	ERR15755171	PRJEB101301	SAMEA120417495
PD22	ERR15755172	PRJEB101301	SAMEA120417496
PD23	ERR15755173	PRJEB101301	SAMEA120417497
PD24	ERR15755174	PRJEB101301	SAMEA120417498
PD25	ERR15755175	PRJEB101301	SAMEA120417499
PD26	ERR15755176	PRJEB101301	SAMEA120417500
PD27	ERR15755177	PRJEB101301	SAMEA120417501
PD28	ERR15755178	PRJEB101301	SAMEA120417502
PD29	ERR15755179	PRJEB101301	SAMEA120417503
PD30	ERR15755180	PRJEB101301	SAMEA120417504
PD31	ERR15755181	PRJEB101301	SAMEA120417505
PD32	ERR15755182	PRJEB101301	SAMEA120417506
PD33	ERR15755183	PRJEB101301	SAMEA120417507
PD34	ERR15755184	PRJEB101301	SAMEA120417508
PD35	ERR15755185	PRJEB101301	SAMEA120417509
PD36	ERR15755186	PRJEB101301	SAMEA120417510
PD37	ERR15755187	PRJEB101301	SAMEA120417511
PD38	ERR15755188	PRJEB101301	SAMEA120417512
PD39	ERR15755189	PRJEB101301	SAMEA120417513
PD40	ERR15755190	PRJEB101301	SAMEA120417514
PD41	ERR15755191	PRJEB101301	SAMEA120417515
PD42	ERR15755192	PRJEB101301	SAMEA120417516
PD43	ERR15755193	PRJEB101301	SAMEA120417517
PD44	ERR15755194	PRJEB101301	SAMEA120417518
PD45	ERR15755195	PRJEB101301	SAMEA120417519
PD46	ERR15755196	PRJEB101301	SAMEA120417520
PD47	ERR15755197	PRJEB101301	SAMEA120417521
PD48	ERR15755198	PRJEB101301	SAMEA120417522
PD49	ERR15755199	PRJEB101301	SAMEA120417523
PD50	ERR15755200	PRJEB101301	SAMEA120417524
PD51	ERR15755201	PRJEB101301	SAMEA120417525
PD52	ERR15755202	PRJEB101301	SAMEA120417526
PD53	ERR15755203	PRJEB101301	SAMEA120417527
PD54	ERR15755204	PRJEB101301	SAMEA120417528
PD55	ERR15755205	PRJEB101301	SAMEA120417529
PD56	ERR15755206	PRJEB101301	SAMEA120417530
PD57	ERR15755207	PRJEB101301	SAMEA120417531
PD58	ERR15755208	PRJEB101301	SAMEA120417532
PD59	ERR15755209	PRJEB101301	SAMEA120417533
PD60	ERR15755210	PRJEB101301	SAMEA120417534
PD61	ERR15755211	PRJEB101301	SAMEA120417535
PD62	ERR15755212	PRJEB101301	SAMEA120417536
PD63	ERR15755213	PRJEB101301	SAMEA120417537
PD64	ERR15755214	PRJEB101301	SAMEA120417538
PD65	ERR15755215	PRJEB101301	SAMEA120417539
PD66	ERR15755216	PRJEB101301	SAMEA120417540
PD67	ERR15755217	PRJEB101301	SAMEA120417541
PD69	ERR15755219	PRJEB101301	SAMEA120417543
PD70	ERR15755220	PRJEB101301	SAMEA120417544
PD71	ERR15755221	PRJEB101301	SAMEA120417545
PD72	ERR15755222	PRJEB101301	SAMEA120417546
PD73	ERR15755223	PRJEB101301	SAMEA120417547
PD74	ERR15755224	PRJEB101301	SAMEA120417548
PD75	ERR15755225	PRJEB101301	SAMEA120417549
PD76	ERR15755226	PRJEB101301	SAMEA120417550
PD77	ERR15755227	PRJEB101301	SAMEA120417551
PD78	ERR15755228	PRJEB101301	SAMEA120417552
PD79	ERR15755229	PRJEB101301	SAMEA120417553
PD80	ERR15755230	PRJEB101301	SAMEA120417554
PD81	ERR15755231	PRJEB101301	SAMEA120417555
PD82	ERR15755232	PRJEB101301	SAMEA120417556
PD83	ERR15755233	PRJEB101301	SAMEA120417557
PD84	ERR15755234	PRJEB101301	SAMEA120417558
PD85	ERR15755235	PRJEB101301	SAMEA120417559
PD86	ERR15755236	PRJEB101301	SAMEA120417560
PD87	ERR15755237	PRJEB101301	SAMEA120417561
PD88	ERR15755238	PRJEB101301	SAMEA120417562
PD89	ERR15755239	PRJEB101301	SAMEA120417563
PD90	ERR15755240	PRJEB101301	SAMEA120417564
PD91	ERR15755241	PRJEB101301	SAMEA120417565
PD92	ERR15755242	PRJEB101301	SAMEA120417566
PD94	ERR15755244	PRJEB101301	SAMEA120417568
PD96	ERR15755246	PRJEB101301	SAMEA120417570
PD97	ERR15755247	PRJEB101301	SAMEA120417571
PD98	ERR15755248	PRJEB101301	SAMEA120417572
PD99	ERR15755249	PRJEB101301	SAMEA120417573
PD100	ERR15755250	PRJEB101301	SAMEA120417574
PD101	ERR15755251	PRJEB101301	SAMEA120417575
PD102	ERR15755252	PRJEB101301	SAMEA120417576
PD103	ERR15755253	PRJEB101301	SAMEA120417577
PD104	ERR15755254	PRJEB101301	SAMEA120417578
PD105	ERR15755255	PRJEB101301	SAMEA120417579
PD106	ERR15755256	PRJEB101301	SAMEA120417580
PD107	ERR15755257	PRJEB101301	SAMEA120417581
PD108	ERR15755258	PRJEB101301	SAMEA120417582
PD109	ERR15755259	PRJEB101301	SAMEA120417583
PD110	ERR15755260	PRJEB101301	SAMEA120417584
PD111	ERR15755261	PRJEB101301	SAMEA120417585
PD112	ERR15755262	PRJEB101301	SAMEA120417586
PD113	ERR15755263	PRJEB101301	SAMEA120417587
PD114	ERR15755264	PRJEB101301	SAMEA120417588
PD115	ERR15755265	PRJEB101301	SAMEA120417589
PD116	ERR15755266	PRJEB101301	SAMEA120417590
PD118	ERR15755268	PRJEB101301	SAMEA120417592
PD119	ERR15755269	PRJEB101301	SAMEA120417593
PD120	ERR15755270	PRJEB101301	SAMEA120417594
PD121	ERR15755271	PRJEB101301	SAMEA120417595
PD122	ERR15755272	PRJEB101301	SAMEA120417596
PD123	ERR15755273	PRJEB101301	SAMEA120417597
PD124	ERR15755274	PRJEB101301	SAMEA120417598
PD125	ERR15755275	PRJEB101301	SAMEA120417599
PD126	ERR15755276	PRJEB101301	SAMEA120417600
PD127	ERR15755277	PRJEB101301	SAMEA120417601
PD128	ERR15755278	PRJEB101301	SAMEA120417602
PD130	ERR15755280	PRJEB101301	SAMEA120417604
PD131	ERR15755281	PRJEB101301	SAMEA120417605
PD133	ERR15755283	PRJEB101301	SAMEA120417607
PD134	ERR15755284	PRJEB101301	SAMEA120417608
PD135	ERR15755285	PRJEB101301	SAMEA120417609
PD136	ERR15755286	PRJEB101301	SAMEA120417610
PD137	ERR15755287	PRJEB101301	SAMEA120417611
PD138	ERR15755288	PRJEB101301	SAMEA120417612
PD139	ERR15755289	PRJEB101301	SAMEA120417613
PD140	ERR15755290	PRJEB101301	SAMEA120417614
PD141	ERR15755291	PRJEB101301	SAMEA120417615
PD142	ERR15755292	PRJEB101301	SAMEA120417616
PD143	ERR15755293	PRJEB101301	SAMEA120417617
PD144	ERR15755294	PRJEB101301	SAMEA120417618
PD145	ERR15755295	PRJEB101301	SAMEA120417619
PD146	ERR15755296	PRJEB101301	SAMEA120417620
PD147	ERR15755297	PRJEB101301	SAMEA120417621
PD148	ERR15755298	PRJEB101301	SAMEA120417622
PD149	ERR15755299	PRJEB101301	SAMEA120417623
PD150	ERR15755300	PRJEB101301	SAMEA120417624
PD151	ERR15755301	PRJEB101301	SAMEA120417625
PD152	ERR15755302	PRJEB101301	SAMEA120417626
PD153	ERR15755303	PRJEB101301	SAMEA120417627
PD154	ERR15755304	PRJEB101301	SAMEA120417628
PD155	ERR15755305	PRJEB101301	SAMEA120417629
PD156	ERR15755306	PRJEB101301	SAMEA120417630
PD157	ERR15755307	PRJEB101301	SAMEA120417631
PD158	ERR15755308	PRJEB101301	SAMEA120417632
PD159	ERR15755309	PRJEB101301	SAMEA120417633
PD160	ERR15755310	PRJEB101301	SAMEA120417634
PD161	ERR15755311	PRJEB101301	SAMEA120417635
PD162	ERR15755312	PRJEB101301	SAMEA120417636
PD163	ERR15755313	PRJEB101301	SAMEA120417637
PD164	ERR15755314	PRJEB101301	SAMEA120417638
PD166	ERR15755316	PRJEB101301	SAMEA120417640
PD167	ERR15755317	PRJEB101301	SAMEA120417641
PD168	ERR15755318	PRJEB101301	SAMEA120417642
PD169	ERR15755319	PRJEB101301	SAMEA120417643
PD170	ERR15755320	PRJEB101301	SAMEA120417644
PD171	ERR15755321	PRJEB101301	SAMEA120417645
PD172	ERR15755322	PRJEB101301	SAMEA120417646
PD173	ERR15755323	PRJEB101301	SAMEA120417647
PD174	ERR15755324	PRJEB101301	SAMEA120417648
PD175	ERR15755325	PRJEB101301	SAMEA120417649
PD176	ERR15755326	PRJEB101301	SAMEA120417650
PD177	ERR15755327	PRJEB101301	SAMEA120417651
PD178	ERR15755328	PRJEB101301	SAMEA120417652
PD179	ERR15755329	PRJEB101301	SAMEA120417653
PD180	ERR15755330	PRJEB101301	SAMEA120417654
PD181	ERR15755331	PRJEB101301	SAMEA120417655
PD182	ERR15755332	PRJEB101301	SAMEA120417656
PD183	ERR15755333	PRJEB101301	SAMEA120417657
PD184	ERR15755334	PRJEB101301	SAMEA120417658
PD185	ERR15755335	PRJEB101301	SAMEA120417659
PD186	ERR15755336	PRJEB101301	SAMEA120417660
PD187	ERR15755337	PRJEB101301	SAMEA120417661
PD188	ERR15755338	PRJEB101301	SAMEA120417662
PD189	ERR15755339	PRJEB101301	SAMEA120417663
PD190	ERR15755340	PRJEB101301	SAMEA120417664
PD191	ERR15755341	PRJEB101301	SAMEA120417665
PD192	ERR15755342	PRJEB101301	SAMEA120417666
PD193	ERR15755343	PRJEB101301	SAMEA120417667
PD194	ERR15755344	PRJEB101301	SAMEA120417668
PD195	ERR15755345	PRJEB101301	SAMEA120417669
PD196	ERR15755346	PRJEB101301	SAMEA120417670
PD197	ERR15755347	PRJEB101301	SAMEA120417671
PD198	ERR15755348	PRJEB101301	SAMEA120417672
PD199	ERR15755349	PRJEB101301	SAMEA120417673
PD200	ERR15755350	PRJEB101301	SAMEA120417674
PD201	ERR15755351	PRJEB101301	SAMEA120417675
PD202	ERR15755352	PRJEB101301	SAMEA120417676
PD204	ERR15755354	PRJEB101301	SAMEA120417678
PD205	ERR15755355	PRJEB101301	SAMEA120417679
PD207	ERR15755357	PRJEB101301	SAMEA120417681
PD208	ERR15755358	PRJEB101301	SAMEA120417682
PD209	ERR15755359	PRJEB101301	SAMEA120417683
PD210	ERR15755360	PRJEB101301	SAMEA120417684
PD211	ERR15755361	PRJEB101301	SAMEA120417685
PD212	ERR15755362	PRJEB101301	SAMEA120417686
PD213	ERR15755363	PRJEB101301	SAMEA120417687
PD214	ERR15755364	PRJEB101301	SAMEA120417688
PD215	ERR15755365	PRJEB101301	SAMEA120417689
PD216	ERR15755366	PRJEB101301	SAMEA120417690
PD217	ERR15755367	PRJEB101301	SAMEA120417691
PD219	ERR15755369	PRJEB101301	SAMEA120417693
PD220	ERR15755370	PRJEB101301	SAMEA120417694
PD221	ERR15755371	PRJEB101301	SAMEA120417695
PD222	ERR15755372	PRJEB101301	SAMEA120417696
PD223	ERR15755373	PRJEB101301	SAMEA120417697
PD224	ERR15755374	PRJEB101301	SAMEA120417698
PD225	ERR15755375	PRJEB101301	SAMEA120417699
PD226	ERR15755376	PRJEB101301	SAMEA120417700
PD227	ERR15755377	PRJEB101301	SAMEA120417701
PD229	ERR15755379	PRJEB101301	SAMEA120417703
PD230	ERR15755380	PRJEB101301	SAMEA120417704
PD231	ERR15755381	PRJEB101301	SAMEA120417705
PD232	ERR15755382	PRJEB101301	SAMEA120417706
PD233	ERR15755383	PRJEB101301	SAMEA120417707
PD234	ERR15755384	PRJEB101301	SAMEA120417708
PD235	ERR15755385	PRJEB101301	SAMEA120417709
PD236	ERR15755386	PRJEB101301	SAMEA120417710
PD237	ERR15755387	PRJEB101301	SAMEA120417711
PD238	ERR15755388	PRJEB101301	SAMEA120417712
PD239	ERR15755389	PRJEB101301	SAMEA120417713
PD240	ERR15755390	PRJEB101301	SAMEA120417714
PD241	ERR15755391	PRJEB101301	SAMEA120417715
PD242	ERR15755392	PRJEB101301	SAMEA120417716
PD243	ERR15755393	PRJEB101301	SAMEA120417717
PD244	ERR15755394	PRJEB101301	SAMEA120417718
PD245	ERR15755395	PRJEB101301	SAMEA120417719
PD246	ERR15755396	PRJEB101301	SAMEA120417720
PD248	ERR15755398	PRJEB101301	SAMEA120417722
PD249	ERR15755399	PRJEB101301	SAMEA120417723
PD250	ERR15755400	PRJEB101301	SAMEA120417724
PD251	ERR15755401	PRJEB101301	SAMEA120417725
PD252	ERR15755402	PRJEB101301	SAMEA120417726
PD253	ERR15755403	PRJEB101301	SAMEA120417727
PD254	ERR15755404	PRJEB101301	SAMEA120417728
PD255	ERR15755405	PRJEB101301	SAMEA120417729
PD256	ERR15755406	PRJEB101301	SAMEA120417730
PD257	ERR15755407	PRJEB101301	SAMEA120417731
PD258	ERR15755408	PRJEB101301	SAMEA120417732
PD259	ERR15755409	PRJEB101301	SAMEA120417733
PD260	ERR15755410	PRJEB101301	SAMEA120417734
PD261	ERR15755411	PRJEB101301	SAMEA120417735
CT1	ERR15755412	PRJEB101301	SAMEA120417736
CT2	ERR15755413	PRJEB101301	SAMEA120417737
CT3	ERR15755414	PRJEB101301	SAMEA120417738
CT4	ERR15755415	PRJEB101301	SAMEA120417739
CT5	ERR15755416	PRJEB101301	SAMEA120417740
CT6	ERR15755417	PRJEB101301	SAMEA120417741
CT7	ERR15755418	PRJEB101301	SAMEA120417742
CT8	ERR15755419	PRJEB101301	SAMEA120417743
CT9	ERR15755420	PRJEB101301	SAMEA120417744
CT10	ERR15755421	PRJEB101301	SAMEA120417745
CT11	ERR15755422	PRJEB101301	SAMEA120417746
CT12	ERR15755423	PRJEB101301	SAMEA120417747
CT13	ERR15755424	PRJEB101301	SAMEA120417748
CT14	ERR15755425	PRJEB101301	SAMEA120417749
CT15	ERR15755426	PRJEB101301	SAMEA120417750
CT16	ERR15755427	PRJEB101301	SAMEA120417751
CT17	ERR15755428	PRJEB101301	SAMEA120417752
CT18	ERR15755429	PRJEB101301	SAMEA120417753
CT19	ERR15755430	PRJEB101301	SAMEA120417754
CT20	ERR15755431	PRJEB101301	SAMEA120417755
CT21	ERR15755432	PRJEB101301	SAMEA120417756
CT22	ERR15755433	PRJEB101301	SAMEA120417757
CT23	ERR15755434	PRJEB101301	SAMEA120417758
CT24	ERR15755435	PRJEB101301	SAMEA120417759
CT25	ERR15755436	PRJEB101301	SAMEA120417760
CT26	ERR15755437	PRJEB101301	SAMEA120417761
CT27	ERR15755438	PRJEB101301	SAMEA120417762
CT28	ERR15755439	PRJEB101301	SAMEA120417763
CT29	ERR15755440	PRJEB101301	SAMEA120417764
CT30	ERR15755441	PRJEB101301	SAMEA120417765
CT31	ERR15755442	PRJEB101301	SAMEA120417766
CT32	ERR15755443	PRJEB101301	SAMEA120417767
CT33	ERR15755444	PRJEB101301	SAMEA120417768
CT34	ERR15755445	PRJEB101301	SAMEA120417769
CT35	ERR15755446	PRJEB101301	SAMEA120417770
CT36	ERR15755447	PRJEB101301	SAMEA120417771
CT37	ERR15755448	PRJEB101301	SAMEA120417772
CT38	ERR15755449	PRJEB101301	SAMEA120417773
CT39	ERR15755450	PRJEB101301	SAMEA120417774
CT40	ERR15755451	PRJEB101301	SAMEA120417775
CT41	ERR15755452	PRJEB101301	SAMEA120417776
CT42	ERR15755453	PRJEB101301	SAMEA120417777
CT43	ERR15755454	PRJEB101301	SAMEA120417778
CT44	ERR15755455	PRJEB101301	SAMEA120417779
CT45	ERR15755456	PRJEB101301	SAMEA120417780
CT46	ERR15755457	PRJEB101301	SAMEA120417781
CT47	ERR15755458	PRJEB101301	SAMEA120417782
CT48	ERR15755459	PRJEB101301	SAMEA120417783
CT49	ERR15755460	PRJEB101301	SAMEA120417784
CT50	ERR15755461	PRJEB101301	SAMEA120417785
CT51	ERR15755462	PRJEB101301	SAMEA120417786
CT52	ERR15755463	PRJEB101301	SAMEA120417787
CT53	ERR15755464	PRJEB101301	SAMEA120417788
CT54	ERR15755465	PRJEB101301	SAMEA120417789
CT55	ERR15755466	PRJEB101301	SAMEA120417790
CT56	ERR15755467	PRJEB101301	SAMEA120417791
CT57	ERR15755468	PRJEB101301	SAMEA120417792
PV1	ERR15755469	PRJEB101301	SAMEA120417793
PV3	ERR15755471	PRJEB101301	SAMEA120417795
PV4	ERR15755472	PRJEB101301	SAMEA120417796
PV5	ERR15755473	PRJEB101301	SAMEA120417797
PV6	ERR15755474	PRJEB101301	SAMEA120417798
PV7	ERR15755475	PRJEB101301	SAMEA120417799
PV8	ERR15755476	PRJEB101301	SAMEA120417800
PV9	ERR15755477	PRJEB101301	SAMEA120417801
PV10	ERR15755478	PRJEB101301	SAMEA120417802
PV11	ERR15755479	PRJEB101301	SAMEA120417803
PV12	ERR15755480	PRJEB101301	SAMEA120417804
PV13	ERR15755481	PRJEB101301	SAMEA120417805
PV14	ERR15755482	PRJEB101301	SAMEA120417806
PV15	ERR15755483	PRJEB101301	SAMEA120417807
PV16	ERR15755484	PRJEB101301	SAMEA120417808
PV17	ERR15755485	PRJEB101301	SAMEA120417809
PV18	ERR15755486	PRJEB101301	SAMEA120417810
PV19	ERR15755487	PRJEB101301	SAMEA120417811
PV20	ERR15755488	PRJEB101301	SAMEA120417812
PV21	ERR15755489	PRJEB101301	SAMEA120417813
PV22	ERR15755490	PRJEB101301	SAMEA120417814
PV23	ERR15755491	PRJEB101301	SAMEA120417815
PV24	ERR15755492	PRJEB101301	SAMEA120417816
PV25	ERR15755493	PRJEB101301	SAMEA120417817
PV26	ERR15755494	PRJEB101301	SAMEA120417818
PV27	ERR15755495	PRJEB101301	SAMEA120417819
PV28	ERR15755496	PRJEB101301	SAMEA120417820
PV29	ERR15755497	PRJEB101301	SAMEA120417821
