	chao1
CT1	131.5
CT10	226.05555555555554
CT11	173.75
CT12	211.66666666666666
CT13	287.2307692307692
CT14	214.88235294117646
CT15	290.5
CT16	262.0357142857143
CT17	200.36363636363637
CT18	257.4761904761905
CT19	283.3157894736842
CT2	208.25
CT20	209.05555555555554
CT21	145.14285714285714
CT22	218.4375
CT23	250.5
CT24	262.0
CT25	159.33333333333334
CT26	274.7894736842105
CT27	178.9090909090909
CT28	200.76923076923077
CT29	146.33333333333334
CT3	134.3
CT30	233.15384615384616
CT31	267.05263157894734
CT32	217.4375
CT33	242.0
CT34	253.9375
CT35	225.0
CT36	229.95454545454547
CT37	286.04347826086956
CT38	226.63636363636363
CT39	152.75
CT4	194.4
CT40	170.5625
CT41	150.0
CT42	326.14285714285717
CT43	319.42857142857144
CT44	235.2
CT45	167.0909090909091
CT46	238.66666666666666
CT47	190.3
CT48	155.375
CT49	242.1
CT5	148.05555555555554
CT50	83.0
CT51	157.0
CT52	249.05263157894737
CT53	247.83333333333334
CT54	111.0
CT55	86.75
CT56	80.2
CT57	127.42857142857143
CT6	145.83333333333334
CT7	203.83333333333334
CT8	212.12
CT9	243.73076923076923
PD1	249.04761904761904
PD10	54.142857142857146
PD100	156.0
PD101	292.7
PD102	207.21428571428572
PD103	292.1363636363636
PD104	198.4
PD105	297.9130434782609
PD106	248.8
PD107	148.54545454545453
PD108	141.57142857142858
PD109	191.33333333333334
PD11	177.27272727272728
PD110	107.875
PD111	177.58823529411765
PD112	165.11111111111111
PD113	356.1290322580645
PD114	147.0
PD115	162.1764705882353
PD116	67.75
PD117	163.53846153846155
PD118	275.4
PD119	118.42857142857143
PD12	124.0
PD120	179.0909090909091
PD121	139.375
PD122	170.85714285714286
PD123	111.76923076923077
PD124	103.33333333333333
PD125	130.875
PD126	244.75
PD127	133.0
PD128	182.57142857142858
PD129	185.0
PD13	115.3
PD130	97.42857142857143
PD131	223.1764705882353
PD132	147.0
PD133	90.6
PD134	134.16666666666666
PD135	116.5
PD136	102.42857142857143
PD137	142.0
PD138	72.6
PD139	94.0
PD14	131.0
PD140	64.0
