	observed_features
CT1	124
CT10	221
CT11	165
CT12	199
CT13	263
CT14	211
CT15	279
CT16	253
CT17	188
CT18	242
CT19	270
CT2	206
CT20	204
CT21	140
CT22	204
CT23	245
CT24	249
CT25	157
CT26	259
CT27	168
CT28	189
CT29	144
CT3	134
CT30	220
CT31	259
CT32	214
CT33	228
CT34	232
CT35	218
CT36	223
CT37	276
CT38	218
CT39	149
CT4	183
CT40	161
CT41	139
CT42	279
CT43	307
CT44	225
CT45	163
CT46	233
CT47	187
CT48	144
CT49	207
CT5	145
CT50	78
CT51	146
CT52	241
CT53	235
CT54	107
CT55	83
CT56	79
CT57	126
CT6	140
CT7	198
CT8	206
CT9	234
PD1	210
PD10	49
PD100	137
PD101	268
PD102	195
PD103	253
PD104	154
PD105	279
PD106	224
PD107	148
PD108	139
PD109	180
PD11	169
PD110	101
PD111	152
PD112	155
PD113	315
PD114	130
PD115	156
PD116	64
PD117	149
PD118	258
PD119	112
PD12	94
PD120	175
PD121	128
PD122	163
PD123	109
PD124	85
PD125	129
PD126	236
PD127	129
PD128	169
PD129	175
PD13	100
PD130	97
PD131	217
PD132	141
PD133	75
PD134	134
PD135	115
PD136	101
PD137	130
PD138	67
PD139	93
PD14	118
PD140	58
PD141	218
PD142	57
PD143	143
PD144	117
PD145	81
PD146	158
PD147	124
PD148	120
PD149	97
PD15	191
PD150	103
PD151	63
PD152	77
PD153	124
PD154	76
PD155	128
PD156	159
PD157	133
PD158	158
PD159	96
PD16	117
PD160	143
PD161	135
PD162	98
PD163	108
PD164	135
PD165	79
PD166	325
PD167	79
PD168	198
PD169	133
PD17	143
PD170	165
PD171	103
PD172	146
PD173	66
PD174	148
PD175	102
PD176	159
PD177	161
PD178	111
PD179	185
PD18	176
PD180	126
PD181	97
PD182	69
PD183	93
PD184	321
PD185	131
PD186	151
PD187	79
PD188	100
PD189	107
PD19	114
PD190	159
PD191	63
PD192	125
PD193	108
PD194	71
PD195	111
PD196	240
PD197	120
PD198	254
PD199	136
PD2	185
PD20	103
PD200	105
PD201	157
PD202	175
PD203	68
PD204	106
PD205	112
PD206	88
PD207	144
PD208	110
PD209	62
PD21	90
PD210	74
PD211	96
PD212	183
PD213	129
PD214	95
PD215	143
PD216	97
PD217	91
PD218	183
PD219	78
PD220	125
PD221	131
PD222	196
PD223	174
PD224	159
PD225	93
PD226	51
PD227	113
PD228	168
PD229	106
PD23	81
PD230	101
PD231	176
PD232	131
PD233	205
PD234	127
PD235	96
PD236	111
PD237	206
PD238	180
PD239	156
PD24	141
PD240	146
PD241	90
PD242	110
PD243	175
PD244	107
PD245	101
PD246	172
PD247	91
PD248	71
PD249	123
PD25	130
PD250	149
PD251	55
PD252	95
