	simpson_e
CT1	0.106516987064935
CT10	0.07913153682756718
CT11	0.17011826417583584
CT12	0.1990002173360974
CT13	0.0880682056266206
CT14	0.16171522986878742
CT15	0.21415005022889425
CT16	0.0879970588003862
CT17	0.12811866978464462
CT18	0.15629113778110318
CT19	0.15909899565895205
CT2	0.1714592828234038
CT20	0.12544729109771932
CT21	0.16893263898865302
CT22	0.14234525954300842
CT23	0.20761989083263088
CT24	0.14163943103293247
CT25	0.10148627440458455
CT26	0.17082228487535697
CT27	0.08579001977109933
CT28	0.10011628105579505
CT29	0.10431341477857717
CT3	0.18267106438242395
CT30	0.15259880650642246
CT31	0.18680348452759044
CT32	0.13206459964191367
CT33	0.1549134340012878
CT34	0.16058258230358358
CT35	0.1399296185362997
CT36	0.21469009135368244
CT37	0.1319365370479907
CT38	0.13803812465025975
CT39	0.12958204945274485
CT4	0.13774525204651014
CT40	0.11808628060531584
CT41	0.10670277397484941
CT42	0.059497243791966255
CT43	0.022636163516997456
CT44	0.06305570003192826
CT45	0.14019268593055675
CT46	0.049155118770947595
CT47	0.10487225484419364
CT48	0.113776354062402
CT49	0.13690656398630557
CT5	0.08166118581285847
CT50	0.04190052944369309
CT51	0.07193414949991997
CT52	0.0912484170612414
CT53	0.17295964180473283
CT54	0.08682906573106149
CT55	0.11954880149564923
CT56	0.0926587038914584
CT57	0.20869620385779106
CT6	0.10781069046494222
CT7	0.1312318515535531
CT8	0.13647713695423375
CT9	0.15289610636793752
PD1	0.11341865137964716
PD10	0.11417729152967773
PD100	0.14988855950478233
PD101	0.14930867693639616
PD102	0.2004805840368297
PD103	0.09157788235235251
PD104	0.08810500805958184
PD105	0.1940280321533786
PD106	0.16672352161051615
PD107	0.15970294128612073
PD108	0.13827395618276425
PD109	0.139430926616109
PD11	0.15620356556132003
PD110	0.08504332136555524
PD111	0.10792633076446792
PD112	0.17435406222386132
PD113	0.17345397265276102
PD114	0.11056290093701175
PD115	0.1371338589048815
PD116	0.09374646013366536
PD117	0.04730344784500269
PD118	0.18071403091782862
PD119	0.06315799642786457
PD12	0.035717988598163684
PD120	0.12403081545610008
PD121	0.10618159696578187
PD122	0.13729094244836454
PD123	0.14083217297246337
PD124	0.055463171167599155
PD125	0.11054384505279714
PD126	0.11322067085548126
PD127	0.14380484058712845
PD128	0.061955934503273934
PD129	0.11309536297136803
PD13	0.043327056975859805
PD130	0.0759612149996947
PD131	0.14205647280062617
PD132	0.047129234694759596
PD133	0.0725688430679538
PD134	0.2303534364374429
PD135	0.14920822060900948
PD136	0.10623674023390241
PD137	0.1660776391040563
PD138	0.11554389299663093
PD139	0.18558898764239767
PD14	0.058251036172343985
PD140	0.14228443742679892
PD141	0.12995851110921222
PD142	0.122442171707137
PD143	0.11843492949643258
PD144	0.15228284254979252
PD145	0.14576584447617008
PD146	0.2508827283709459
PD147	0.1291540555050196
PD148	0.19306346150430417
PD149	0.1505035338034082
PD15	0.1129425738333163
PD150	0.17167472453459967
PD151	0.1561217391609532
PD152	0.11317634705611931
PD153	0.13286103679396158
PD154	0.05606122531629856
PD155	0.03760397710251117
PD156	0.11844159991150044
PD157	0.053769163460247446
PD158	0.1579283370101261
PD159	0.15248770143991328
PD16	0.06520222240418859
PD160	0.17243003541819835
PD161	0.12970748005916113
PD162	0.07756144652805136
PD163	0.11629132200477235
PD164	0.16544606351616664
PD165	0.1708747589140842
PD166	0.2173084909163964
PD167	0.10818021764959732
PD168	0.1027538335657111
PD169	0.10032708918532046
PD17	0.0607953603354443
PD170	0.20354092411121152
PD171	0.06380738589991329
PD172	0.10726685947126638
PD173	0.05429376731722782
PD174	0.1744098646889202
PD175	0.10353567625291898
PD176	0.15001002186954107
PD177	0.12991187173553553
PD178	0.14968174607277307
PD179	0.1349832789463205
PD18	0.03333339697789929
PD180	0.0983925200746815
PD181	0.18679680575967778
PD182	0.11417494788410289
PD183	0.13892135828335364
PD184	0.12433466840418894
PD185	0.052435791099608824
PD186	0.1356708866327152
PD187	0.1474643170048445
PD188	0.17724644806980389
PD189	0.1440211033085726
PD19	0.09347639738913391
PD190	0.18052255046721816
PD191	0.3267083864128281
PD192	0.08081271733570167
PD193	0.11153237334653593
PD194	0.07837506495176759
PD195	0.14203592199823498
PD196	0.1692275533865547
PD197	0.15378144261510138
PD198	0.20306017697279236
PD199	0.1658765942366297
PD2	0.11350004105863983
PD20	0.10757365891146646
PD200	0.21295094838876097
PD201	0.041245481863709535
PD202	0.04530825128952947
PD203	0.2681817864876071
PD204	0.12440457606209737
PD205	0.1987241211910627
PD206	0.10068131610423108
PD207	0.20860589779939803
PD208	0.2361111957176229
PD209	0.09918320685166795
PD21	0.08749223287702634
PD210	0.23426195835613253
PD211	0.14642880069423653
PD212	0.13738004499949316
PD213	0.12017204310378912
PD214	0.18473968543376165
PD215	0.2055191518796767
PD216	0.06143751165377441
PD217	0.09321790172991172
PD218	0.11548575140956596
PD219	0.09990520155272982
PD220	0.17027935605455924
PD221	0.12138385361689893
PD222	0.1214296890674296
PD223	0.15661861757833237
PD224	0.22644833695548774
PD225	0.14577437506955443
PD226	0.12397292614772866
PD227	0.06855030257466037
PD228	0.10717329007030549
PD229	0.1054856357614837
PD23	0.09053003769087756
PD230	0.11475584945966875
PD231	0.11525308785150949
