Feature ID	Taxon	Consensus
02014c4dc74af5c4e3d98a58415b712a	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	1.0
04f53f4cb25a2dc23706058a639e08a3	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A	1.0
063fc40beca33d274624a036dd3c03f9	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1.0
084691dd0c1424493e0d1464db4195f2	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UMGS416;g__CALWDW01;s__CALWDW01 sp944376795	1.0
0cb5b76c928f0d83b8daa5f85fa755d4	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	1.0
0dc864b78e88f4854b5d1e10ea290bf7	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G segne	1.0
0f444e19edfca5482dc8c5caec57ca6d	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__QALW01;g__Neochristensenella;s__Neochristensenella gallicola	1.0
0f507cbd3d1dc61090c37c9fe7b17290	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1.0
12bab2c3fdb3bfd5f8cb8e8194e7336a	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia	1.0
17dacc24d3e20d974123fe1d8ab80e9d	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G	1.0
185b5fb7f2ff65c16eb6ca876eeaadde	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	1.0
19c8480756b9044c5d1cbe2a9f7ef60d	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G segne	1.0
1a81eeb34907bd8c65fd7fba345dff13	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera sp900322125	1.0
1c0f6bb7da80796ac35c451115f45672	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp000432195	1.0
200d1592e7d178d4a156fe6e851f4d2e	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B	1.0
2197e3ba09521f3b9e56febd16667e87	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinatimonas;s__Succinatimonas hippei	1.0
26639d9f66c6c2106996b1c162605ff8	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	1.0
2a546fb6671c088f7eafcd2032ee2348	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_C;s__Thioglobus_C sp003489145	1.0
2bf7bca53d799dbf455958c68592f884	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636	1.0
31b6ba51cd36473228f06c034827c25c	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp000432195	1.0
328570863139dbbd4fc9d4fbf81ca528	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G segne	1.0
32d1b8c1e13d30df0aaa7f3d5db08681	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G sp000435815	1.0
3c0c9a6e0cd6d2d966a837242c7b8e0f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp900552905	1.0
3f37eceb9c118052c7274afd227d37fe	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1.0
3fe013cdc7d2cdc01285ca218a13d664	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp000432195	1.0
440f0421c62d496c568ea76483e05084	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B hominis	1.0
4dda9bc99ed0ce54cd71784519a4ba84	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__QALW01;g__Neochristensenella;s__Neochristensenella gallicola	1.0
4e15b67a98154f2bc2bfb0637289cb1a	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1.0
4fb70a1085fdb85176ac0fbb145ccfd6	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1.0
52c89507d1d4c6cd635c68c934df5fa9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	1.0
538e373d4a20df0b619ba46546c5c3b2	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1.0
5516aaab8aa9205bba9d87f9d36497b6	d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__UBA920;s__UBA920 sp002293685	1.0
557c89e0ed3dd8a5ee58b4097733b00e	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1.0
571000867ef8015b7a1804ae8ddd74e7	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia	1.0
582fae36f33acd1efdcaf7cacf00ef0a	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	1.0
58dff62cc5b5ce04e46eb7c791e753d2	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A	1.0
5aeebf31dab1010877cb560c21fa5ca2	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp000432195	1.0
5b90cbf85b6ba9d361b0f35ed2e666a0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	1.0
6127039c2a66ec5995f4b9cd2fbf5fce	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	1.0
65f71f180415e143a128f20833f24090	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp900552905	1.0
66230d1215eda44f2e1da4fd62dff1c5	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1.0
66581d13a217e302b56e432153250f1b	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira sp934747485	1.0
697d8730395a1735976383f329d7c402	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A	1.0
6a46ac4635218ff58b7aa30ca8236e31	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__QALW01;g__Neochristensenella;s__Neochristensenella gallicola	1.0
6a92da67780b5fcc9368efbb87b07c85	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira aalborgi	1.0
6b25a378e95a985d2094c08056c9f2c0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A	1.0
6b8697e9e8f1373747af88e176dae153	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	1.0
6c2eced1743d644c6d0336e857a15365	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__UBA852;s__UBA852 sp002295925	1.0
719ed3ab664c278998b0caa036c29564	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia	1.0
