	cluster
CT1	3
CT10	3
CT11	3
CT12	1
CT13	3
CT14	3
CT15	1
CT16	1
CT17	1
CT18	1
CT19	1
CT2	1
CT20	3
CT21	2
CT22	3
CT23	1
CT24	3
CT25	2
CT26	1
CT27	2
CT28	1
CT29	2
CT3	3
CT30	1
CT31	3
CT32	2
CT33	3
CT34	2
CT35	1
CT36	3
CT37	3
CT38	2
CT39	2
CT4	3
CT40	1
CT41	1
CT42	3
CT43	0
CT44	2
CT45	3
CT46	0
CT47	3
CT48	2
CT49	3
CT5	0
CT50	0
CT51	0
CT52	1
CT53	3
CT54	3
CT55	0
CT56	0
CT57	3
CT6	3
CT7	3
CT8	3
CT9	3
PD1	3
PD10	0
PD100	1
PD101	1
PD102	3
PD103	2
PD104	0
PD105	1
PD106	1
PD107	3
PD108	3
PD109	1
PD11	2
PD110	0
PD111	1
PD112	3
PD113	3
PD114	0
PD115	0
PD116	0
PD117	2
PD118	3
PD119	0
PD12	2
PD120	1
PD121	0
PD122	1
PD123	0
PD124	0
PD125	2
PD126	2
PD127	3
PD128	3
PD129	2
PD13	2
PD130	0
PD131	1
PD132	0
PD133	0
PD134	3
PD135	2
PD136	0
PD137	3
PD138	2
PD139	2
PD14	2
PD140	2
PD141	1
PD142	0
PD143	2
PD144	2
PD145	0
PD146	1
PD147	2
PD148	2
PD149	2
PD15	2
PD150	2
PD151	2
PD152	2
PD153	0
PD154	0
PD155	2
PD156	2
PD157	3
PD158	3
PD159	2
PD16	3
PD160	3
PD161	3
PD162	0
PD163	2
PD164	2
PD165	1
PD166	1
PD167	2
PD168	2
PD169	3
PD17	0
PD170	2
PD171	0
PD172	3
PD173	0
PD174	3
PD175	2
PD176	2
PD177	3
PD178	2
PD179	2
PD18	0
PD180	2
PD181	2
PD182	2
PD183	0
PD184	3
PD185	2
PD186	2
PD187	2
PD188	2
PD189	2
PD19	0
PD190	3
PD191	1
PD192	2
PD193	2
PD194	2
PD195	2
PD196	3
PD197	2
PD198	3
PD199	2
PD2	2
PD20	0
PD200	1
PD201	0
PD202	0
PD203	0
PD204	3
PD205	3
PD206	0
PD207	3
PD208	1
PD209	2
PD21	0
PD210	2
PD211	2
PD212	3
PD213	3
PD214	1
PD215	3
PD216	0
PD217	3
PD218	2
PD219	1
PD220	2
PD221	3
PD222	3
PD223	1
PD224	3
PD225	2
PD226	0
PD227	2
PD228	2
PD229	2
PD23	0
PD230	0
PD231	2
PD232	3
PD233	2
PD234	3
PD235	1
PD236	2
PD237	0
PD238	2
PD239	2
PD24	3
PD240	3
PD241	2
PD242	0
PD243	2
PD244	2
PD245	0
PD246	3
PD247	0
PD248	0
PD249	2
PD25	0
PD250	2
PD251	0
PD252	0
PD253	2
PD254	2
PD255	2
PD256	3
PD257	0
PD258	0
PD259	0
PD26	2
PD260	0
PD261	0
PD27	2
