	tSNE-1	tSNE-2	cluster
CT1	10.347387	14.635937	3
CT10	-12.639671	11.675117	3
CT11	-9.003944	9.390842	3
CT12	17.423843	35.18694	1
CT13	-6.4377637	6.93106	3
CT14	8.734602	6.947963	3
CT15	15.269305	31.211401	1
CT16	19.784365	38.780212	1
CT17	22.218355	37.08294	1
CT18	15.68573	27.246984	1
CT19	5.957377	21.782757	1
CT2	19.446335	39.92317	1
CT20	-4.7363663	8.843938	3
CT21	2.1754792	-7.677182	2
CT22	6.4362087	2.765092	3
CT23	21.346556	40.537373	1
CT24	-2.0966866	8.822776	3
CT25	-4.397803	-7.806484	2
CT26	21.5357	41.1288	1
CT27	13.075887	1.4205086	2
CT28	24.355347	39.089252	1
CT29	-2.9462838	-8.353136	2
CT3	-4.3108764	2.1432414	3
CT30	11.833048	28.472921	1
CT31	0.63332367	4.5065985	3
CT32	8.288473	0.60128576	2
CT33	-5.23269	5.685637	3
CT34	-2.3794556	-1.8037541	2
CT35	12.292333	30.504421	1
CT36	-1.0909506	5.4480677	3
CT37	-0.8294144	19.558245	3
CT38	-2.9778028	-0.2771637	2
CT39	-5.8291955	-15.615467	2
CT4	-12.72444	17.799906	3
CT40	14.342459	26.323479	1
CT41	5.4343114	31.35434	1
CT42	-8.074774	21.140297	3
CT43	-17.559803	-7.7821345	0
CT44	13.340633	-9.240143	2
CT45	-10.63944	18.51459	3
CT46	-20.684649	-0.62229055	0
CT47	-5.9684877	9.256437	3
CT48	18.265514	-10.009037	2
CT49	9.021186	7.5743604	3
CT5	-18.775705	6.3770185	0
CT50	-24.335144	-20.936869	0
CT51	-17.829203	-12.410611	0
CT52	18.163555	32.80753	1
CT53	-4.024585	6.9335914	3
CT54	-16.932112	16.071363	3
CT55	-32.421684	-13.232241	0
CT56	-20.87748	-15.574577	0
CT57	4.5997186	7.8907466	3
CT6	-19.127789	10.423027	3
CT7	-9.300264	19.922104	3
CT8	-3.57431	4.834331	3
CT9	-6.0443683	17.93822	3
PD1	-10.001865	11.047457	3
PD10	-28.771759	-20.039915	0
PD100	9.325827	26.017258	1
PD101	5.8799596	24.219496	1
PD102	9.450621	3.3863199	3
PD103	-4.8401036	-3.728401	2
PD104	-32.378067	-7.7830744	0
PD105	2.0030148	22.579102	1
PD106	18.658468	35.276	1
PD107	-5.37258	19.201248	3
PD108	-1.3981112	15.992469	3
PD109	23.421278	38.517742	1
PD11	17.595192	-2.2540402	2
PD110	-28.662823	3.060408	0
PD111	12.498914	34.432087	1
PD112	-10.019541	2.6163728	3
PD113	0.45109493	21.514458	3
PD114	-30.71979	-14.984041	0
PD115	-22.38211	-17.044271	0
PD116	-27.556559	-5.9631352	0
PD117	12.558729	-33.55922	2
PD118	5.3107734	8.490431	3
PD119	-24.56808	-14.553332	0
PD12	-1.273203	-31.059244	2
PD120	4.7442265	26.183313	1
PD121	-32.621544	-6.1727333	0
PD122	22.264486	44.536514	1
PD123	-24.82938	-6.509624	0
PD124	-26.26014	-8.261963	0
PD125	-0.33975795	-10.346115	2
PD126	16.111404	1.3241225	2
PD127	7.621531	8.966057	3
PD128	-13.104902	19.440287	3
PD129	-7.1075883	-13.36314	2
PD13	11.922005	-30.620234	2
PD130	-24.569168	-20.00831	0
PD131	5.303812	25.819717	1
PD132	-14.458279	-10.247207	0
PD133	-27.471699	-21.37651	0
PD134	0.21225889	16.780949	3
PD135	-6.0237303	-7.518183	2
PD136	-22.763824	-19.771254	0
PD137	-7.904405	8.466037	3
PD138	3.6461022	-24.773127	2
PD139	17.707989	-17.00658	2
PD14	-4.447919	-26.899834	2
PD140	6.7859592	-28.589886	2
PD141	6.8431687	29.851776	1
PD142	-26.230345	-4.215674	0
PD143	18.419079	-7.537755	2
PD144	14.272527	-8.464212	2
PD145	-25.306688	-17.590374	0
PD146	17.56945	36.476837	1
PD147	11.294735	-23.557438	2
PD148	-5.1633077	-25.61006	2
PD149	-11.76898	-2.2619407	2
PD15	13.806763	-20.502096	2
PD150	15.486675	-1.4155484	2
PD151	-1.791111	-28.34802	2
PD152	6.734606	-22.139841	2
PD153	-31.830557	-5.2946563	0
PD154	-26.251356	-5.5119743	0
PD155	13.377252	-25.587744	2
PD156	14.6541395	-2.2112286	2
PD157	6.9045916	12.351947	3
PD158	-1.2463477	3.5168924	3
PD159	0.5647765	-11.912562	2
PD16	-6.292055	21.047268	3
PD160	2.7244828	16.97868	3
PD161	-6.9840627	11.399001	3
PD162	-32.524113	-8.801268	0
PD163	18.736073	-3.0760486	2
PD164	-2.0023155	-4.7409697	2
PD165	26.52213	42.07326	1
PD166	14.150762	29.95325	1
PD167	-2.8130445	-12.290529	2
PD168	0.3502244	-5.8303995	2
PD169	-9.733121	0.48289675	3
PD17	-25.976751	-17.245277	0
PD170	12.205228	-15.086726	2
PD171	-19.92816	-15.42409	0
PD172	-2.7639964	2.6328542	3
PD173	-26.796427	-20.13996	0
PD174	6.067631	7.0776515	3
PD175	-4.302397	-19.783201	2
PD176	5.136968	-10.141473	2
PD177	-1.8764015	16.225058	3
PD178	15.138783	-6.7799716	2
PD179	10.398695	-3.117546	2
PD18	-33.906723	-17.149494	0
PD180	1.0118994	-11.861247	2
PD181	2.8028002	-9.5446205	2
PD182	-4.0569115	-16.116858	2
PD183	-28.085098	-10.059814	0
PD184	10.303125	14.100072	3
PD185	-9.241055	-7.1351557	2
PD186	1.614421	-8.495804	2
PD187	2.5082934	-22.585085	2
PD188	3.8468602	-8.137936	2
