Node	Betweenness
g__Ruminococcus_B	3301.5
g__Gemmiger	3290.0
g__Faecalimonas	3149.0
g__Faecalibacterium	3086.0
g__Thomasclavelia	2987.0
g__Veillonella	2664.0
g__Anaerobutyricum	2657.5
g__Hominicoprocola	2436.0
g__Dorea	2411.0
g__Coprococcus_A	2273.0
g__Sellimonas	2178.5
g__Flavonifractor	2151.5
g__Lacticaseibacillus	2027.5
g__Alistipes	1943.0
g__Nanosynbacter	1571.5
g__Bariatricus	1427.5
g__Mediterraneibacter	1189.5
g__Intestinibacter	1170.5
g__Enterococcus_B	1124.0
g__Hungatella	831.0
g__Fusicatenibacter	798.5
g__Enterococcus_A	577.5
g__Limosilactobacillus	433.0
g__Anthropogastromicrobium	356.5
g__Limivivens	293.0
g__Dysosmobacter	251.0
g__Allocoprobacillus	249.0
g__Agathobaculum	246.0
g__Enterocloster	179.0
g__Evtepia	178.0
g__Lentihominibacter	177.0
g__Leuconostoc	168.0
g__Anaeromassilibacillus	168.0
g__Sarcina	151.0
g__Dorea_A	147.0
g__Parabacteroides	131.5
g__Choladousia	112.5
g__Streptococcus	104.0
g__Phocaeicola	101.5
g__Granulicatella	93.5
g__Bacteroides	88.0
g__Roseburia	85.0
g__Alitiscatomonas	85.0
g__Acutalibacter	85.0
g__Lawsonibacter	85.0
g__Blautia	83.0
g__Murimonas	72.0
g__Haemophilus_D	53.5
g__Pediococcus	48.5
g__Klebsiella	35.0
g__Lactiplantibacillus	32.5
g__Rothia	32.0
g__Hominiventricola	20.5
g__Eubacterium_I	10.0
g__Holdemanella	1.0
g__Gemella	1.0
g__Lactobacillus	0.5
g__Acetatifactor	0.0
g__Collinsella	0.0
g__Amedibacterium	0.0
g__Brotaphodocola	0.0
g__Vescimonas	0.0
g__Hominilimicola	0.0
g__Agathobacter	0.0
g__Negativibacillus	0.0
g__Blautia_A	0.0
g__Dialister	0.0
g__Oliverpabstia	0.0
g__Turicibacter	0.0
g__Terrisporobacter	0.0
g__Clostridium	0.0
g__CAG-170	0.0
g__Roseburia_D	0.0
g__Catenibacterium	0.0
g__Anaerostipes	0.0
g__Anaerotignum	0.0
g__Enterobacter	0.0
g__Eggerthella	0.0
g__Enterococcus	0.0
g__Otoolea	0.0
g__Eubacterium_G	0.0
g__Phascolarctobacterium	0.0
g__Ruthenibacterium	0.0
g__Gallintestinimicrobium	0.0
g__Fusobacterium_A	0.0
g__Merdimonas	0.0
g__Prevotella	0.0
g__Onthenecus	0.0
g__Lachnospira	0.0
g__Peptostreptococcus	0.0
g__Ligilactobacillus	0.0
g__Lancefieldella	0.0
g__Latilactobacillus	0.0
g__Weissella	0.0
g__Longicatena	0.0
g__Megamonas	0.0
g__URXU01	0.0
g__Odoribacter	0.0
