Node	Score	Centrality	Cluster
g__Acetatifactor	0.0	Betweenness	all
g__Hominicoprocola	2436.0	Betweenness	all
g__Hominiventricola	20.5	Betweenness	all
g__Ruminococcus_B	3301.5	Betweenness	all
g__Acutalibacter	85.0	Betweenness	all
g__Anaeromassilibacillus	168.0	Betweenness	all
g__Negativibacillus	0.0	Betweenness	all
g__Agathobacter	0.0	Betweenness	all
g__Anaerobutyricum	2657.5	Betweenness	all
g__Faecalibacterium	3086.0	Betweenness	all
g__Fusicatenibacter	798.5	Betweenness	all
g__Thomasclavelia	2987.0	Betweenness	all
g__Agathobaculum	246.0	Betweenness	all
g__Dorea	2411.0	Betweenness	all
g__Enterococcus_B	1124.0	Betweenness	all
g__Gemmiger	3290.0	Betweenness	all
g__Alistipes	1943.0	Betweenness	all
g__Dysosmobacter	251.0	Betweenness	all
g__Evtepia	178.0	Betweenness	all
g__Hominilimicola	0.0	Betweenness	all
g__Nanosynbacter	1571.5	Betweenness	all
g__Parabacteroides	131.5	Betweenness	all
g__Streptococcus	104.0	Betweenness	all
g__Veillonella	2664.0	Betweenness	all
g__Vescimonas	0.0	Betweenness	all
g__Alitiscatomonas	85.0	Betweenness	all
g__Brotaphodocola	0.0	Betweenness	all
g__Allocoprobacillus	249.0	Betweenness	all
g__Amedibacterium	0.0	Betweenness	all
g__Faecalimonas	3149.0	Betweenness	all
g__Anthropogastromicrobium	356.5	Betweenness	all
g__Bariatricus	1427.5	Betweenness	all
g__Collinsella	0.0	Betweenness	all
g__Enterococcus_A	577.5	Betweenness	all
g__Lacticaseibacillus	2027.5	Betweenness	all
g__Limosilactobacillus	433.0	Betweenness	all
g__Mediterraneibacter	1189.5	Betweenness	all
g__Pediococcus	48.5	Betweenness	all
g__Anaerostipes	0.0	Betweenness	all
g__Blautia_A	0.0	Betweenness	all
g__Anaerotignum	0.0	Betweenness	all
g__Lawsonibacter	85.0	Betweenness	all
g__Limivivens	293.0	Betweenness	all
g__Roseburia	85.0	Betweenness	all
g__Bacteroides	88.0	Betweenness	all
g__Enterocloster	179.0	Betweenness	all
g__Phocaeicola	101.5	Betweenness	all
g__Coprococcus_A	2273.0	Betweenness	all
g__Dorea_A	147.0	Betweenness	all
g__Eubacterium_I	10.0	Betweenness	all
g__Hungatella	831.0	Betweenness	all
g__Intestinibacter	1170.5	Betweenness	all
g__Blautia	83.0	Betweenness	all
g__Flavonifractor	2151.5	Betweenness	all
g__CAG-170	0.0	Betweenness	all
g__Roseburia_D	0.0	Betweenness	all
g__Catenibacterium	0.0	Betweenness	all
g__Holdemanella	1.0	Betweenness	all
g__Choladousia	112.5	Betweenness	all
g__Murimonas	72.0	Betweenness	all
g__Clostridium	0.0	Betweenness	all
g__Terrisporobacter	0.0	Betweenness	all
g__Turicibacter	0.0	Betweenness	all
g__Oliverpabstia	0.0	Betweenness	all
g__Sellimonas	2178.5	Betweenness	all
g__Dialister	0.0	Betweenness	all
g__Phascolarctobacterium	0.0	Betweenness	all
g__Merdimonas	0.0	Betweenness	all
g__Eubacterium_G	0.0	Betweenness	all
g__Eggerthella	0.0	Betweenness	all
g__Enterobacter	0.0	Betweenness	all
g__Klebsiella	35.0	Betweenness	all
g__Otoolea	0.0	Betweenness	all
g__Enterococcus	0.0	Betweenness	all
g__Granulicatella	93.5	Betweenness	all
g__Lactiplantibacillus	32.5	Betweenness	all
g__Lentihominibacter	177.0	Betweenness	all
g__Fusobacterium_A	0.0	Betweenness	all
