Node	DegreeCentrality	Betweenness	Cluster
g__Acetatifactor	0.030927835051546393	0.0	all
g__Hominicoprocola	0.14432989690721648	2436.0	all
g__Hominiventricola	0.05154639175257732	20.5	all
g__Ruminococcus_B	0.3402061855670103	3301.5	all
g__Acutalibacter	0.020618556701030927	85.0	all
g__Anaeromassilibacillus	0.020618556701030927	168.0	all
g__Negativibacillus	0.010309278350515464	0.0	all
g__Agathobacter	0.041237113402061855	0.0	all
g__Anaerobutyricum	0.21649484536082475	2657.5	all
g__Faecalibacterium	0.17525773195876287	3086.0	all
g__Fusicatenibacter	0.10309278350515463	798.5	all
g__Thomasclavelia	0.25773195876288657	2987.0	all
g__Agathobaculum	0.05154639175257732	246.0	all
g__Dorea	0.15463917525773196	2411.0	all
g__Enterococcus_B	0.10309278350515463	1124.0	all
g__Gemmiger	0.26804123711340205	3290.0	all
g__Alistipes	0.09278350515463918	1943.0	all
g__Dysosmobacter	0.061855670103092786	251.0	all
g__Evtepia	0.020618556701030927	178.0	all
g__Hominilimicola	0.041237113402061855	0.0	all
g__Nanosynbacter	0.1134020618556701	1571.5	all
g__Parabacteroides	0.041237113402061855	131.5	all
g__Streptococcus	0.09278350515463918	104.0	all
g__Veillonella	0.2268041237113402	2664.0	all
g__Vescimonas	0.010309278350515464	0.0	all
g__Alitiscatomonas	0.020618556701030927	85.0	all
g__Brotaphodocola	0.010309278350515464	0.0	all
g__Allocoprobacillus	0.020618556701030927	249.0	all
g__Amedibacterium	0.030927835051546393	0.0	all
g__Faecalimonas	0.2268041237113402	3149.0	all
g__Anthropogastromicrobium	0.061855670103092786	356.5	all
g__Bariatricus	0.14432989690721648	1427.5	all
g__Collinsella	0.08247422680412371	0.0	all
g__Enterococcus_A	0.1134020618556701	577.5	all
g__Lacticaseibacillus	0.17525773195876287	2027.5	all
g__Limosilactobacillus	0.08247422680412371	433.0	all
g__Mediterraneibacter	0.08247422680412371	1189.5	all
g__Pediococcus	0.05154639175257732	48.5	all
g__Anaerostipes	0.010309278350515464	0.0	all
g__Blautia_A	0.010309278350515464	0.0	all
g__Anaerotignum	0.010309278350515464	0.0	all
g__Lawsonibacter	0.020618556701030927	85.0	all
g__Limivivens	0.10309278350515463	293.0	all
g__Roseburia	0.030927835051546393	85.0	all
g__Bacteroides	0.030927835051546393	88.0	all
g__Enterocloster	0.07216494845360824	179.0	all
g__Phocaeicola	0.030927835051546393	101.5	all
g__Coprococcus_A	0.14432989690721648	2273.0	all
g__Dorea_A	0.12371134020618557	147.0	all
g__Eubacterium_I	0.10309278350515463	10.0	all
g__Hungatella	0.08247422680412371	831.0	all
g__Intestinibacter	0.08247422680412371	1170.5	all
g__Blautia	0.061855670103092786	83.0	all
g__Flavonifractor	0.10309278350515463	2151.5	all
g__CAG-170	0.010309278350515464	0.0	all
g__Roseburia_D	0.010309278350515464	0.0	all
g__Catenibacterium	0.010309278350515464	0.0	all
g__Holdemanella	0.020618556701030927	1.0	all
g__Choladousia	0.020618556701030927	112.5	all
g__Murimonas	0.05154639175257732	72.0	all
g__Clostridium	0.030927835051546393	0.0	all
g__Terrisporobacter	0.030927835051546393	0.0	all
g__Turicibacter	0.030927835051546393	0.0	all
g__Oliverpabstia	0.041237113402061855	0.0	all
g__Sellimonas	0.020618556701030927	2178.5	all
g__Dialister	0.010309278350515464	0.0	all
g__Phascolarctobacterium	0.010309278350515464	0.0	all
g__Merdimonas	0.010309278350515464	0.0	all
g__Eubacterium_G	0.010309278350515464	0.0	all
g__Eggerthella	0.010309278350515464	0.0	all
g__Enterobacter	0.020618556701030927	0.0	all
g__Klebsiella	0.030927835051546393	35.0	all
g__Otoolea	0.010309278350515464	0.0	all
g__Enterococcus	0.05154639175257732	0.0	all
g__Granulicatella	0.07216494845360824	93.5	all
g__Lactiplantibacillus	0.030927835051546393	32.5	all
g__Lentihominibacter	0.020618556701030927	177.0	all
g__Fusobacterium_A	0.030927835051546393	0.0	all
g__Ruthenibacterium	0.010309278350515464	0.0	all
g__Gallintestinimicrobium	0.010309278350515464	0.0	all
g__Gemella	0.05154639175257732	1.0	all
g__Rothia	0.061855670103092786	32.0	all
g__Peptostreptococcus	0.010309278350515464	0.0	all
g__Haemophilus_D	0.05154639175257732	53.5	all
g__Sarcina	0.041237113402061855	151.0	all
g__Prevotella	0.010309278350515464	0.0	all
g__Onthenecus	0.010309278350515464	0.0	all
g__Lachnospira	0.010309278350515464	0.0	all
g__Lactobacillus	0.030927835051546393	0.5	all
g__Ligilactobacillus	0.020618556701030927	0.0	all
g__Lancefieldella	0.030927835051546393	0.0	all
g__Latilactobacillus	0.020618556701030927	0.0	all
g__Leuconostoc	0.030927835051546393	168.0	all
g__Weissella	0.020618556701030927	0.0	all
g__Longicatena	0.010309278350515464	0.0	all
g__Megamonas	0.010309278350515464	0.0	all
g__URXU01	0.010309278350515464	0.0	all
g__Odoribacter	0.010309278350515464	0.0	all
