Node	DegreeCentrality	Betweenness	Cluster
g__Acetatifactor	0.030927835051546393	0.0	all
g__Hominicoprocola	0.14432989690721648	0.5231958762886598	all
g__Hominiventricola	0.05154639175257732	0.004402920962199313	all
g__Ruminococcus_B	0.3402061855670103	0.7090850515463918	all
g__Acutalibacter	0.020618556701030927	0.01825601374570447	all
g__Anaeromassilibacillus	0.020618556701030927	0.03608247422680412	all
g__Negativibacillus	0.010309278350515464	0.0	all
g__Agathobacter	0.041237113402061855	0.0	all
g__Anaerobutyricum	0.21649484536082475	0.5707689003436426	all
g__Faecalibacterium	0.17525773195876287	0.6628006872852233	all
g__Fusicatenibacter	0.10309278350515463	0.1714991408934708	all
g__Thomasclavelia	0.25773195876288657	0.6415378006872852	all
g__Agathobaculum	0.05154639175257732	0.05283505154639175	all
g__Dorea	0.15463917525773196	0.5178264604810996	all
g__Enterococcus_B	0.10309278350515463	0.24140893470790378	all
g__Gemmiger	0.26804123711340205	0.706615120274914	all
g__Alistipes	0.09278350515463918	0.4173109965635739	all
g__Dysosmobacter	0.061855670103092786	0.053908934707903776	all
g__Evtepia	0.020618556701030927	0.038230240549828175	all
g__Hominilimicola	0.041237113402061855	0.0	all
g__Nanosynbacter	0.1134020618556701	0.3375214776632302	all
g__Parabacteroides	0.041237113402061855	0.028243127147766323	all
g__Streptococcus	0.09278350515463918	0.022336769759450172	all
g__Veillonella	0.2268041237113402	0.5721649484536082	all
g__Vescimonas	0.010309278350515464	0.0	all
g__Alitiscatomonas	0.020618556701030927	0.01825601374570447	all
g__Brotaphodocola	0.010309278350515464	0.0	all
g__Allocoprobacillus	0.020618556701030927	0.053479381443298966	all
g__Amedibacterium	0.030927835051546393	0.0	all
g__Faecalimonas	0.2268041237113402	0.676331615120275	all
g__Anthropogastromicrobium	0.061855670103092786	0.07656786941580755	all
g__Bariatricus	0.14432989690721648	0.30659364261168387	all
g__Collinsella	0.08247422680412371	0.0	all
g__Enterococcus_A	0.1134020618556701	0.12403350515463918	all
g__Lacticaseibacillus	0.17525773195876287	0.43545962199312716	all
g__Limosilactobacillus	0.08247422680412371	0.09299828178694158	all
g__Mediterraneibacter	0.08247422680412371	0.2554768041237113	all
g__Pediococcus	0.05154639175257732	0.010416666666666666	all
g__Anaerostipes	0.010309278350515464	0.0	all
g__Blautia_A	0.010309278350515464	0.0	all
g__Anaerotignum	0.010309278350515464	0.0	all
g__Lawsonibacter	0.020618556701030927	0.01825601374570447	all
g__Limivivens	0.10309278350515463	0.06292955326460481	all
g__Roseburia	0.030927835051546393	0.01825601374570447	all
g__Bacteroides	0.030927835051546393	0.018900343642611683	all
g__Enterocloster	0.07216494845360824	0.038445017182130586	all
g__Phocaeicola	0.030927835051546393	0.021799828178694157	all
g__Coprococcus_A	0.14432989690721648	0.4881872852233677	all
g__Dorea_A	0.12371134020618557	0.03157216494845361	all
g__Eubacterium_I	0.10309278350515463	0.002147766323024055	all
g__Hungatella	0.08247422680412371	0.17847938144329897	all
g__Intestinibacter	0.08247422680412371	0.25139604810996563	all
g__Blautia	0.061855670103092786	0.017826460481099655	all
g__Flavonifractor	0.10309278350515463	0.4620919243986254	all
g__CAG-170	0.010309278350515464	0.0	all
g__Roseburia_D	0.010309278350515464	0.0	all
g__Catenibacterium	0.010309278350515464	0.0	all
g__Holdemanella	0.020618556701030927	0.0002147766323024055	all
g__Choladousia	0.020618556701030927	0.02416237113402062	all
g__Murimonas	0.05154639175257732	0.015463917525773196	all
g__Clostridium	0.030927835051546393	0.0	all
g__Terrisporobacter	0.030927835051546393	0.0	all
g__Turicibacter	0.030927835051546393	0.0	all
g__Oliverpabstia	0.041237113402061855	0.0	all
g__Sellimonas	0.020618556701030927	0.4678908934707904	all
g__Dialister	0.010309278350515464	0.0	all
g__Phascolarctobacterium	0.010309278350515464	0.0	all
g__Merdimonas	0.010309278350515464	0.0	all
g__Eubacterium_G	0.010309278350515464	0.0	all
g__Eggerthella	0.010309278350515464	0.0	all
g__Enterobacter	0.020618556701030927	0.0	all
g__Klebsiella	0.030927835051546393	0.007517182130584193	all
g__Otoolea	0.010309278350515464	0.0	all
g__Enterococcus	0.05154639175257732	0.0	all
g__Granulicatella	0.07216494845360824	0.020081615120274912	all
g__Lactiplantibacillus	0.030927835051546393	0.006980240549828178	all
g__Lentihominibacter	0.020618556701030927	0.03801546391752577	all
g__Fusobacterium_A	0.030927835051546393	0.0	all
g__Ruthenibacterium	0.010309278350515464	0.0	all
g__Gallintestinimicrobium	0.010309278350515464	0.0	all
g__Gemella	0.05154639175257732	0.0002147766323024055	all
g__Rothia	0.061855670103092786	0.006872852233676976	all
g__Peptostreptococcus	0.010309278350515464	0.0	all
g__Haemophilus_D	0.05154639175257732	0.011490549828178693	all
g__Sarcina	0.041237113402061855	0.03243127147766323	all
g__Prevotella	0.010309278350515464	0.0	all
g__Onthenecus	0.010309278350515464	0.0	all
g__Lachnospira	0.010309278350515464	0.0	all
g__Lactobacillus	0.030927835051546393	0.00010738831615120275	all
g__Ligilactobacillus	0.020618556701030927	0.0	all
g__Lancefieldella	0.030927835051546393	0.0	all
g__Latilactobacillus	0.020618556701030927	0.0	all
g__Leuconostoc	0.030927835051546393	0.03608247422680412	all
g__Weissella	0.020618556701030927	0.0	all
g__Longicatena	0.010309278350515464	0.0	all
g__Megamonas	0.010309278350515464	0.0	all
g__URXU01	0.010309278350515464	0.0	all
g__Odoribacter	0.010309278350515464	0.0	all
