node	positive_degree	negative_degree	total_degree
g__Agathobacter	3	1	4
g__Acetatifactor	2	1	3
g__Enterococcus_A	7	4	11
g__Mediterraneibacter	4	4	8
g__Otoolea	1	0	1
g__Ligilactobacillus	2	0	2
g__Roseburia_D	1	0	1
g__Longicatena	1	0	1
g__Lachnospira	1	0	1
g__Agathobaculum	4	1	5
g__Murimonas	4	1	5
g__Bariatricus	9	5	14
g__Gemmiger	17	9	26
g__Hominilimicola	4	0	4
g__Allocoprobacillus	2	0	2
g__Blautia_A	1	0	1
g__Thomasclavelia	11	14	25
g__Turicibacter	3	0	3
g__Enterococcus_B	6	4	10
g__Flavonifractor	7	3	10
g__Latilactobacillus	2	0	2
g__Hominiventricola	4	1	5
g__Enterococcus	4	1	5
g__Bacteroides	3	0	3
g__Nanosynbacter	9	2	11
g__Roseburia	3	0	3
g__Evtepia	2	0	2
g__Granulicatella	7	0	7
g__Gemella	5	0	5
g__Lawsonibacter	2	0	2
g__Clostridium	3	0	3
g__Pediococcus	3	2	5
g__Megamonas	1	0	1
g__URXU01	1	0	1
g__Lentihominibacter	2	0	2
g__Choladousia	1	1	2
g__Klebsiella	3	0	3
g__Coprococcus_A	9	5	14
g__Dorea	10	5	15
g__Eggerthella	1	0	1
g__Ruminococcus_B	17	16	33
g__Negativibacillus	1	0	1
g__Amedibacterium	2	1	3
g__Blautia	5	1	6
g__Streptococcus	8	1	9
g__Anaeromassilibacillus	2	0	2
g__Fusobacterium_A	3	0	3
g__Intestinibacter	7	1	8
g__Sarcina	4	0	4
g__Limivivens	7	3	10
g__Phocaeicola	2	1	3
g__Sellimonas	0	2	2
g__Anaerostipes	1	0	1
g__Dysosmobacter	5	1	6
g__Weissella	2	0	2
g__Faecalimonas	10	12	22
g__Merdimonas	0	1	1
g__Terrisporobacter	3	0	3
g__Enterobacter	2	0	2
g__Hungatella	4	4	8
g__Gallintestinimicrobium	1	0	1
g__Hominicoprocola	10	4	14
g__Fusicatenibacter	8	2	10
g__Haemophilus_D	5	0	5
g__Collinsella	5	3	8
g__Enterocloster	7	0	7
g__Odoribacter	0	1	1
g__Phascolarctobacterium	0	1	1
g__Ruthenibacterium	1	0	1
g__Lacticaseibacillus	13	4	17
g__Anthropogastromicrobium	4	2	6
g__Parabacteroides	4	0	4
g__Onthenecus	1	0	1
g__CAG-170	1	0	1
g__Lactobacillus	3	0	3
g__Rothia	6	0	6
g__Lancefieldella	3	0	3
g__Dialister	0	1	1
g__Limosilactobacillus	6	2	8
g__Brotaphodocola	1	0	1
g__Holdemanella	2	0	2
g__Oliverpabstia	2	2	4
g__Anaerotignum	1	0	1
g__Anaerobutyricum	11	10	21
g__Eubacterium_G	1	0	1
g__Peptostreptococcus	1	0	1
g__Leuconostoc	2	1	3
g__Veillonella	18	4	22
g__Vescimonas	1	0	1
g__Alistipes	6	3	9
g__Acutalibacter	2	0	2
g__Catenibacterium	1	0	1
g__Eubacterium_I	7	3	10
g__Dorea_A	7	5	12
g__Alitiscatomonas	2	0	2
g__Prevotella	1	0	1
g__Lactiplantibacillus	3	0	3
g__Faecalibacterium	11	6	17
