source	target	correlation	p_value	source_log_mean_abundance	target_log_mean_abundance	source_prevalence	target_prevalence
g__Acetatifactor	g__Acutalibacter	-0.0864	0.034	4.839108867892279	3.8040014494773535	0.4504132231404958	0.1652892561983471
g__Acetatifactor	g__Adlercreutzia	0.1493	0.001	4.839108867892279	3.926474774767037	0.4504132231404958	0.2644628099173554
g__Acetatifactor	g__Agathobacter	0.2056	0.001	4.839108867892279	7.270814951731067	0.4504132231404958	0.7417355371900827
g__Acetatifactor	g__Agathobaculum	0.168	0.001	4.839108867892279	5.375402493150575	0.4504132231404958	0.6673553719008265
g__Acetatifactor	g__Alistipes	0.2555	0.001	4.839108867892279	6.144756242502531	0.4504132231404958	0.5599173553719008
g__Acetatifactor	g__Alistipes_A	-0.1019	0.004	4.839108867892279	2.2585362483036926	0.4504132231404958	0.1157024793388429
g__Acetatifactor	g__Alitiscatomonas	0.1253	0.007	4.839108867892279	5.248574687024184	0.4504132231404958	0.5805785123966942
g__Acetatifactor	g__Allocoprobacillus	-0.1097	0.009	4.839108867892279	3.678256216497415	0.4504132231404958	0.2789256198347107
g__Acetatifactor	g__Amedibacterium	-0.1878	0.001	4.839108867892279	3.879031100332238	0.4504132231404958	0.1673553719008264
g__Acetatifactor	g__Anaerobutyricum	0.2231	0.001	4.839108867892279	6.9282469754661	0.4504132231404958	0.7396694214876033
g__Acetatifactor	g__Anaerofustis	-0.1727	0.001	4.839108867892279	1.8172061348892192	0.4504132231404958	0.1425619834710743
g__Acetatifactor	g__Anaeromassilibacillus	-0.0816	0.05	4.839108867892279	3.0754577223416177	0.4504132231404958	0.262396694214876
g__Acetatifactor	g__Anaerostipes	0.0698	0.1169	4.839108867892279	7.533110266069057	0.4504132231404958	0.944214876033058
g__Acetatifactor	g__Anaerotignum	0.1645	0.002	4.839108867892279	4.536979643506416	0.4504132231404958	0.506198347107438
g__Acetatifactor	g__Anaerotruncus	-0.0937	0.015	4.839108867892279	2.3097756735394	0.4504132231404958	0.1962809917355372
g__Acetatifactor	g__Anthropogastromicrobium	0.2499	0.001	4.839108867892279	5.303633109824055	0.4504132231404958	0.5971074380165289
g__Acetatifactor	g__Aristaeella	0.0828	0.028	4.839108867892279	3.6017368595184647	0.4504132231404958	0.1053719008264462
g__Acetatifactor	g__Bacteroides	0.0647	0.1429	4.839108867892279	8.274591973918477	0.4504132231404958	0.9194214876033058
g__Acetatifactor	g__Bariatricus	0.1925	0.001	4.839108867892279	5.557353338675832	0.4504132231404958	0.4338842975206611
g__Acetatifactor	g__Bifidobacterium	-0.1511	0.001	4.839108867892279	8.632152725841596	0.4504132231404958	0.9008264462809916
g__Acetatifactor	g__Bittarella	-0.1676	0.001	4.839108867892279	2.085864171336303	0.4504132231404958	0.2252066115702479
g__Acetatifactor	g__Blautia	-0.1877	0.001	4.839108867892279	6.722426317879902	0.4504132231404958	0.7128099173553719
g__Acetatifactor	g__Blautia_A	0.0053	0.9121	4.839108867892279	8.872792959622492	0.4504132231404958	0.9896694214876032
