source	target	correlation	p_value
g__Acetatifactor	g__Adlercreutzia	0.1493	0.0034649660962221
g__Acetatifactor	g__Agathobacter	0.2056	0.0034649660962221
g__Acetatifactor	g__Agathobaculum	0.168	0.0034649660962221
g__Acetatifactor	g__Alistipes	0.2555	0.0034649660962221
g__Acetatifactor	g__Alistipes_A	-0.1019	0.0110886075949367
g__Acetatifactor	g__Alitiscatomonas	0.1253	0.0179491039426523
g__Acetatifactor	g__Allocoprobacillus	-0.1097	0.0222686188609637
g__Acetatifactor	g__Amedibacterium	-0.1878	0.0034649660962221
g__Acetatifactor	g__Anaerobutyricum	0.2231	0.0034649660962221
g__Acetatifactor	g__Anaerofustis	-0.1727	0.0034649660962221
g__Acetatifactor	g__Anaerotignum	0.1645	0.0061743383199079
g__Acetatifactor	g__Anaerotruncus	-0.0937	0.0347957198443579
g__Acetatifactor	g__Anthropogastromicrobium	0.2499	0.0034649660962221
g__Acetatifactor	g__Bariatricus	0.1925	0.0034649660962221
g__Acetatifactor	g__Bifidobacterium	-0.1511	0.0034649660962221
g__Acetatifactor	g__Bittarella	-0.1676	0.0034649660962221
g__Acetatifactor	g__Blautia	-0.1877	0.0034649660962221
g__Acetatifactor	g__Brotaphodocola	0.1948	0.0034649660962221
g__Acetatifactor	g__CAG-170	0.1255	0.0061743383199079
g__Acetatifactor	g__CAG-217	0.0923	0.0327878655608904
g__Acetatifactor	g__Choladousia	0.1682	0.0034649660962221
g__Acetatifactor	g__Clostridium_AP	-0.1291	0.0061743383199079
g__Acetatifactor	g__Collinsella	0.12	0.0179491039426523
g__Acetatifactor	g__Coprococcus_A	0.2339	0.0034649660962221
g__Acetatifactor	g__Dialister	-0.1047	0.0286861216306527
g__Acetatifactor	g__Dorea	0.1622	0.0034649660962221
g__Acetatifactor	g__Dorea_A	0.1965	0.0034649660962221
g__Acetatifactor	g__Dysosmobacter	0.2912	0.0034649660962221
g__Acetatifactor	g__Eggerthella	-0.1568	0.0061743383199079
g__Acetatifactor	g__Enterobacter	-0.2247	0.0034649660962221
g__Acetatifactor	g__Enterococcus	-0.2386	0.0034649660962221
g__Acetatifactor	g__Enterococcus_A	-0.2436	0.0034649660962221
g__Acetatifactor	g__Enterococcus_B	-0.1905	0.0034649660962221
g__Acetatifactor	g__Eubacterium_G	0.1759	0.0034649660962221
g__Acetatifactor	g__Eubacterium_I	0.2011	0.0034649660962221
g__Acetatifactor	g__Evtepia	0.1699	0.0034649660962221
g__Acetatifactor	g__Faecalibacterium	0.2351	0.0034649660962221
g__Acetatifactor	g__Faecalimonas	-0.2893	0.0034649660962221
g__Acetatifactor	g__Finegoldia	-0.2447	0.0034649660962221
g__Acetatifactor	g__Flavonifractor	-0.1916	0.0034649660962221
g__Acetatifactor	g__Fusicatenibacter	0.1798	0.0034649660962221
g__Acetatifactor	g__Fusobacterium_A	-0.2058	0.0034649660962221
g__Acetatifactor	g__Gallintestinimicrobium	0.2313	0.0034649660962221
g__Acetatifactor	g__Gemella	-0.2378	0.0034649660962221
g__Acetatifactor	g__Gemmiger	0.2553	0.0034649660962221
g__Acetatifactor	g__Granulicatella	-0.2463	0.0034649660962221
g__Acetatifactor	g__Hominenteromicrobium	0.178	0.0034649660962221
g__Acetatifactor	g__Hominicoprocola	0.3526	0.0034649660962221
g__Acetatifactor	g__Hominilimicola	0.2009	0.0034649660962221
g__Acetatifactor	g__Hominimerdicola	0.1559	0.0061743383199079
g__Acetatifactor	g__Hominiventricola	0.353	0.0034649660962221
g__Acetatifactor	g__Hungatella	-0.1868	0.0034649660962221
g__Acetatifactor	g__Intestinibacter	-0.1342	0.0034649660962221
g__Acetatifactor	g__Klebsiella	-0.2308	0.0034649660962221
g__Acetatifactor	g__Lachnoclostridium_B	0.1407	0.0086984598757092
g__Acetatifactor	g__Lachnospira	0.2444	0.0034649660962221
g__Acetatifactor	g__Lacticaseibacillus	-0.2545	0.0034649660962221
g__Acetatifactor	g__Lactiplantibacillus	-0.1934	0.0034649660962221
g__Acetatifactor	g__Lactobacillus	-0.168	0.0034649660962221
g__Acetatifactor	g__Lactococcus	-0.2356	0.0034649660962221
g__Acetatifactor	g__Lactonifactor	-0.1364	0.0034649660962221
g__Acetatifactor	g__Lancefieldella	-0.2651	0.0034649660962221
g__Acetatifactor	g__Latilactobacillus	-0.1143	0.0086984598757092
g__Acetatifactor	g__Lawsonibacter	0.1712	0.0034649660962221
g__Acetatifactor	g__Lentihominibacter	0.192	0.0034649660962221
g__Acetatifactor	g__Leuconostoc	-0.186	0.0034649660962221
g__Acetatifactor	g__Ligilactobacillus	-0.1767	0.0034649660962221
g__Acetatifactor	g__Limivivens	0.2295	0.0034649660962221
g__Acetatifactor	g__Limosilactobacillus	-0.2454	0.0034649660962221
g__Acetatifactor	g__Longicatena	-0.2179	0.0034649660962221
g__Acetatifactor	g__Massilioclostridium	-0.2459	0.0034649660962221
g__Acetatifactor	g__Mediterraneibacter	0.1831	0.0034649660962221
g__Acetatifactor	g__Merdibacter	-0.1732	0.0034649660962221
g__Acetatifactor	g__Merdimmobilis	-0.1557	0.0034649660962221
g__Acetatifactor	g__Merdimonas	-0.1556	0.0034649660962221
g__Acetatifactor	g__Muricomes	-0.1484	0.0034649660962221
g__Acetatifactor	g__Murimonas	0.2518	0.0034649660962221
g__Acetatifactor	g__Nanosynbacter	-0.1909	0.0034649660962221
g__Acetatifactor	g__Oliverpabstia	0.1517	0.0110886075949367
g__Acetatifactor	g__Onthenecus	0.1566	0.0061743383199079
g__Acetatifactor	g__Otoolea	0.1041	0.0425744414282731
g__Acetatifactor	g__Parabacteroides	0.1203	0.0110886075949367
g__Acetatifactor	g__Pauljensenia	-0.2293	0.0034649660962221
g__Acetatifactor	g__Pediococcus	-0.23	0.0034649660962221
g__Acetatifactor	g__Peptostreptococcus	-0.1937	0.0034649660962221
g__Acetatifactor	g__Prevotella	0.1213	0.0110886075949367
g__Acetatifactor	g__Pseudobutyricicoccus	-0.0839	0.0425744414282731
g__Acetatifactor	g__Pseudoflavonifractor_A	-0.1655	0.0034649660962221
g__Acetatifactor	g__Roseburia	0.2024	0.0034649660962221
g__Acetatifactor	g__Roseburia_D	0.162	0.0034649660962221
g__Acetatifactor	g__Rothia	-0.1989	0.0034649660962221
g__Acetatifactor	g__Ruminococcus_B	-0.3344	0.0034649660962221
g__Acetatifactor	g__Ruminococcus_E	0.107	0.0179491039426523
g__Acetatifactor	g__Sarcina	-0.1756	0.0034649660962221
g__Acetatifactor	g__Sellimonas	-0.183	0.0034649660962221
g__Acetatifactor	g__Streptococcus	-0.2198	0.0034649660962221
g__Acetatifactor	g__Terrisporobacter	-0.1242	0.0061743383199079
g__Acetatifactor	g__Thomasclavelia	-0.2457	0.0034649660962221
g__Acetatifactor	g__Tyzzerella	-0.1099	0.0286861216306527
g__Acetatifactor	g__UBA3402	0.1117	0.0179491039426523
g__Acetatifactor	g__Veillonella	-0.1804	0.0034649660962221
g__Acetatifactor	g__Vescimonas	0.1686	0.0034649660962221
g__Acetatifactor	g__Weissella	-0.1352	0.0086984598757092
g__Acetatifactor	g__Wujia	0.1997	0.0034649660962221
g__Acutalibacter	g__Agathobacter	-0.1013	0.0327878655608904
g__Acutalibacter	g__Agathobaculum	-0.1019	0.0286861216306527
g__Acutalibacter	g__Alitiscatomonas	-0.1209	0.0110886075949367
g__Acutalibacter	g__Allocoprobacillus	0.285	0.0034649660962221
g__Acutalibacter	g__Anaerobutyricum	-0.1353	0.0061743383199079
g__Acutalibacter	g__Anaerofustis	0.1173	0.0061743383199079
g__Acutalibacter	g__Anaeromassilibacillus	0.4198	0.0034649660962221
g__Acutalibacter	g__Anthropogastromicrobium	-0.1134	0.0201190531989688
g__Acutalibacter	g__Bariatricus	-0.1471	0.0034649660962221
g__Acutalibacter	g__Bifidobacterium	0.0949	0.0425744414282731
g__Acutalibacter	g__Brotaphodocola	-0.1604	0.0034649660962221
g__Acutalibacter	g__CAG-177	0.1084	0.0134305381727158
g__Acutalibacter	g__Choladousia	-0.1134	0.0110886075949367
g__Acutalibacter	g__Clostridium_A	0.1458	0.0061743383199079
g__Acutalibacter	g__Clostridium_AP	0.1413	0.0034649660962221
g__Acutalibacter	g__Coprococcus_A	-0.1264	0.0134305381727158
g__Acutalibacter	g__Dialister	0.1104	0.0134305381727158
g__Acutalibacter	g__Dorea	-0.1126	0.0201190531989688
g__Acutalibacter	g__Dorea_A	-0.1652	0.0034649660962221
g__Acutalibacter	g__Eggerthella	0.1207	0.0086984598757092
g__Acutalibacter	g__Enterococcus_A	0.0882	0.0445362108321228
g__Acutalibacter	g__Eubacterium_I	-0.1107	0.0222686188609637
g__Acutalibacter	g__Faecalibacterium	-0.1282	0.0034649660962221
g__Acutalibacter	g__Faecalimonas	0.1101	0.0201190531989688
g__Acutalibacter	g__Finegoldia	0.1145	0.0061743383199079
g__Acutalibacter	g__Flavonifractor	0.1685	0.0034649660962221
g__Acutalibacter	g__Fusicatenibacter	-0.1597	0.0034649660962221
g__Acutalibacter	g__Gallintestinimicrobium	-0.1904	0.0034649660962221
g__Acutalibacter	g__Gemmiger	-0.1639	0.0061743383199079
g__Acutalibacter	g__Gordonibacter	0.0987	0.0222686188609637
g__Acutalibacter	g__Guopingia	0.2146	0.0034649660962221
g__Acutalibacter	g__Hominenteromicrobium	-0.1762	0.0034649660962221
g__Acutalibacter	g__Hominibacterium	0.194	0.0034649660962221
g__Acutalibacter	g__Hominicoprocola	-0.1195	0.0034649660962221
g__Acutalibacter	g__Hominiventricola	-0.1519	0.0034649660962221
g__Acutalibacter	g__Hungatella	0.1132	0.0201190531989688
g__Acutalibacter	g__Lacticaseibacillus	0.1357	0.0061743383199079
g__Acutalibacter	g__Lactobacillus	0.1055	0.0110886075949367
g__Acutalibacter	g__Lactonifactor	0.1238	0.0086984598757092
g__Acutalibacter	g__Limivivens	-0.0988	0.040656282887813
g__Acutalibacter	g__Limosilactobacillus	0.1132	0.0110886075949367
g__Acutalibacter	g__Longicatena	0.1224	0.0061743383199079
g__Acutalibacter	g__Massilioclostridium	0.1989	0.0034649660962221
g__Acutalibacter	g__Mediterraneibacter	-0.1158	0.0201190531989688
g__Acutalibacter	g__Merdibacter	0.2758	0.0034649660962221
g__Acutalibacter	g__Merdimonas	0.2532	0.0034649660962221
g__Acutalibacter	g__Merdivicinus	0.2757	0.0034649660962221
g__Acutalibacter	g__Muricomes	0.1463	0.0034649660962221
g__Acutalibacter	g__Murimonas	-0.1318	0.0061743383199079
g__Acutalibacter	g__Negativibacillus	0.3289	0.0034649660962221
g__Acutalibacter	g__Odoribacter	-0.1005	0.0327878655608904
g__Acutalibacter	g__Oliverpabstia	-0.1361	0.0061743383199079
g__Acutalibacter	g__Onthenecus	-0.0959	0.0387318471337579
g__Acutalibacter	g__Pararoseburia	-0.0851	0.0482884025363059
g__Acutalibacter	g__Pediococcus	0.1618	0.0034649660962221
g__Acutalibacter	g__Phocaeicola	-0.1311	0.0134305381727158
g__Acutalibacter	g__Prevotella	-0.1257	0.0110886075949367
g__Acutalibacter	g__Roseburia	-0.1293	0.0110886075949367
g__Acutalibacter	g__Ruminococcus_B	0.1296	0.0061743383199079
g__Acutalibacter	g__Ruthenibacterium	0.1702	0.0034649660962221
g__Acutalibacter	g__Sellimonas	0.1694	0.0061743383199079
g__Acutalibacter	g__Thomasclavelia	0.1279	0.0061743383199079
g__Acutalibacter	g__Turicibacter	0.1195	0.0110886075949367
g__Acutalibacter	g__UBA3402	-0.1199	0.0061743383199079
g__Acutalibacter	g__Wujia	-0.1155	0.0134305381727158
g__Adlercreutzia	g__Agathobacter	0.1135	0.0179491039426523
g__Adlercreutzia	g__Agathobaculum	0.0996	0.0308089664310954
g__Adlercreutzia	g__Alistipes	0.24	0.0034649660962221
g__Adlercreutzia	g__Amedibacterium	-0.1551	0.0034649660962221
g__Adlercreutzia	g__Anaerobutyricum	0.1578	0.0034649660962221
g__Adlercreutzia	g__Anaerofustis	-0.1515	0.0034649660962221
