#OTU ID	g__Acetatifactor	g__Acutalibacter	g__Adlercreutzia	g__Agathobacter	g__Agathobaculum	g__Alistipes	g__Alistipes_A	g__Alitiscatomonas	g__Allocoprobacillus	g__Amedibacterium	g__Anaerobutyricum	g__Anaerofustis	g__Anaeromassilibacillus	g__Anaerostipes	g__Anaerotignum	g__Anaerotruncus	g__Anthropogastromicrobium	g__Aristaeella	g__Bacteroides	g__Bariatricus	g__Bifidobacterium	g__Bittarella	g__Blautia	g__Blautia_A	g__Brotaphodocola	g__Butyribacter	g__CAG-170	g__CAG-177	g__CAG-217	g__CAG-488	g__Catenibacterium	g__Choladousia	g__Clostridium	g__Clostridium_A	g__Clostridium_AP	g__Collinsella	g__Coprococcus_A	g__Dialister	g__Dorea	g__Dorea_A	g__Dorea_D	g__Dysosmobacter	g__Eggerthella	g__Enterobacter	g__Enterocloster	g__Enterococcus	g__Enterococcus_A	g__Enterococcus_B	g__Eubacterium_F	g__Eubacterium_G	g__Eubacterium_I	g__Evtepia	g__Faecalibacterium	g__Faecalimonas	g__Faecousia	g__Finegoldia	g__Flavonifractor	g__Fusicatenibacter	g__Fusobacterium_A	g__Gallintestinimicrobium	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Guopingia	g__Haemophilus_D	g__Holdemanella	g__Holdemania	g__Hominenteromicrobium	g__Hominibacterium	g__Hominicoprocola	g__Hominifimenecus	g__Hominilimicola	g__Hominimerdicola	g__Hominiventricola	g__Hungatella	g__Intestinibacter	g__JAGTTR01	g__Klebsiella	g__Lachnoclostridium_B	g__Lachnospira	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Laedolimicola	g__Lancefieldella	g__Latilactobacillus	g__Lawsonibacter	g__Lentihominibacter	g__Leuconostoc	g__Ligilactobacillus	g__Limivivens	g__Limosilactobacillus	g__Longicatena	g__Massilioclostridium	g__Mediterraneibacter	g__Megamonas	g__Merdibacter	g__Merdimmobilis	g__Merdimonas	g__Merdivicinus	g__Muricomes	g__Murimonas	g__Nanosynbacter	g__Negativibacillus	g__Odoribacter	g__Oliverpabstia	g__Onthenecus	g__Otoolea	g__Parabacteroides	g__Paraprevotella	g__Pararoseburia	g__Parasutterella	g__Pauljensenia	g__Pediococcus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Phocaeicola	g__Prevotella	g__Pseudobutyricicoccus	g__Pseudoflavonifractor_A	g__Pseudoscilispira	g__Roseburia	g__Roseburia_D	g__Rothia	g__Ruminiclostridium_E	g__Ruminococcus_B	g__Ruminococcus_C	g__Ruminococcus_E	g__Ruthenibacterium	g__Sarcina	g__Schaedlerella	g__Sellimonas	g__Streptococcus	g__Sutterella	g__Terrisporobacter	g__Thomasclavelia	g__Turicibacter	g__Tyzzerella	g__UBA3402	g__URXU01	g__Veillonella	g__Vescimonas	g__Weissella	g__Wujia
g__Acetatifactor	3.4856	-0.2501	0.4473	0.9782	0.6159	1.0891	-0.2065	0.4692	-0.3143	-0.5812	1.0227	-0.3381	-0.2081	0.2421	0.5416	-0.2005	0.9391	0.2079	0.2850	0.8350	-0.7489	-0.3447	-0.9146	0.0149	0.6449	0.2451	0.3028	0.1581	0.2745	0.1947	-0.0316	0.4379	0.1049	-0.1895	-0.3711	0.6827	0.8088	-0.5565	0.6730	0.9455	-0.0425	0.9629	-0.6010	-0.8333	-0.3508	-0.6949	-0.8122	-0.9071	0.1241	0.6222	0.7840	0.5592	1.0776	-1.5755	0.0077	-0.5934	-0.7498	0.8264	-0.5812	0.7280	-0.5890	1.2634	-0.0593	-0.7525	0.1008	-0.3770	0.1451	0.0032	0.5855	0.0078	1.2465	0.1592	0.7732	0.5629	1.0554	-0.5959	-0.5984	0.1235	-0.9057	0.4719	1.0316	-0.8799	-0.5671	-0.4909	-0.6627	-0.3121	0.1580	-0.5607	-0.3838	0.5401	0.4815	-0.5194	-0.5220	0.7481	-0.7513	-0.5853	-0.4858	0.8291	-0.4583	-0.3375	-0.3337	-0.3906	-0.1281	-0.3141	0.6930	-0.7695	0.2326	0.4119	0.6340	0.4355	0.3676	0.4972	0.2478	0.1774	-0.0039	-0.5374	-0.9318	-0.5447	0.0121	0.3937	0.6497	-0.1647	-0.3864	0.0456	0.8727	0.3964	-0.5825	0.0678	-1.7636	0.1684	0.4075	-0.1291	-0.6349	-0.1893	-0.6748	-0.8082	0.1958	-0.4114	-1.1249	-0.2931	-0.3462	0.2648	-0.2632	-0.8708	0.5096	-0.4955	0.5589
g__Acutalibacter	-0.2501	2.4034	-0.0332	-0.4000	-0.3103	0.1015	0.1012	-0.3759	0.6783	0.0781	-0.5151	0.1907	0.8890	-0.0964	0.2101	0.1292	-0.3538	-0.0166	-0.0348	-0.5297	0.3907	0.1406	0.2335	-0.0633	-0.4408	-0.1091	0.0979	0.2338	-0.1859	-0.0560	-0.1562	-0.2452	-0.1158	0.3525	0.3371	-0.2934	-0.3629	0.4875	-0.3880	-0.6599	-0.0969	0.0948	0.3844	0.0381	-0.2738	0.0969	0.2443	0.2592	0.0783	-0.0234	-0.3583	-0.1936	-0.4878	0.4979	0.1012	0.2307	0.5478	-0.6095	0.1182	-0.4976	0.1393	-0.6735	0.1762	0.0906	0.3534	-0.2646	-0.2195	0.0818	-0.4814	0.3928	-0.3508	-0.1329	-0.2829	0.2733	-0.3770	0.2999	0.3380	-0.1155	-0.0811	0.0785	-0.2092	0.3895	0.1098	0.2559	0.1324	0.2352	-0.1115	0.1091	-0.0501	0.0152	-0.0205	-0.0258	0.1227	-0.2673	0.2876	0.2731	0.3262	-0.4357	-0.1326	0.4464	0.0691	0.5277	0.5433	0.2571	-0.3012	0.0296	0.8725	-0.3993	-0.4724	-0.2215	-0.2655	-0.0041	-0.1389	-0.1667	-0.0040	0.0645	0.5441	0.0557	-0.2861	-0.5139	-0.5593	0.0993	0.0973	-0.0268	-0.4630	-0.0155	0.0600	0.0885	0.5677	-0.0752	0.0433	0.4370	0.1163	-0.0672	0.5186	0.2042	-0.2137	0.0091	0.4860	0.3551	-0.1446	-0.2360	-0.1710	-0.0494	-0.1427	-0.2063	-0.2685
g__Adlercreutzia	0.4473	-0.0332	2.5738	0.4638	0.3137	0.8792	0.0313	-0.1539	-0.0708	-0.4124	0.6218	-0.2549	0.0260	0.1115	0.0337	-0.0934	0.1718	0.3217	-0.0560	0.7117	-0.0017	-0.1560	-0.7623	-0.0475	0.1478	0.1223	0.1998	0.1513	0.0801	0.1649	0.0031	0.3155	-0.1866	0.0459	-0.2909	0.6598	0.7376	-0.6147	0.4146	0.4653	0.1108	0.2021	-0.4779	-0.2859	-0.4041	-0.2763	-0.3770	-0.6608	0.1765	0.4315	0.5339	0.6215	0.3358	-0.9410	0.0209	-0.2385	-0.6635	0.2977	-0.3495	0.4287	-0.3247	1.1222	0.0472	-0.3445	0.0429	-0.6016	0.0546	0.0446	0.4308	0.3909	0.6847	0.0694	0.5652	0.1390	0.3115	-0.4122	-0.5403	0.1063	-0.1757	0.7094	0.1307	-0.4036	-0.2741	-0.2665	-0.2595	-0.1377	0.1304	-0.2945	-0.2223	0.1184	0.4627	-0.2297	-0.1916	0.5170	-0.2678	-0.3183	-0.1093	0.2712	-0.0461	-0.1912	-0.1360	-0.1615	-0.0389	-0.1177	0.3241	-0.6276	0.0270	0.4311	0.5761	0.2509	-0.0837	0.3053	0.1166	0.0701	-0.0910	-0.1545	-0.5008	-0.3748	0.4863	0.0179	-0.1525	0.0153	-0.3240	-0.0938	0.2809	0.2811	-0.3849	0.0730	-1.2129	0.2579	0.6981	-0.0307	-0.4947	-0.1368	-0.2835	-0.4908	-0.1055	-0.1980	-0.8601	-0.2353	-0.1357	0.0109	0.0324	-0.8761	0.4316	-0.2715	0.1522
g__Agathobacter	0.9782	-0.4000	0.4638	6.4922	1.3247	1.0194	-0.3082	0.9354	-0.5039	-0.7463	2.4142	-0.3792	-0.2328	1.0234	0.0555	-0.5387	1.4622	-0.0911	0.1815	1.5883	-0.1042	-0.2928	-1.0580	0.5118	0.8819	0.1170	-0.1731	-0.0733	0.1761	-0.0038	0.0777	0.4267	-0.5179	-0.1737	-0.5846	1.9724	1.1804	-0.3077	1.4533	1.3524	-0.1136	0.8744	-0.2575	-0.6532	-0.2473	-0.8949	-0.8939	-1.5141	-0.2831	1.1187	1.2294	0.3712	1.9254	-1.7686	-0.2432	-0.7461	-0.7117	2.2423	-0.6026	0.8137	-0.8256	2.0210	-0.1925	-1.0258	-0.2956	-0.7075	0.2828	-0.2805	0.3250	-0.0948	0.6960	-0.1351	1.3479	0.0938	0.8642	-0.8386	-0.7649	-0.1702	-0.9676	0.6723	1.1131	-1.2882	-0.7033	-0.4822	-0.6121	-0.5430	-0.1742	-0.7151	-0.4542	0.3057	0.2530	-0.7128	-0.6359	1.2139	-0.8436	-0.8531	-0.5531	1.0386	0.1008	-0.3064	-0.4156	-0.2925	-0.4630	-0.5585	0.5427	-1.4398	0.0281	1.1564	1.0499	0.2418	0.5097	0.8606	0.0159	-0.0294	0.1042	-0.4550	-0.8102	-0.7849	0.3680	0.9337	0.0106	-0.2846	-0.5008	-0.2179	1.6339	0.0319	-0.5171	-0.3955	-2.0487	0.4180	0.5430	-0.4614	-1.2430	-0.3105	-0.2649	-0.9621	0.0560	-0.5122	-2.1631	-0.5428	0.0081	0.2251	0.1346	-1.3912	0.3000	-0.3547	0.1846
g__Agathobaculum	0.6159	-0.3103	0.3137	1.3247	3.8538	0.4753	-0.2836	0.8879	-0.4266	-0.5987	1.7989	-0.2667	-0.3227	0.5852	0.3296	-0.3415	0.8629	-0.1008	0.2751	0.9680	-0.4650	-0.1839	-0.5243	0.6279	0.5805	-0.2146	-0.2599	-0.3138	0.0851	0.1296	0.1067	0.1476	-0.0307	0.1019	-0.3208	1.2986	0.8419	0.0149	1.5691	1.2435	-0.0150	0.5960	0.0539	-0.5995	-0.1977	-0.8398	-1.0269	-1.6706	-0.2312	0.7289	1.0542	0.1617	1.6422	-1.3748	-0.2358	-0.4624	-0.6053	1.2994	-0.4993	0.5985	-0.3509	1.9261	-0.1918	-0.6258	-0.2528	-0.5237	0.2354	0.0054	0.3697	-0.0648	0.5994	-0.0603	0.9936	-0.0080	0.5407	-0.8073	-0.9454	-0.0704	-0.6979	0.6344	0.4449	-0.8731	-0.8098	-0.6972	-0.5231	-0.2803	0.0521	-0.4987	-0.2920	0.2886	0.2015	-0.4286	-0.7313	0.8898	-0.9239	-0.4647	-0.4833	1.1730	-0.1396	-0.3353	-0.0938	-0.3090	-0.3137	-0.3628	0.4844	-0.9667	0.1249	0.8757	1.0216	0.1710	0.2710	0.4645	-0.0212	-0.0732	-0.0077	-0.3900	-1.0180	-0.4617	0.2536	1.1589	0.8459	-0.1609	-0.2512	-0.0038	0.9378	-0.1482	-0.5346	-0.2344	-1.4205	0.0767	0.1412	-0.3633	-0.6554	0.3094	-0.3296	-0.8767	0.0575	-0.1679	-1.2626	-0.2690	-0.0123	0.0799	-0.2577	-1.3986	0.3883	-0.2536	0.0655
g__Alistipes	1.0891	0.1015	0.8792	1.0194	0.4753	5.2130	0.0431	-0.2599	-0.0430	-0.8666	1.0889	-0.3087	0.2306	-0.1057	0.7373	0.0902	0.4615	0.0174	1.1372	1.1417	-0.4556	-0.2013	-1.3349	-0.1160	-0.0916	0.1222	0.2893	0.1173	-0.0211	-0.0469	-0.4441	0.0559	-0.1550	0.6653	0.0651	1.2783	0.7908	0.2342	0.7626	0.8757	-0.0893	1.6404	-0.0119	-0.9031	-0.4314	-0.7765	-0.9766	-1.3315	0.0302	1.0089	0.6015	1.2154	1.0965	-1.8532	0.0415	-0.5100	-0.2932	1.2482	-0.7074	0.7556	-0.7971	1.9013	0.0051	-1.0319	0.2713	-1.3486	-0.4442	0.0948	0.7930	0.5520	1.0366	-0.2252	1.5609	0.1503	0.9613	-0.3576	-0.4939	0.0248	-1.1459	0.1931	0.3059	-1.1001	-0.6151	-0.6999	-0.6438	-0.0446	-0.1382	-0.7135	-0.6760	1.1387	0.8159	-0.7945	-0.4654	0.7042	-0.7957	-0.4770	-0.2943	1.4959	-0.6133	-0.3553	-0.2696	-0.2402	0.0538	-0.2392	0.5212	-1.5981	0.3794	0.5664	-0.0016	0.3720	0.3850	1.5357	0.0418	-0.2290	-0.0764	-0.6399	-1.1483	-0.5943	0.7362	0.7748	-0.6046	-0.3119	-0.5997	0.4287	0.7271	0.1696	-0.9331	0.1167	-1.6994	0.4099	1.0454	0.7072	-0.9918	-0.2860	0.0528	-1.4220	0.2122	-0.5342	-1.2216	-0.2192	-0.1802	0.0902	-0.5318	-2.0330	1.2452	-0.7317	0.0250
g__Alistipes_A	-0.2065	0.1012	0.0313	-0.3082	-0.2836	0.0431	1.1776	-0.1709	0.0771	0.0399	-0.3397	0.0331	0.0469	-0.1612	-0.0255	0.1008	-0.1515	0.0872	-0.0804	-0.1421	0.0733	0.0442	-0.0963	-0.1217	-0.0952	-0.0960	0.1785	0.2049	-0.0253	0.0956	-0.0182	-0.0046	-0.1241	-0.0198	0.0630	-0.1802	-0.0921	-0.1295	-0.2351	-0.2111	-0.0084	-0.1260	0.0418	0.1249	0.0186	0.1575	0.1922	0.2228	-0.0614	-0.2135	-0.1604	0.0732	-0.4038	0.1839	0.1008	0.1075	0.0925	-0.3424	0.1231	-0.1211	0.1063	-0.2872	0.0410	0.1075	0.1523	-0.0374	0.0079	0.0398	0.0420	0.1502	0.0240	-0.0106	-0.2234	-0.2589	-0.0464	0.0911	0.0912	0.0678	0.1597	-0.0294	-0.2929	0.1639	0.1582	0.0810	0.0698	0.0115	0.1094	0.0693	0.0058	-0.0555	0.1237	-0.0191	0.0254	-0.1030	0.1021	0.0566	0.1124	-0.1685	0.0959	0.0833	0.0261	0.0928	0.0961	0.0979	0.0148	0.0496	0.0732	-0.2346	-0.1461	0.0563	-0.0596	-0.0822	0.0996	0.0127	0.0620	0.0615	0.1918	0.0885	0.0366	-0.1189	0.0984	0.0206	0.0501	0.0453	-0.3281	0.0649	0.0444	0.0170	0.3743	-0.0499	-0.0355	0.0840	0.0460	-0.0424	-0.0008	0.0382	0.0717	-0.0018	0.2339	0.0463	-0.0800	-0.0397	0.1541	0.1060	-0.0042	0.0411	-0.0903
g__Alitiscatomonas	0.4692	-0.3759	-0.1539	0.9354	0.8879	-0.2599	-0.1709	4.0223	-0.5675	-0.1649	0.8668	-0.2290	-0.3846	0.6962	0.2081	-0.3162	0.9352	-0.1995	0.5047	0.5994	-0.1079	-0.4181	-0.2037	0.2147	1.1874	-0.0295	-0.1133	-0.3338	-0.1148	-0.1355	-0.1232	-0.0205	-0.4338	-0.0961	-0.3037	0.5020	0.1606	0.4291	0.7884	0.6870	-0.0333	0.8224	0.0452	-0.4878	0.6041	-0.4445	-0.5428	-0.7934	-0.1941	0.7346	0.5492	-0.2702	1.5102	-0.7451	-0.1762	-0.3703	-0.1296	0.5345	-0.4249	0.3902	-0.3552	0.7973	-0.2168	-0.2971	-0.3458	0.4624	-0.3049	0.0416	0.0605	-0.4097	0.3492	-0.0608	0.2783	0.0272	0.5211	-0.4730	-0.5659	-0.1450	-0.4864	0.2482	1.1732	-0.5214	-0.5005	-0.1283	-0.3958	-0.3958	0.0445	-0.2562	-0.2027	0.1624	-0.3739	-0.3270	-0.4629	0.5441	-0.3335	-0.0370	-0.2983	0.5177	0.2539	-0.1811	-0.1646	-0.2168	-0.4119	-0.4041	0.0216	-0.1572	0.0365	0.4781	0.3358	-0.0434	0.2512	0.5273	-0.1995	-0.1350	0.4983	-0.3472	-0.4476	-0.2919	-0.2538	1.4553	0.7186	-0.0899	0.0109	0.0245	0.8135	-0.2022	-0.3429	-0.0842	-0.6158	0.0195	-0.1968	-0.6358	-0.4736	-0.1347	-0.3199	-0.4477	0.7005	-0.5710	-0.7091	-0.4817	-0.0656	0.2064	-0.0226	-0.1168	0.0679	-0.3615	0.0281
g__Allocoprobacillus	-0.3143	0.6783	-0.0708	-0.5039	-0.4266	-0.0430	0.0771	-0.5675	2.3573	0.1367	-0.3488	0.2619	0.6820	0.0144	0.1918	0.3167	-0.6016	-0.2218	0.0654	-0.7608	0.2166	0.3842	0.4998	0.0031	-0.5409	-0.1661	-0.2013	-0.0856	-0.2178	-0.1341	-0.3847	-0.3772	0.1572	0.2711	0.4184	-0.6198	-0.6288	0.6528	-0.6064	-1.0092	-0.1340	-0.0050	0.7229	0.1027	0.1049	0.2764	0.4055	0.4374	0.0165	-0.1017	-0.6036	-0.1408	-0.6451	0.8070	0.0542	0.1788	0.8553	-0.3789	0.3286	-0.2960	0.1713	-0.7166	0.1677	0.1282	0.1838	-0.2065	-0.5965	0.1201	-0.2087	0.2472	-0.6540	-0.1819	-0.0210	0.0748	-0.5002	0.5251	0.6132	-0.1798	0.2485	-0.1414	-0.1332	0.1654	0.1040	0.1399	0.2253	0.2090	-0.1067	0.1209	0.0441	0.3266	-0.1176	0.0941	0.0209	-0.4735	0.0546	0.5091	0.2931	-0.2453	-0.3318	0.2738	0.1333	0.3731	0.5137	0.3753	-0.3374	-0.0206	0.2846	-0.7252	-0.5841	-0.4098	0.0424	0.0318	-0.1058	-0.1534	-0.0721	0.1151	0.4795	0.1210	-0.0486	-0.3344	-0.6218	-0.0049	0.1564	-0.1028	-0.4585	-0.0538	0.0085	-0.0554	1.0868	-0.1405	0.1691	0.5606	0.1357	0.1528	0.6696	0.0936	-0.4275	0.1161	1.2062	0.2656	0.0751	-0.2522	-0.1929	0.0989	-0.2726	-0.0016	-0.3743
g__Amedibacterium	-0.5812	0.0781	-0.4124	-0.7463	-0.5987	-0.8666	0.0399	-0.1649	0.1367	2.7473	-0.6534	0.1799	-0.0915	0.0379	-0.0893	0.0245	-0.6725	-0.1403	-0.1522	-0.5512	0.0669	0.1809	0.9891	0.1950	-0.1819	-0.0640	-0.1060	-0.0024	-0.1320	-0.0426	-0.1918	-0.3645	0.1153	0.0918	0.2359	-0.4153	-0.6348	0.0462	-0.6585	-0.5034	-0.0670	-0.4816	0.3643	0.2593	0.5060	0.3087	0.3921	0.5067	0.0752	-0.3335	-0.4898	-0.3307	-0.6316	1.6887	0.0043	0.3163	0.4733	-0.4328	0.5663	-0.6131	0.3755	-1.3706	-0.1060	0.4213	0.0299	0.3297	-0.3474	0.0647	-0.5774	-0.0700	-0.7699	0.0085	-0.5915	-0.3169	-0.4644	0.1872	0.1032	-0.0930	0.3224	-0.4864	0.0023	0.3004	0.3783	0.3947	0.3291	0.0682	-0.0232	0.3554	0.3504	0.0056	-0.4130	0.5523	0.1831	-0.6874	0.3301	0.3602	0.2714	-0.6837	0.4247	0.1905	0.1655	0.1540	0.1638	0.1911	-0.5007	0.4471	-0.1847	-0.0809	-0.5943	-0.3860	0.1276	-0.2068	0.0210	0.1692	0.1452	0.2315	0.7647	0.2040	-0.0701	0.0877	-0.4716	0.0499	0.4309	0.0971	-0.3996	-0.2528	0.2830	0.0660	1.4844	-0.3270	-0.2047	0.0449	0.2197	0.4086	0.2547	0.3518	0.2515	0.1525	1.0164	0.0449	0.4825	-0.2015	0.3496	0.4018	-0.4386	0.4086	-0.1803
