Source,Target,Interaction,Correlation,P_value,Abs_Correlation
g__Acetatifactor,g__Hominicoprocola,positive,0.3526,0.001,0.3526
g__Acetatifactor,g__Hominiventricola,positive,0.353,0.001,0.353
g__Acetatifactor,g__Ruminococcus_B,negative,-0.3344,0.001,0.3344
g__Acutalibacter,g__Anaeromassilibacillus,positive,0.4198,0.001,0.4198
g__Acutalibacter,g__Negativibacillus,positive,0.3289,0.001,0.3289
g__Agathobacter,g__Anaerobutyricum,positive,0.3858,0.001,0.3858
g__Agathobacter,g__Faecalibacterium,positive,0.3078,0.001,0.3078
g__Agathobacter,g__Fusicatenibacter,positive,0.3575,0.001,0.3575
g__Agathobacter,g__Thomasclavelia,negative,-0.3462,0.001,0.3462
g__Agathobaculum,g__Anaerobutyricum,positive,0.3732,0.001,0.3732
g__Agathobaculum,g__Dorea,positive,0.3596,0.001,0.3596
g__Agathobaculum,g__Enterococcus_B,negative,-0.3337,0.001,0.3337
g__Agathobaculum,g__Faecalibacterium,positive,0.3408,0.001,0.3408
g__Agathobaculum,g__Gemmiger,positive,0.3701,0.001,0.3701
g__Alistipes,g__Dysosmobacter,positive,0.4057,0.001,0.4057
g__Alistipes,g__Evtepia,positive,0.3019,0.001,0.3019
g__Alistipes,g__Gemmiger,positive,0.3141,0.001,0.3141
g__Alistipes,g__Hominilimicola,positive,0.3317,0.001,0.3317
g__Alistipes,g__Nanosynbacter,negative,-0.3241,0.001,0.3241
g__Alistipes,g__Parabacteroides,positive,0.3038,0.001,0.3038
g__Alistipes,g__Streptococcus,negative,-0.3162,0.001,0.3162
g__Alistipes,g__Veillonella,negative,-0.3443,0.001,0.3443
g__Alistipes,g__Vescimonas,positive,0.3369,0.001,0.3369
g__Alitiscatomonas,g__Brotaphodocola,positive,0.334,0.001,0.334
g__Alitiscatomonas,g__Faecalibacterium,positive,0.3068,0.001,0.3068
g__Allocoprobacillus,g__Anaeromassilibacillus,positive,0.3252,0.001,0.3252
g__Allocoprobacillus,g__Thomasclavelia,positive,0.3204,0.001,0.3204
g__Amedibacterium,g__Faecalimonas,positive,0.3493,0.001,0.3493
g__Amedibacterium,g__Gemmiger,negative,-0.3119,0.001,0.3119
g__Amedibacterium,g__Ruminococcus_B,positive,0.317,0.001,0.317
g__Anaerobutyricum,g__Anthropogastromicrobium,positive,0.3413,0.001,0.3413
g__Anaerobutyricum,g__Bariatricus,positive,0.3028,0.001,0.3028
g__Anaerobutyricum,g__Collinsella,positive,0.3333,0.001,0.3333
g__Anaerobutyricum,g__Dorea,positive,0.362,0.001,0.362
g__Anaerobutyricum,g__Enterococcus_A,negative,-0.3455,0.001,0.3455
g__Anaerobutyricum,g__Enterococcus_B,negative,-0.3588,0.001,0.3588
g__Anaerobutyricum,g__Faecalibacterium,positive,0.3771,0.001,0.3771
