#OTU ID	prevalence
g__Acetatifactor	0.45041322314049587
g__Acutalibacter	0.1652892561983471
g__Adlercreutzia	0.2644628099173554
g__Agathobacter	0.7417355371900827
g__Agathobaculum	0.6673553719008265
g__Alistipes	0.5599173553719008
g__Alistipes_A	0.11570247933884298
g__Alitiscatomonas	0.5805785123966942
g__Allocoprobacillus	0.27892561983471076
g__Amedibacterium	0.16735537190082644
g__Anaerobutyricum	0.7396694214876033
g__Anaerofustis	0.14256198347107438
g__Anaeromassilibacillus	0.26239669421487605
g__Anaerostipes	0.9442148760330579
g__Anaerotignum	0.506198347107438
g__Anaerotruncus	0.1962809917355372
g__Anthropogastromicrobium	0.5971074380165289
g__Aristaeella	0.10537190082644628
g__Bacteroides	0.9194214876033058
g__Bariatricus	0.43388429752066116
g__Bifidobacterium	0.9008264462809917
g__Bittarella	0.22520661157024793
g__Blautia	0.7128099173553719
g__Blautia_A	0.9896694214876033
g__Brotaphodocola	0.40289256198347106
g__Butyribacter	0.11776859504132231
g__CAG-170	0.12396694214876033
g__CAG-177	0.1115702479338843
g__CAG-217	0.1384297520661157
g__CAG-488	0.14256198347107438
g__Catenibacterium	0.15082644628099173
g__Choladousia	0.22520661157024793
g__Clostridium	0.6983471074380165
g__Clostridium_A	0.7107438016528925
g__Clostridium_AP	0.18801652892561985
g__Collinsella	0.8285123966942148
g__Coprococcus_A	0.4049586776859504
g__Dialister	0.5144628099173554
g__Dorea	0.5661157024793388
g__Dorea_A	0.6033057851239669
g__Dorea_D	0.13016528925619836
g__Dysosmobacter	0.6342975206611571
g__Eggerthella	0.6487603305785123
g__Enterobacter	0.23760330578512398
g__Enterocloster	0.8863636363636364
g__Enterococcus	0.12396694214876033
g__Enterococcus_A	0.11983471074380166
g__Enterococcus_B	0.39669421487603307
g__Eubacterium_F	0.10537190082644628
g__Eubacterium_G	0.493801652892562
g__Eubacterium_I	0.45041322314049587
g__Evtepia	0.27892561983471076
g__Faecalibacterium	0.9318181818181818
g__Faecalimonas	0.44834710743801653
g__Faecousia	0.1115702479338843
g__Finegoldia	0.11776859504132231
g__Flavonifractor	0.71900826446281
g__Fusicatenibacter	0.7892561983471075
g__Fusobacterium_A	0.1012396694214876
g__Gallintestinimicrobium	0.34917355371900827
g__Gemella	0.2665289256198347
g__Gemmiger	0.6818181818181818
g__Gordonibacter	0.18181818181818182
g__Granulicatella	0.4297520661157025
g__Guopingia	0.17355371900826447
g__Haemophilus_D	0.47107438016528924
g__Holdemanella	0.21694214876033058
g__Holdemania	0.30785123966942146
g__Hominenteromicrobium	0.2830578512396694
g__Hominibacterium	0.22933884297520662
g__Hominicoprocola	0.3285123966942149
g__Hominifimenecus	0.1115702479338843
g__Hominilimicola	0.5764462809917356
g__Hominimerdicola	0.3119834710743802
g__Hominiventricola	0.34297520661157027
g__Hungatella	0.24173553719008264
g__Intestinibacter	0.756198347107438
g__JAGTTR01	0.15702479338842976
g__Klebsiella	0.26859504132231404
g__Lachnoclostridium_B	0.4194214876033058
g__Lachnospira	0.8285123966942148
g__Lacticaseibacillus	0.2334710743801653
g__Lactiplantibacillus	0.1322314049586777
g__Lactobacillus	0.1115702479338843
g__Lactococcus	0.22520661157024793
g__Lactonifactor	0.14256198347107438
g__Laedolimicola	0.1487603305785124
g__Lancefieldella	0.11776859504132231
g__Latilactobacillus	0.3202479338842975
g__Lawsonibacter	0.5247933884297521
g__Lentihominibacter	0.3140495867768595
g__Leuconostoc	0.3202479338842975
g__Ligilactobacillus	0.1115702479338843
g__Limivivens	0.4194214876033058
g__Limosilactobacillus	0.14669421487603307
g__Longicatena	0.11776859504132231
g__Massilioclostridium	0.11363636363636363
g__Mediterraneibacter	0.7293388429752066
g__Megamonas	0.27892561983471076
g__Merdibacter	0.10330578512396695
g__Merdimmobilis	0.1756198347107438
g__Merdimonas	0.11983471074380166
g__Merdivicinus	0.16115702479338842
g__Muricomes	0.14049586776859505
g__Murimonas	0.32644628099173556
g__Nanosynbacter	0.34297520661157027
g__Negativibacillus	0.2871900826446281
g__Odoribacter	0.49793388429752067
g__Oliverpabstia	0.3450413223140496
g__Onthenecus	0.2024793388429752
g__Otoolea	0.7768595041322314
g__Parabacteroides	0.7128099173553719
g__Paraprevotella	0.16115702479338842
g__Pararoseburia	0.12190082644628099
g__Parasutterella	0.27892561983471076
g__Pauljensenia	0.14669421487603307
g__Pediococcus	0.16322314049586778
g__Peptostreptococcus	0.17148760330578514
g__Phascolarctobacterium	0.38636363636363635
g__Phocaeicola	0.9462809917355371
g__Prevotella	0.44421487603305787
g__Pseudobutyricicoccus	0.10743801652892562
g__Pseudoflavonifractor_A	0.13429752066115702
g__Pseudoscilispira	0.2892561983471074
g__Roseburia	0.6735537190082644
g__Roseburia_D	0.14256198347107438
g__Rothia	0.2603305785123967
g__Ruminiclostridium_E	0.1115702479338843
g__Ruminococcus_B	0.8388429752066116
g__Ruminococcus_C	0.24173553719008264
g__Ruminococcus_E	0.20454545454545456
g__Ruthenibacterium	0.493801652892562
g__Sarcina	0.2128099173553719
g__Schaedlerella	0.3822314049586777
g__Sellimonas	0.2644628099173554
g__Streptococcus	0.9648760330578512
g__Sutterella	0.4152892561983471
g__Terrisporobacter	0.2665289256198347
g__Thomasclavelia	0.628099173553719
g__Turicibacter	0.4297520661157025
g__Tyzzerella	0.21487603305785125
g__UBA3402	0.16942148760330578
g__URXU01	0.1384297520661157
g__Veillonella	0.6363636363636364
g__Vescimonas	0.3347107438016529
g__Weissella	0.5020661157024794
g__Wujia	0.13429752066115702
