#OTU ID	CT1	CT10	CT11	CT12	CT13	CT14	CT15	CT16	CT17	CT18	CT19	CT2	CT20	CT21	CT22	CT23	CT24	CT25	CT26	CT27	CT28	CT29	CT3	CT30	CT31	CT32	CT33	CT34	CT35	CT36	CT37	CT38	CT39	CT4	CT40	CT41	CT42	CT43	CT44	CT45	CT46	CT47	CT48	CT49	CT5	CT50	CT51	CT52	CT53	CT54	CT55	CT56	CT57	CT6	CT7	CT8	CT9	PD1	PD10	PD100	PD101	PD102	PD103	PD104	PD105	PD106	PD107	PD108	PD109	PD11	PD110	PD111	PD112	PD113	PD114	PD115	PD116	PD117	PD118	PD119	PD12	PD120	PD121	PD122	PD123	PD124	PD125	PD126	PD127	PD128	PD129	PD13	PD130	PD131	PD132	PD133	PD134	PD135	PD136	PD137	PD138	PD139	PD14	PD140	PD141	PD142	PD143	PD144	PD145	PD146	PD147	PD148	PD149	PD15	PD150	PD151	PD152	PD153	PD154	PD155	PD156	PD157	PD158	PD159	PD16	PD160	PD161	PD162	PD163	PD164	PD165	PD166	PD167	PD168	PD169	PD17	PD170	PD171	PD172	PD173	PD174	PD175	PD176	PD177	PD178	PD179	PD18	PD180	PD181	PD182	PD183	PD184	PD185	PD186	PD187	PD188	PD189	PD19	PD190	PD191	PD192	PD193	PD194	PD195	PD196	PD197	PD198	PD199	PD2	PD20	PD200	PD201	PD202	PD203	PD204	PD205	PD206	PD207	PD208	PD209	PD21	PD210	PD211	PD212	PD213	PD214	PD215	PD216	PD217	PD218	PD219	PD22	PD220	PD221	PD222	PD223	PD224	PD225	PD226	PD227	PD228	PD229	PD23	PD230	PD231	PD232	PD233	PD234	PD235	PD236	PD237	PD238	PD239	PD24	PD240	PD241	PD242	PD243	PD244	PD245	PD246	PD247	PD248	PD249	PD25	PD250	PD251	PD252	PD253	PD254	PD255	PD256	PD257	PD258	PD259	PD26	PD260	PD261	PD27	PD28	PD29	PD3	PD30	PD31	PD32	PD33	PD34	PD35	PD36	PD37	PD38	PD39	PD4	PD40	PD41	PD42	PD43	PD44	PD45	PD46	PD47	PD48	PD49	PD5	PD50	PD51	PD52	PD53	PD54	PD55	PD56	PD57	PD58	PD59	PD6	PD60	PD61	PD62	PD63	PD64	PD65	PD66	PD67	PD68	PD69	PD7	PD70	PD71	PD72	PD73	PD74	PD75	PD76	PD77	PD78	PD79	PD8	PD80	PD81	PD82	PD83	PD84	PD85	PD86	PD87	PD88	PD89	PD9	PD90	PD91	PD92	PD93	PD94	PD95	PD96	PD97	PD98	PD99	PV1	PV10	PV100	PV101	PV102	PV103	PV104	PV105	PV106	PV107	PV108	PV109	PV11	PV110	PV111	PV112	PV113	PV114	PV115	PV116	PV117	PV118	PV119	PV12	PV120	PV121	PV122	PV123	PV124	PV125	PV126	PV127	PV128	PV129	PV13	PV130	PV131	PV132	PV133	PV134	PV135	PV136	PV137	PV138	PV139	PV14	PV140	PV141	PV142	PV143	PV144	PV145	PV146	PV147	PV148	PV149	PV15	PV150	PV151	PV152	PV153	PV154	PV155	PV156	PV157	PV158	PV159	PV16	PV160	PV161	PV162	PV163	PV164	PV165	PV166	PV17	PV18	PV19	PV2	PV20	PV21	PV22	PV23	PV24	PV25	PV26	PV27	PV28	PV29	PV3	PV30	PV31	PV32	PV33	PV34	PV35	PV36	PV37	PV38	PV39	PV4	PV40	PV41	PV42	PV43	PV44	PV45	PV46	PV47	PV48	PV49	PV5	PV50	PV51	PV52	PV53	PV54	PV55	PV56	PV57	PV58	PV59	PV6	PV60	PV61	PV62	PV63	PV64	PV65	PV66	PV67	PV68	PV69	PV7	PV70	PV71	PV72	PV73	PV74	PV75	PV76	PV77	PV78	PV79	PV8	PV80	PV81	PV82	PV83	PV84	PV85	PV86	PV87	PV88	PV89	PV9	PV90	PV91	PV92	PV93	PV94	PV95	PV96	PV97	PV98	PV99
g__Acetatifactor	0	89	13	98	132	34	346	539	700	7	220	63	287	20	34	226	29	30	289	60	46	103	0	24	145	0	242	0	158	76	29	0	0	5	0	0	0	176	103	18	34	29	0	267	0	0	0	36	76	0	0	0	0	0	186	0	25	0	0	0	404	60	4	11	49	36	0	0	27	20	0	45	0	307	0	0	0	12	151	0	0	19	0	31	163	0	0	42	0	0	0	0	0	565	0	0	106	290	0	25	0	0	0	0	0	0	49	50	0	26	0	0	0	37	0	0	0	66	0	0	0	0	88	8	0	0	0	0	0	0	0	39	0	39	13	0	0	0	0	0	0	0	7	0	737	29	0	6	0	5	0	0	129	75	0	0	14	0	9	0	0	0	0	0	103	0	170	19	133	0	0	0	0	0	0	16	0	34	0	0	0	0	0	14	163	0	0	0	0	2631	0	0	32	45	29	306	0	0	0	0	0	0	0	0	0	0	105	0	4	0	45	75	0	13	4	0	0	36	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0	0	28	0	0	0	0	0	0	134	0	0	0	0	54	0	0	0	0	0	0	0	0	69	0	0	0	450	0	0	34	30	43	0	0	18	0	8	349	50	0	0	211	115	0	0	0	0	209	61	0	0	0	0	14	60	0	23	0	0	0	0	88	32	0	9	0	0	429	0	219	0	329	0	552	19	0	48	0	0	0	0	6	147	0	72	16	19	77	0	0	0	180	0	634	179	21	0	530	0	116	12	84	0	0	0	0	0	0	0	0	0	167	399	37	0	376	119	61	248	819	147	188	142	0	348	0	0	23	0	0	35	0	89	370	0	0	13	141	85	0	23	103	10	185	137	0	80	8	65	92	19	0	0	30	211	17	13	0	0	1072	23	44	0	57	117	0	57	0	0	8	748	115	60	0	0	8	0	78	25	368	108	0	95	0	57	68	0	0	28	496	103	440	96	107	111	0	38	0	246	0	0	0	214	266	81	55	68	0	0	94	0	0	116	101	0	18	227	0	0	366	60	16	42	0	0	0	0	0	30	0	20	0	0	0
g__Acutalibacter	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	62	0	0	86	0	0	0	0	0	0	0	53	0	0	0	0	128	19	0	0	0	0	0	0	0	44	0	0	0	0	10	6	0	0	0	0	12	0	0	0	0	21	0	0	0	0	1212	0	0	50	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	648	0	0	8	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	14	0	0	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	0	0	119	118	406	0	0	477	0	4	11	36	0	0	0	63	0	0	0	0	0	78	0	0	0	0	0	0	0	75	0	0	3	48	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	194	0	24	0	0	0	0	57	0	0	0	0	0	0	7	0	0	0	99	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	5	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	231	0	22	36	0	0	0	9	0	0	0	0	0	1031	0	0	0	0	8	0	13	0	0	0	0	0	896	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	15	0	0	0	0	0	0	98	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	901	0	0	0	8	0	0	0	23	0	0	0	0	6	0	8	0	0	0	0	8	133	15	0	0	0	0	0	21	41	0	0	0	8	0	0	0	0	0	0	6	0	0	73	0	0	0	0	0	0	0	0	0	0	28	0	0	0	17	0	0	0	0	0	0	78	0	0	0	0	0	26	0	0	0	43	0	0	0
g__Adlercreutzia	0	146	0	117	211	14	115	250	0	0	11	40	195	25	80	0	175	51	8	62	0	0	1576	0	47	23	0	48	0	26	178	27	0	275	54	0	0	0	0	14	91	8	0	476	0	0	0	0	75	0	0	0	0	50	183	0	169	0	0	0	106	279	263	0	12	0	0	0	0	31	0	0	0	38	0	0	0	0	0	0	0	0	0	104	0	0	73	42	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	24	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	47	0	0	0	0	38	0	86	0	0	0	20	0	16	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	7	0	0	0	0	0	0	0	13	79	57	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	28	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	18	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	11	0	0	48	0	25	119	52	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	36	0	0	0	0	4	0	0	2	0	8	15	17	0	0	0	0	0	0	0	23	0	95	29	67	0	0	0	42	0	455	0	0	0	0	52	0	0	0	0	133	0	39	142	152	116	0	70	10	53	0	62	0	0	0	0	0	12	0	0	29	22	70	0	0	0	0	50	0	9	0	230	0	0	0	106	0	126	184	199	20	0	37	0	0	0	0	0	0	0	0	45	0	0	40	0	0	0	0	60	0	0	0	0	0	0	0	0	76	0	0	127	162	102	0	0	107	0	0	67	0	11	0	0	0	70	0	25	0	0	0	72	0	0	55	0	0	0	0	0	0	61	0	0	101	5	0	0	245	0	0	28	0	0	0	0	11	0	0	0	0	0	0
g__Agathobacter	0	582	347	2718	659	1908	1707	2811	148	72	362	555	903	1154	3767	203	1957	688	1191	473	395	1255	180	1370	124	191	563	173	851	1490	778	1994	0	323	73	103	13926	253	1127	63	47	4047	34	119	452	768	0	999	568	285	0	0	0	377	2185	897	1754	1878	322	1674	1205	3153	450	27	574	1073	38	4254	62	291	0	652	54	3288	11	6	0	107	1679	0	14	171	9	2227	0	0	0	275	0	847	77	124	34	0	10	19	0	293	0	595	0	220	182	0	13	0	127	1132	198	1108	0	717	377	324	1182	0	0	0	0	9	359	12	2136	0	1235	0	3269	13	0	161	0	68	45	804	1322	0	985	15	7000	0	943	16	104	662	0	0	0	495	1272	0	0	256	105	148	0	480	1223	18072	182	0	63	80	0	348	378	2650	815	216	640	67	264	440	89	0	42	198	0	214	137	472	0	430	1871	467	0	85	456	0	0	1122	0	0	690	7005	41	249	288	77	0	0	317	0	0	1119	1096	472	0	0	12	11	1354	0	0	1541	0	0	5342	0	277	0	63	0	0	0	37	9	0	0	1841	493	7	103	37	11	47	732	0	71	0	0	330	0	198	627	0	52	0	0	0	2974	0	844	101	1676	0	0	0	21	545	0	34	0	4432	722	0	1353	0	0	0	0	0	577	114	980	48	3673	627	0	11356	4108	43	206	0	0	833	211	142	1500	3843	0	17	566	186	0	0	0	152	120	0	0	0	6	0	3468	23	203	2562	243	15	0	3652	18	390	0	0	0	0	2256	2046	0	0	1666	28	0	395	0	1452	1469	1067	219	59	1082	204	571	1168	0	531	280	87	1991	316	1840	12	1316	164	273	318	469	279	611	1490	1604	80	0	1473	388	985	158	176	925	0	2197	3828	1855	3421	2790	6075	10	4951	4281	2390	490	3362	989	263	103	700	185	399	0	250	1503	229	188	128	0	202	161	142	26	228	95	83	1501	614	203	897	837	87	139	0	0	105	46	0	176	42	0	2178	262	3816	196	24	513	1465	1095	307	1010	6117	45	3767	745	87	132	1106	0	803	1488	499	139	52	0	1042	0	242	8	736	131	1515	355	2485	800	862	263	1158	13	62	592	350	0	22	0	260	8	833	554	1074	183	0	66	31	0	2446	2358	0	468	422	0	0	353	299	0	343	0	575	0	453	1478	30	9	396	1889	161	21
g__Agathobaculum	49	118	85	251	40	178	357	434	196	147	238	55	174	0	299	194	138	53	78	329	195	207	25	74	14	276	55	62	97	119	115	117	0	159	101	124	190	101	0	73	42	55	78	588	144	0	0	130	59	326	0	0	0	112	123	217	182	0	0	353	218	248	0	0	198	186	109	426	104	101	0	0	214	18	0	0	0	12	315	0	0	35	0	39	0	0	26	88	0	186	0	0	0	18	222	0	100	4	0	0	0	8	16	0	52	0	0	0	0	60	34	0	0	149	184	0	0	0	0	0	47	0	87	0	0	122	293	0	145	11	73	81	0	68	167	0	142	0	0	0	95	18	163	68	0	175	0	113	261	0	0	238	9	7	0	143	238	0	38	0	39	26	0	59	12	21	82	0	103	248	35	185	8	96	93	0	0	175	59	52	0	0	0	58	1320	16	0	122	244	210	11	0	264	65	216	63	124	0	0	0	186	0	0	0	289	39	67	115	167	0	60	21	0	629	103	195	0	102	165	1966	209	0	0	28	0	329	0	0	0	0	151	0	0	0	42	111	0	0	0	0	58	0	23	161	0	99	0	0	0	0	0	328	38	272	0	18	0	0	255	452	0	0	339	82	0	78	0	0	45	0	31	0	183	272	0	3	0	0	891	0	610	38	196	0	193	14	169	225	494	76	0	617	542	0	0	0	0	73	290	0	0	4	0	322	71	289	304	26	0	0	66	16	203	0	0	0	0	378	207	255	99	147	177	0	78	0	64	46	0	58	0	121	10	0	48	0	29	75	66	88	104	155	0	143	187	108	0	124	260	171	158	23	68	0	130	281	36	134	54	364	639	12	297	0	256	1442	647	205	263	350	751	58	225	0	51	0	74	18	76	160	34	85	23	165	12	0	95	176	34	21	199	87	87	48	199	49	150	104	205	245	37	53	156	61	193	0	0	6	82	517	146	0	116	14	37	78	119	422	0	183	85	702	0	0	0	40	114	0	0	48	0	136	54	147	32	188	70	139	160	122	157	52	69	59	95	215	81	0	141	126	70	153	108	7	82	153	80	0	419	27	19	64	219	121	65	114	24	0	0	197	0	528	0	0	44	0	52	0	97	0	0	183	50	0
g__Alistipes	0	57	144	235	267	427	103	26	61	303	389	5	258	193	398	12	560	82	8	2171	342	76	134	0	718	541	362	1342	81	244	1141	648	561	24	1007	0	48	31	0	21	9	91	12	661	131	0	20	27	110	0	0	13	0	0	5	234	100	0	0	0	128	1673	2124	14	1342	0	811	0	0	3	0	13	4	368	0	248	0	305	270	0	0	48	0	0	0	0	16	110	0	31	0	0	0	183	4	0	0	103	0	3	3	0	0	0	733	0	0	17	0	0	0	0	0	977	5	0	0	0	0	0	186	0	0	0	0	7	0	0	0	0	0	26	0	839	0	0	645	0	0	0	12	0	18	0	0	0	1169	0	6	0	0	0	1062	17	5	0	0	0	83	0	772	0	0	116	175	0	1465	306	812	0	0	0	136	0	8	0	0	71	0	0	0	0	0	231	0	0	0	0	4	823	3	0	4317	0	0	124	117	0	0	0	70	18	0	11844	76	0	2730	215	0	0	769	0	0	142	21	0	3	43	0	0	226	0	4	0	0	286	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	101	0	0	0	0	296	0	20	0	0	0	0	182	14	0	0	0	199	0	0	0	0	0	0	5	11	0	9	155	10	3	0	4	17	0	5	7	0	827	0	13	1015	6	0	0	47	0	157	0	0	74	825	4	0	0	377	47	52	1694	0	0	0	0	2	262	1284	0	3	4	0	0	0	0	0	5	16	0	0	0	18	106	277	0	0	326	381	550	680	0	0	76	301	25	134	0	1519	0	34	214	0	67	769	12	11	124	81	216	0	0	16	0	96	0	8	0	786	28	1812	432	0	762	0	45	60	10	0	76	0	743	55	0	37	0	53	147	313	20	23	39	0	619	240	38	87	0	9	28	0	75	0	1012	99	1630	315	217	180	0	372	60	2289	750	60	49	108	153	0	0	1952	487	101	5	0	0	0	922	0	124	0	10	1502	31	89	258	2109	9208	0	670	884	326	13	14	1285	344	277	353	20	810	0	1317	129	16	3	526	18	0	1153	436	217	45	20	266	0	44	207	44	46	943	644	0	410	199	0	0	254	1450	0	157	0	38	0	0	45	0	3	56	240	0	20
g__Alistipes_A	0	4	0	7	0	0	4	0	8	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	39	0	0	7	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	15	0	116	0	143	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	44	0	0	29	0	199	0	0	0	0	0	0	0	14	37	0	0	0	0	0	0	0	0	0	0	0	37	7	28	0	0	0	0	0	0	0	6	36	9	0	5	0	63	7	0	0	0	0	0	0	0	2	57	0	29	0	0	0	0	0	0	0	0	0	0	0	11	0	14	0	0	0	0	3	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alitiscatomonas	119	71	56	99	34	215	228	98	36	119	186	31	38	14	171	104	0	92	59	63	122	136	0	60	29	124	60	194	20	37	52	0	0	0	45	0	31	52	39	0	0	0	30	154	0	29	0	52	58	0	0	0	0	0	8	0	10	6441	0	494	221	69	0	0	72	630	0	671	53	75	0	49	101	20	0	0	0	15	0	35	0	13	0	89	101	0	0	39	0	0	19	990	12	26	0	0	92	0	108	17	0	12	37	0	0	0	277	172	0	102	0	174	10	56	103	0	6	0	0	293	83	0	95	0	351	147	182	0	480	20	54	163	63	62	0	0	248	0	197	0	0	29	73	41	0	240	0	268	94	0	0	197	24	25	0	0	230	0	20	0	63	0	0	19	0	12	0	65	169	0	0	0	21	0	91	0	0	0	9	40	0	73	0	0	0	21	102	0	0	0	0	0	0	772	0	52	106	0	0	0	172	375	0	0	905	57	123	166	313	0	61	112	0	25	305	111	0	0	0	58	117	0	0	0	0	0	0	0	0	0	58	0	196	0	0	14	37	0	0	0	0	204	0	1164	0	0	60	18	0	0	34	9	0	30	0	0	0	0	0	98	0	0	19	6	0	39	30	0	0	0	0	18	176	1896	0	0	509	0	279	0	0	0	0	0	41	102	488	135	998	688	0	162	0	0	315	54	0	8	0	0	0	0	0	220	10	14	0	0	0	0	108	17	1798	0	0	7	1195	84	6	332	0	81	115	0	109	13	59	0	0	26	0	58	49	0	73	0	92	36	0	31	138	223	0	101	77	88	25	0	17	23	20	16	74	0	15	0	0	33	0	28	0	451	111	0	103	925	289	34	106	206	84	201	274	0	14	0	154	34	34	0	10	82	0	56	0	0	0	138	75	77	139	9	0	0	0	37	0	0	0	54	0	28	142	68	58	0	219	28	137	320	0	0	94	15	60	0	91	20	0	95	69	214	163	0	0	33	62	93	70	0	30	0	92	0	14	116	63	59	0	53	28	145	69	95	0	0	136	87	50	104	75	601	95	120	53	15	55	25	0	29	77	0	88	88	0	84	99	8	0	98	18	103	0	377	20	0	128	72	109	0	0	0	0	0
g__Allocoprobacillus	18	0	10	0	6	0	0	0	0	0	0	0	242	0	14	0	50	3	0	6	0	0	3	0	9	0	0	7	4	0	0	9	27	38	0	5	0	0	0	16	4	0	0	16	22	10	4	0	0	0	0	203	476	49	0	76	0	0	0	0	0	15	213	0	0	15	9	42	0	0	0	0	0	0	0	322	0	0	3	0	0	0	0	0	0	0	44	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	148	0	0	8	0	0	0	11	0	264	0	0	0	83	12	0	0	0	0	2	0	0	0	5	0	88	0	20	52	0	15	5	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	100	0	0	7	0	0	0	0	0	0	0	18	0	0	12	8	0	0	0	0	7	0	0	0	0	0	0	67	0	0	0	0	83	0	0	0	92	0	0	0	0	0	0	12	24	0	0	0	0	97	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	17	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	17	0	0	683	15	0	0	5	0	0	0	0	0	0	0	0	0	0	58	7	0	0	0	0	9	0	0	0	0	0	0	19	0	0	0	0	0	18	0	0	0	0	0	80	0	0	6	0	11	0	14	0	0	0	20	101	0	0	0	77	0	4	0	3	2	0	0	0	7	0	35	104	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	657	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	6	9	2	0	0	0	22	16	24	53	0	11	0	63	0	0	0	0	13	48	0	29	0	0	0	0	9	0	6	0	0	9	0	62	1796	11	2	0	0	0	6	4	0	0	0	19	25	0	21	0	0	0	0	0	0	0	22	3	0	0	0	0	0	0	0	0	2	16	0	8	9	23	0	0	0	0	0	0	33	7	7	0	0	0	0	0	7	40	5	0	0	0
g__Amedibacterium	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	5	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	371	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	206	0	381	0	0	28	0	0	12	0	0	0	6	25	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	146	7	5	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	63	24	0	0	0	26	0	135	0	0	0	0	0	29	0	23	0	0	0	0	171	0	0	0	55	0	9	0	0	0	0	0	19	86	0	0	0	0	43	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	0	0	0	0	0	0	0	0	0	79	0	0	0	0	179	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	13	13	621	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	88	10	41	0	103	0	125	0	0	0	0	0	0	15	0	0	0	4	0	1492	8	0	0	0	0	76	0	0	0	110	13	0	0	0	0	0	0	68	0	0	14	0	0	0	0	6	0	0	0	0	194	0	0	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	6	5	0	3	0	0	0	0	0	0	74	0	0	0	0	0	6	0	0	0	0	0	21	1614	391	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	22	312	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	324	0	0	0
