Node	Betweenness
g__Faecalibacterium	1763.0
g__Veillonella	1762.5
g__Lacticaseibacillus	1499.0
g__Enterococcus_B	1378.0
g__Blautia_A	1269.0
g__Thomasclavelia	1231.0
g__Odoribacter	1213.0
g__Fusicatenibacter	1194.0
g__Streptococcus	1164.5
g__Agathobaculum	1088.0
g__Gemmiger	1049.0
g__Limosilactobacillus	1007.0
g__Faecalimonas	1000.5
g__Parabacteroides	893.0
g__Enterococcus	881.0
g__Haemophilus_D	879.0
g__Bacteroides	876.5
g__Anaerobutyricum	730.5
g__Intestinibacter	713.5
g__Dorea_A	693.5
g__Limivivens	668.5
g__Blautia	393.5
g__Nanosynbacter	392.0
g__Ruminococcus_B	370.0
g__Sarcina	353.5
g__Eggerthella	350.0
g__Granulicatella	192.0
g__Clostridium	191.0
g__Hungatella	189.0
g__Flavonifractor	169.0
g__Anaerostipes	128.0
g__Anaerotruncus	128.0
g__Leuconostoc	118.0
g__Enterocloster	74.0
g__Enterobacter	65.0
g__Anaeromassilibacillus	65.0
g__Agathobacter	65.0
g__Otoolea	64.5
g__Dorea	38.5
g__Rothia	26.0
g__Hominilimicola	13.0
g__Phocaeicola	13.0
g__Coprococcus_A	9.5
g__Oliverpabstia	9.0
g__Mediterraneibacter	9.0
g__Acutalibacter	0.0
g__Dysosmobacter	0.0
g__Bariatricus	0.0
g__Roseburia	0.0
g__Dialister	0.0
g__Turicibacter	0.0
g__Terrisporobacter	0.0
g__Lachnospira	0.0
g__Klebsiella	0.0
g__Eubacterium_I	0.0
g__Collinsella	0.0
g__Enterococcus_A	0.0
g__Lentihominibacter	0.0
g__Evtepia	0.0
g__Ruthenibacterium	0.0
g__Lactiplantibacillus	0.0
g__Gemella	0.0
g__Hominenteromicrobium	0.0
g__Peptostreptococcus	0.0
g__Pauljensenia	0.0
g__Hominicoprocola	0.0
g__Lactobacillus	0.0
g__Latilactobacillus	0.0
g__Weissella	0.0
