Node	Closeness
g__Faecalibacterium	0.37028221693301594
g__Veillonella	0.34626391096979336
g__Faecalimonas	0.3444022770398482
g__Blautia	0.32517169304269933
g__Dorea_A	0.32029411764705884
g__Gemmiger	0.32029411764705884
g__Anaerobutyricum	0.31401384083044986
g__Ruminococcus_B	0.3124820659971306
g__Intestinibacter	0.31096516276413483
g__Thomasclavelia	0.3079751131221719
g__Parabacteroides	0.30504201680672266
g__Blautia_A	0.30504201680672266
g__Dorea	0.30216426193118756
g__Streptococcus	0.30074565037282514
g__Bacteroides	0.30074565037282514
g__Haemophilus_D	0.30074565037282514
g__Odoribacter	0.2993402968664101
g__Mediterraneibacter	0.2979480164158687
g__Enterococcus_B	0.2979480164158687
g__Nanosynbacter	0.2979480164158687
g__Dysosmobacter	0.28855325914149443
g__Limivivens	0.28855325914149443
g__Flavonifractor	0.2859768907563025
g__Enterococcus	0.2859768907563025
g__Sarcina	0.2847058823529412
g__Collinsella	0.2834461218115565
g__Bariatricus	0.28095975232198145
g__Fusicatenibacter	0.2725907384230288
g__Phocaeicola	0.2725907384230288
g__Enterocloster	0.27143569292123626
g__Eubacterium_I	0.2680285503322668
g__Enterococcus_A	0.2680285503322668
g__Otoolea	0.2658042470100073
g__Granulicatella	0.2636165577342048
g__Lacticaseibacillus	0.2512110726643599
g__Eggerthella	0.2512110726643599
g__Agathobaculum	0.2502297794117647
g__Anaerostipes	0.24829001367989056
g__Hominilimicola	0.24543610547667344
g__Clostridium	0.2444993264481365
g__Dialister	0.2444993264481365
g__Hominenteromicrobium	0.24173140954495007
g__Hominicoprocola	0.2372549019607843
g__Rothia	0.2363794226177556
g__Leuconostoc	0.23464770523594053
g__Pauljensenia	0.23294117647058823
g__Gemella	0.23294117647058823
g__Oliverpabstia	0.23209718670076726
g__Peptostreptococcus	0.23125929071989806
g__Hungatella	0.22960151802656548
g__Lactiplantibacillus	0.228781512605042
g__Coprococcus_A	0.2255592377796189
g__Limosilactobacillus	0.2255592377796189
g__Ruthenibacterium	0.22242647058823528
g__Agathobacter	0.2156862745098039
g__Enterobacter	0.19956019791094007
g__Terrisporobacter	0.19649945867917717
g__Turicibacter	0.19649945867917717
g__Lachnospira	0.1958985429033999
g__Latilactobacillus	0.19236883942766295
g__Weissella	0.19008552976086576
g__Anaerotruncus	0.1884083044982699
g__Lactobacillus	0.18354963762009102
g__Roseburia	0.1769580760480988
g__Klebsiella	0.16595550137153306
g__Anaeromassilibacillus	0.15895489709531455
g__Acutalibacter	0.13687782805429863
g__Lentihominibacter	0.014705882352941176
g__Evtepia	0.014705882352941176
