node	positive_degree	negative_degree	total_degree
g__Agathobacter	3	0	3
g__Enterococcus_A	2	1	3
g__Mediterraneibacter	5	1	6
g__Otoolea	5	0	5
g__Lachnospira	1	0	1
g__Agathobaculum	1	2	3
g__Bariatricus	4	0	4
g__Gemmiger	7	1	8
g__Hominilimicola	3	0	3
g__Blautia_A	3	5	8
g__Thomasclavelia	5	2	7
g__Turicibacter	2	0	2
g__Enterococcus_B	4	4	8
g__Flavonifractor	7	0	7
g__Latilactobacillus	3	0	3
g__Enterococcus	2	1	3
g__Bacteroides	6	4	10
g__Nanosynbacter	3	3	6
g__Roseburia	2	0	2
g__Evtepia	1	0	1
g__Granulicatella	6	1	7
g__Gemella	3	0	3
g__Clostridium	6	0	6
g__Lentihominibacter	1	0	1
g__Klebsiella	1	0	1
g__Coprococcus_A	3	0	3
g__Dorea	7	1	8
g__Eggerthella	2	2	4
g__Ruminococcus_B	5	2	7
g__Blautia	8	0	8
g__Anaeromassilibacillus	2	0	2
g__Streptococcus	11	2	13
g__Intestinibacter	4	1	5
g__Sarcina	3	1	4
g__Limivivens	3	1	4
g__Phocaeicola	4	1	5
g__Dysosmobacter	4	0	4
g__Anaerostipes	2	1	3
g__Weissella	2	0	2
g__Faecalimonas	5	2	7
g__Terrisporobacter	2	0	2
g__Enterobacter	1	2	3
g__Pauljensenia	3	0	3
g__Hungatella	5	0	5
g__Hominicoprocola	0	1	1
g__Fusicatenibacter	7	2	9
g__Haemophilus_D	3	2	5
g__Collinsella	3	0	3
g__Enterocloster	7	0	7
g__Odoribacter	4	4	8
g__Phascolarctobacterium	1	0	1
g__Ruthenibacterium	2	0	2
g__Lacticaseibacillus	5	1	6
g__Parabacteroides	5	4	9
g__Hominenteromicrobium	1	0	1
g__Lactobacillus	2	0	2
g__Rothia	6	1	7
g__Dialister	1	0	1
g__Limosilactobacillus	3	2	5
g__Oliverpabstia	2	0	2
g__Anaerobutyricum	6	2	8
g__Peptostreptococcus	2	0	2
g__Leuconostoc	4	1	5
g__Anaerotruncus	2	0	2
g__Veillonella	7	9	16
g__Alistipes	1	0	1
g__Acutalibacter	1	0	1
g__Eubacterium_I	3	0	3
g__Dorea_A	8	1	9
g__Lactiplantibacillus	2	0	2
g__Faecalibacterium	10	5	15
