source	target	correlation	p_value	source_log_mean_abundance	target_log_mean_abundance	source_prevalence	target_prevalence
g__Acetatifactor	g__Acutalibacter	-0.0196	0.7772	2.808398174936492	3.8126629693485383	0.1368421052631579	0.1052631578947368
g__Acetatifactor	g__Adlercreutzia	0.0176	0.8022	2.808398174936492	2.7555167383411336	0.1368421052631579	0.0631578947368421
g__Acetatifactor	g__Agathobacter	-0.0342	0.6753	2.808398174936492	6.995861542475836	0.1368421052631579	0.4842105263157895
g__Acetatifactor	g__Agathobaculum	0.0476	0.5774	2.808398174936492	4.877103901471733	0.1368421052631579	0.3157894736842105
g__Acetatifactor	g__Alistipes	0.0691	0.3856	2.808398174936492	5.799849943402434	0.1368421052631579	0.2947368421052631
g__Acetatifactor	g__Alistipes_A	-0.0669	0.2747	2.808398174936492	0.3334916084830751	0.1368421052631579	0.0210526315789473
g__Acetatifactor	g__Alitiscatomonas	0.0929	0.2378	2.808398174936492	3.433314935552264	0.1368421052631579	0.2526315789473684
g__Acetatifactor	g__Allocoprobacillus	0.0054	0.956	2.808398174936492	3.612605676757944	0.1368421052631579	0.2210526315789473
g__Acetatifactor	g__Amedibacterium	-0.144	0.0669	2.808398174936492	4.120052918932307	0.1368421052631579	0.1368421052631579
g__Acetatifactor	g__Anaerobutyricum	0.095	0.2677	2.808398174936492	6.481864224354722	0.1368421052631579	0.3789473684210526
g__Acetatifactor	g__Anaerofustis	-0.0758	0.2697	2.808398174936492	0.8561868078044497	0.1368421052631579	0.0842105263157894
g__Acetatifactor	g__Anaeromassilibacillus	-0.016	0.8392	2.808398174936492	3.3744540566866443	0.1368421052631579	0.2
g__Acetatifactor	g__Anaerostipes	0.0015	0.986	2.808398174936492	7.015057658002304	0.1368421052631579	0.8421052631578947
g__Acetatifactor	g__Anaerotignum	0.0561	0.4705	2.808398174936492	4.30575285731789	0.1368421052631579	0.1894736842105263
g__Acetatifactor	g__Anaerotruncus	-0.0064	0.9301	2.808398174936492	1.8750021796322625	0.1368421052631579	0.1052631578947368
g__Acetatifactor	g__Anthropogastromicrobium	-0.0019	0.982	2.808398174936492	4.959195790190205	0.1368421052631579	0.3263157894736842
g__Acetatifactor	g__Aristaeella	0.0458	0.4915	2.808398174936492	1.293584963015623	0.1368421052631579	0.031578947368421
g__Acetatifactor	g__Bacteroides	0.0206	0.8132	2.808398174936492	6.87443545462203	0.1368421052631579	0.7684210526315789
g__Acetatifactor	g__Bariatricus	0.0971	0.2268	2.808398174936492	4.509714162215719	0.1368421052631579	0.1789473684210526
g__Acetatifactor	g__Bifidobacterium	-0.1575	0.0679	2.808398174936492	9.19726146472764	0.1368421052631579	0.8736842105263158
g__Acetatifactor	g__Bittarella	-0.039	0.5664	2.808398174936492	1.588384503236268	0.1368421052631579	0.1052631578947368
g__Acetatifactor	g__Blautia	-0.0602	0.4745	2.808398174936492	7.299403144918797	0.1368421052631579	0.6842105263157895
g__Acetatifactor	g__Blautia_A	0.0034	0.979	2.808398174936492	8.922458279521734	0.1368421052631579	0.9473684210526316
g__Acetatifactor	g__Brotaphodocola	0.0628	0.3916	2.808398174936492	2.4709204078132605	0.1368421052631579	0.0947368421052631
g__Acetatifactor	g__Butyribacter	0.0519	0.4535	2.808398174936492	2.458519894614805	0.1368421052631579	0.0526315789473684
g__Acetatifactor	g__CAG-170	0.0057	0.9391	2.808398174936492	1.282090583589888	0.1368421052631579	0.031578947368421
g__Acetatifactor	g__CAG-177	-0.0363	0.5534	2.808398174936492	0.5108256237659906	0.1368421052631579	0.0421052631578947
g__Acetatifactor	g__CAG-217	-0.0391	0.5874	2.808398174936492	3.0929346015103536	0.1368421052631579	0.0842105263157894
g__Acetatifactor	g__CAG-488	0.1133	0.0899	2.808398174936492	3.592735593561034	0.1368421052631579	0.0631578947368421
g__Acetatifactor	g__Catenibacterium	0.1006	0.1808	2.808398174936492	4.095385686730511	0.1368421052631579	0.1052631578947368
g__Acetatifactor	g__Choladousia	0.1009	0.1688	2.808398174936492	2.49354974594402	0.1368421052631579	0.0947368421052631
g__Acetatifactor	g__Clostridium	0.1592	0.0579	2.808398174936492	5.960468253837765	0.1368421052631579	0.6842105263157895
g__Acetatifactor	g__Clostridium_A	-0.1082	0.2078	2.808398174936492	3.92321019481871	0.1368421052631579	0.5368421052631579
g__Acetatifactor	g__Clostridium_AP	-0.0102	0.9021	2.808398174936492	2.995732273553991	0.1368421052631579	0.1368421052631579
g__Acetatifactor	g__Collinsella	-0.0385	0.6783	2.808398174936492	8.347674329258883	0.1368421052631579	0.6631578947368421
g__Acetatifactor	g__Coprococcus_A	0.051	0.5105	2.808398174936492	3.7573166156671647	0.1368421052631579	0.1473684210526315
g__Acetatifactor	g__Dialister	-0.0892	0.2917	2.808398174936492	5.790851720341776	0.1368421052631579	0.4631578947368421
g__Acetatifactor	g__Dorea	-0.0472	0.5794	2.808398174936492	4.870574696016811	0.1368421052631579	0.231578947368421
g__Acetatifactor	g__Dorea_A	-0.0509	0.5554	2.808398174936492	5.905021190582361	0.1368421052631579	0.3052631578947368
g__Acetatifactor	g__Dorea_D	0.0864	0.2308	2.808398174936492	2.173804303128121	0.1368421052631579	0.0421052631578947
g__Acetatifactor	g__Dysosmobacter	0.0814	0.2907	2.808398174936492	3.1832486472250494	0.1368421052631579	0.2736842105263158
g__Acetatifactor	g__Eggerthella	-0.1441	0.0699	2.808398174936492	5.049188049172468	0.1368421052631579	0.4631578947368421
g__Acetatifactor	g__Enterobacter	0.0638	0.4545	2.808398174936492	5.761854822582984	0.1368421052631579	0.3894736842105263
g__Acetatifactor	g__Enterocloster	-0.0303	0.7163	2.808398174936492	6.689910166119136	0.1368421052631579	0.6631578947368421
g__Acetatifactor	g__Enterococcus	0.0092	0.9161	2.808398174936492	5.790023879367316	0.1368421052631579	0.2842105263157894
g__Acetatifactor	g__Enterococcus_A	-0.0756	0.3337	2.808398174936492	5.793140632836521	0.1368421052631579	0.2842105263157894
g__Acetatifactor	g__Enterococcus_B	-0.1075	0.2108	2.808398174936492	8.361396713561637	0.1368421052631579	0.5473684210526316
g__Acetatifactor	g__Eubacterium_F	-0.0144	0.8222	2.808398174936492	1.01160091167848	0.1368421052631579	0.0526315789473684
g__Acetatifactor	g__Eubacterium_G	0.0803	0.2997	2.808398174936492	3.879413721862518	0.1368421052631579	0.2105263157894736
g__Acetatifactor	g__Eubacterium_I	-0.0446	0.5495	2.808398174936492	3.798294240099803	0.1368421052631579	0.1368421052631579
g__Acetatifactor	g__Evtepia	0.065	0.4036	2.808398174936492	3.437341786631299	0.1368421052631579	0.1052631578947368
g__Acetatifactor	g__Faecalibacterium	-0.024	0.8032	2.808398174936492	7.730769594884916	0.1368421052631579	0.8315789473684211
g__Acetatifactor	g__Faecalimonas	-0.0426	0.6184	2.808398174936492	7.161945198701672	0.1368421052631579	0.5684210526315789
g__Acetatifactor	g__Faecousia	-0.0003	0.998	2.808398174936492	1.0266387890430204	0.1368421052631579	0.0526315789473684
g__Acetatifactor	g__Finegoldia	-0.1358	0.0629	2.808398174936492	3.0385522707369192	0.1368421052631579	0.2
g__Acetatifactor	g__Flavonifractor	-0.1135	0.1968	2.808398174936492	5.71689063060894	0.1368421052631579	0.5368421052631579
g__Acetatifactor	g__Fusicatenibacter	0.0065	0.9461	2.808398174936492	6.797870656077689	0.1368421052631579	0.5263157894736842
g__Acetatifactor	g__Fusobacterium_A	-0.0952	0.1708	2.808398174936492	4.156275519952591	0.1368421052631579	0.0736842105263157
g__Acetatifactor	g__Gallintestinimicrobium	0.134	0.0779	2.808398174936492	3.4793151609261077	0.1368421052631579	0.1052631578947368
g__Acetatifactor	g__Gemella	0.0108	0.8911	2.808398174936492	3.7431111355441087	0.1368421052631579	0.3894736842105263
g__Acetatifactor	g__Gemmiger	0.1448	0.0959	2.808398174936492	5.960521975398926	0.1368421052631579	0.4421052631578947
g__Acetatifactor	g__Gordonibacter	-0.0025	0.961	2.808398174936492	0.6174353588242488	0.1368421052631579	0.031578947368421
g__Acetatifactor	g__Granulicatella	0.016	0.8561	2.808398174936492	5.526697184657492	0.1368421052631579	0.5894736842105263
g__Acetatifactor	g__Guopingia	0.0425	0.4775	2.808398174936492	0.5596157879354227	0.1368421052631579	0.031578947368421
g__Acetatifactor	g__Haemophilus_D	0.1024	0.2128	2.808398174936492	6.704363291568891	0.1368421052631579	0.431578947368421
g__Acetatifactor	g__Holdemanella	0.0324	0.6983	2.808398174936492	5.934067134121777	0.1368421052631579	0.1473684210526315
g__Acetatifactor	g__Holdemania	0.0151	0.8232	2.808398174936492	1.4221038138166011	0.1368421052631579	0.1263157894736842
g__Acetatifactor	g__Hominenteromicrobium	0.2001	0.009	2.808398174936492	3.751952057569011	0.1368421052631579	0.1368421052631579
g__Acetatifactor	g__Hominibacterium	0.0467	0.5225	2.808398174936492	1.9156963704588168	0.1368421052631579	0.1052631578947368
g__Acetatifactor	g__Hominicoprocola	0.2529	0.002	2.808398174936492	3.3455084758015667	0.1368421052631579	0.1368421052631579
g__Acetatifactor	g__Hominifimenecus	0.0186	0.7632	2.808398174936492	0.92458953468885	0.1368421052631579	0.0421052631578947
g__Acetatifactor	g__Hominilimicola	0.1409	0.0759	2.808398174936492	5.168469657014785	0.1368421052631579	0.3368421052631579
g__Acetatifactor	g__Hominimerdicola	0.0122	0.9031	2.808398174936492	4.205935627630563	0.1368421052631579	0.2526315789473684
g__Acetatifactor	g__Hominiventricola	0.173	0.02	2.808398174936492	2.107684753993231	0.1368421052631579	0.0842105263157894
g__Acetatifactor	g__Hungatella	0.0092	0.8871	2.808398174936492	4.942534881392324	0.1368421052631579	0.231578947368421
g__Acetatifactor	g__Intestinibacter	-0.0455	0.5804	2.808398174936492	7.204257712428372	0.1368421052631579	0.7789473684210526
g__Acetatifactor	g__JAGTTR01	0.0375	0.5315	2.808398174936492	0.723918839226699	0.1368421052631579	0.0421052631578947
g__Acetatifactor	g__Klebsiella	0.0833	0.3267	2.808398174936492	6.374989328000086	0.1368421052631579	0.3789473684210526
g__Acetatifactor	g__Lachnoclostridium_B	0.1488	0.0509	2.808398174936492	4.033502902965855	0.1368421052631579	0.1894736842105263
g__Acetatifactor	g__Lachnospira	0.0723	0.3886	2.808398174936492	6.799543480054595	0.1368421052631579	0.6421052631578947
g__Acetatifactor	g__Lacticaseibacillus	-0.0849	0.3057	2.808398174936492	5.594633929266828	0.1368421052631579	0.5578947368421052
g__Acetatifactor	g__Lactiplantibacillus	-0.0555	0.4935	2.808398174936492	4.174387269895637	0.1368421052631579	0.2526315789473684
g__Acetatifactor	g__Lactobacillus	-0.0388	0.6354	2.808398174936492	6.465204676517702	0.1368421052631579	0.2526315789473684
g__Acetatifactor	g__Lactococcus	-0.0152	0.8362	2.808398174936492	4.916629818350868	0.1368421052631579	0.3368421052631579
g__Acetatifactor	g__Lactonifactor	-0.028	0.6933	2.808398174936492	1.8588987720656835	0.1368421052631579	0.0947368421052631
g__Acetatifactor	g__Laedolimicola	0.0364	0.5804	2.808398174936492	1.178654996341646	0.1368421052631579	0.0421052631578947
g__Acetatifactor	g__Lancefieldella	-0.0855	0.2358	2.808398174936492	2.8657659470939643	0.1368421052631579	0.231578947368421
g__Acetatifactor	g__Latilactobacillus	-0.0532	0.4725	2.808398174936492	5.257929305642748	0.1368421052631579	0.2526315789473684
g__Acetatifactor	g__Lawsonibacter	0.0705	0.3716	2.808398174936492	3.6446880743072345	0.1368421052631579	0.1789473684210526
g__Acetatifactor	g__Lentihominibacter	0.082	0.2667	2.808398174936492	2.009331975492809	0.1368421052631579	0.1263157894736842
g__Acetatifactor	g__Leuconostoc	0.0761	0.3536	2.808398174936492	4.480645727920353	0.1368421052631579	0.3894736842105263
g__Acetatifactor	g__Ligilactobacillus	-0.123	0.1319	2.808398174936492	6.6105558374912485	0.1368421052631579	0.1684210526315789
g__Acetatifactor	g__Limivivens	0.0338	0.6783	2.808398174936492	3.3088688633949053	0.1368421052631579	0.1473684210526315
g__Acetatifactor	g__Limosilactobacillus	-0.0904	0.2597	2.808398174936492	5.839065803965282	0.1368421052631579	0.3157894736842105
g__Acetatifactor	g__Longicatena	-0.1657	0.022	2.808398174936492	3.2370431288236494	0.1368421052631579	0.1052631578947368
g__Acetatifactor	g__Massilioclostridium	-0.1277	0.0779	2.808398174936492	1.5269616906098618	0.1368421052631579	0.1263157894736842
g__Acetatifactor	g__Mediterraneibacter	0.0162	0.8511	2.808398174936492	6.266805150963952	0.1368421052631579	0.3789473684210526
g__Acetatifactor	g__Megamonas	-0.1479	0.0579	2.808398174936492	4.363894486350466	0.1368421052631579	0.1894736842105263
g__Acetatifactor	g__Merdibacter	-0.0262	0.6643	2.808398174936492	0.5831462853456167	0.1368421052631579	0.0421052631578947
g__Acetatifactor	g__Merdimmobilis	0.0506	0.4915	2.808398174936492	1.9218125974762528	0.1368421052631579	0.0842105263157894
g__Acetatifactor	g__Merdimonas	-0.0512	0.4496	2.808398174936492	2.4259083090260445	0.1368421052631579	0.0947368421052631
g__Acetatifactor	g__Merdivicinus	0.0562	0.4316	2.808398174936492	3.0355537677406623	0.1368421052631579	0.0631578947368421
g__Acetatifactor	g__Muricomes	-0.0398	0.5345	2.808398174936492	1.1592369104845446	0.1368421052631579	0.0526315789473684
g__Acetatifactor	g__Murimonas	0.226	0.004	2.808398174936492	2.763432346953795	0.1368421052631579	0.0947368421052631
g__Acetatifactor	g__Nanosynbacter	0.0242	0.7822	2.808398174936492	6.940988551853716	0.1368421052631579	0.5157894736842106
g__Acetatifactor	g__Negativibacillus	0.1885	0.016	2.808398174936492	3.9468269276228383	0.1368421052631579	0.1473684210526315
g__Acetatifactor	g__Odoribacter	-0.1035	0.2468	2.808398174936492	5.905248308457514	0.1368421052631579	0.2631578947368421
g__Acetatifactor	g__Oliverpabstia	-0.0171	0.8252	2.808398174936492	5.124211964525422	0.1368421052631579	0.1473684210526315
g__Acetatifactor	g__Onthenecus	0.0801	0.2478	2.808398174936492	2.45315795147342	0.1368421052631579	0.0736842105263157
g__Acetatifactor	g__Otoolea	0.0723	0.4146	2.808398174936492	5.79269597664371	0.1368421052631579	0.5473684210526316
g__Acetatifactor	g__Parabacteroides	0.0431	0.6264	2.808398174936492	5.310431196931548	0.1368421052631579	0.4105263157894737
g__Acetatifactor	g__Paraprevotella	0.1096	0.1169	2.808398174936492	2.543895948263704	0.1368421052631579	0.0842105263157894
g__Acetatifactor	g__Pararoseburia	-0.1037	0.0989	2.808398174936492	1.0704414117014134	0.1368421052631579	0.0210526315789473
g__Acetatifactor	g__Parasutterella	-0.0106	0.8791	2.808398174936492	5.839369045620879	0.1368421052631579	0.1368421052631579
g__Acetatifactor	g__Pauljensenia	-0.1283	0.0869	2.808398174936492	2.874035338576471	0.1368421052631579	0.2210526315789473
g__Acetatifactor	g__Pediococcus	-0.1129	0.1828	2.808398174936492	7.114955745375241	0.1368421052631579	0.2842105263157894
g__Acetatifactor	g__Peptostreptococcus	-0.0897	0.2458	2.808398174936492	3.246815193557442	0.1368421052631579	0.3157894736842105
g__Acetatifactor	g__Phascolarctobacterium	-0.0661	0.3906	2.808398174936492	4.050334621225658	0.1368421052631579	0.2526315789473684
g__Acetatifactor	g__Phocaeicola	-0.1308	0.1479	2.808398174936492	6.295535030438751	0.1368421052631579	0.8421052631578947
g__Acetatifactor	g__Prevotella	0.1677	0.04	2.808398174936492	4.834461467888535	0.1368421052631579	0.3789473684210526
g__Acetatifactor	g__Pseudobutyricicoccus	-0.0227	0.6843	2.808398174936492	0.1177830356563834	0.1368421052631579	0.0105263157894736
g__Acetatifactor	g__Pseudoflavonifractor_A	-0.1198	0.0869	2.808398174936492	1.8292425624827957	0.1368421052631579	0.0631578947368421
