source	target	correlation	p_value
g__Acetatifactor	g__Hominicoprocola	0.2529	0.0905569620253164
g__Acutalibacter	g__Anaerofustis	0.2129	0.0905569620253164
g__Acutalibacter	g__Anaeromassilibacillus	0.3641	0.0623895348837209
g__Acutalibacter	g__Anaerotignum	0.25	0.0905569620253164
g__Acutalibacter	g__Merdibacter	0.2577	0.0623895348837209
g__Acutalibacter	g__Merdivicinus	0.2814	0.0623895348837209
g__Agathobacter	g__Fusicatenibacter	0.4555	0.0623895348837209
g__Agathobacter	g__Hominilimicola	0.3696	0.0623895348837209
g__Agathobacter	g__Lancefieldella	-0.2684	0.0905569620253164
g__Agathobacter	g__Roseburia	0.3638	0.0623895348837209
g__Agathobaculum	g__Dorea	0.3539	0.0623895348837209
g__Agathobaculum	g__Enterococcus_B	-0.3673	0.0623895348837209
g__Agathobaculum	g__Lactiplantibacillus	-0.276	0.0623895348837209
g__Agathobaculum	g__Limosilactobacillus	-0.308	0.0623895348837209
g__Agathobaculum	g__Negativibacillus	0.2482	0.0905569620253164
g__Agathobaculum	g__Odoribacter	0.2801	0.0623895348837209
g__Alistipes	g__Evtepia	0.2749	0.0905569620253164
g__Anaerobutyricum	g__Bacteroides	0.2946	0.0905569620253164
g__Anaerobutyricum	g__Bariatricus	0.3156	0.0623895348837209
g__Anaerobutyricum	g__Enterococcus_B	-0.3519	0.0623895348837209
g__Anaerobutyricum	g__Faecalibacterium	0.4706	0.0623895348837209
g__Anaerobutyricum	g__Fusicatenibacter	0.4484	0.0623895348837209
g__Anaerobutyricum	g__Gemmiger	0.392	0.0623895348837209
g__Anaerobutyricum	g__Hominilimicola	0.3968	0.0623895348837209
g__Anaerobutyricum	g__Mediterraneibacter	0.38	0.0623895348837209
g__Anaerobutyricum	g__Veillonella	-0.3008	0.0623895348837209
g__Anaerofustis	g__Enterococcus_B	0.2384	0.0623895348837209
g__Anaeromassilibacillus	g__Anaerotruncus	0.3265	0.0623895348837209
g__Anaerostipes	g__Blautia	0.3558	0.0623895348837209
g__Anaerostipes	g__Blautia_A	0.3176	0.0905569620253164
g__Anaerostipes	g__Enterobacter	-0.3181	0.0623895348837209
g__Anaerotignum	g__Clostridium_AP	0.2707	0.0623895348837209
g__Anaerotruncus	g__Faecalibacterium	-0.2794	0.0623895348837209
g__Anaerotruncus	g__Flavonifractor	0.2312	0.0623895348837209
g__Anaerotruncus	g__Hungatella	0.3116	0.0623895348837209
g__Anaerotruncus	g__Merdimonas	0.2434	0.0905569620253164
g__Anthropogastromicrobium	g__Lachnoclostridium_B	0.2471	0.0905569620253164
g__Aristaeella	g__Dorea_D	0.2017	0.0905569620253164
g__Bacteroides	g__Dysosmobacter	0.3466	0.0623895348837209
g__Bacteroides	g__Eggerthella	0.3403	0.0623895348837209
g__Bacteroides	g__Enterococcus_B	-0.3257	0.0905569620253164
g__Bacteroides	g__Faecalibacterium	0.4673	0.0623895348837209
g__Bacteroides	g__Haemophilus_D	-0.3401	0.0623895348837209
g__Bacteroides	g__Lacticaseibacillus	-0.2939	0.0905569620253164
g__Bacteroides	g__Lawsonibacter	0.2748	0.0623895348837209
g__Bacteroides	g__Mediterraneibacter	0.404	0.0623895348837209
g__Bacteroides	g__Nanosynbacter	-0.3149	0.0623895348837209
g__Bacteroides	g__Parabacteroides	0.5338	0.0623895348837209
g__Bacteroides	g__Phocaeicola	0.5741	0.0623895348837209
g__Bariatricus	g__Dorea_A	0.3698	0.0623895348837209
g__Bariatricus	g__Gemmiger	0.3391	0.0623895348837209
g__Bariatricus	g__Limivivens	0.3423	0.0623895348837209
g__Bariatricus	g__Veillonella	-0.2636	0.0905569620253164
g__Bifidobacterium	g__Hominicoprocola	-0.2756	0.0623895348837209
g__Blautia	g__Blautia_A	0.3521	0.0623895348837209
g__Blautia	g__Dialister	0.3602	0.0623895348837209
g__Blautia	g__Enterocloster	0.3914	0.0623895348837209
g__Blautia	g__Faecalimonas	0.4248	0.0623895348837209
g__Blautia	g__Flavonifractor	0.392	0.0623895348837209
g__Blautia	g__Otoolea	0.3154	0.0623895348837209
g__Blautia	g__Ruminococcus_B	0.3948	0.0623895348837209
g__Blautia_A	g__Eggerthella	0.3331	0.0905569620253164
g__Blautia_A	g__Enterococcus	-0.3455	0.0623895348837209
g__Blautia_A	g__Granulicatella	-0.3485	0.0623895348837209
g__Blautia_A	g__Lactiplantibacillus	-0.2879	0.0905569620253164
g__Blautia_A	g__Streptococcus	-0.3393	0.0623895348837209
g__Brotaphodocola	g__Hominiventricola	0.2042	0.0905569620253164
g__Butyribacter	g__Roseburia_D	0.2875	0.0623895348837209
g__CAG-177	g__Enterococcus_B	0.2027	0.0623895348837209
g__CAG-488	g__Hominicoprocola	0.2728	0.0905569620253164
g__CAG-488	g__Prevotella	0.2738	0.0905569620253164
g__CAG-488	g__UBA3402	0.2118	0.0905569620253164
g__Choladousia	g__Coprococcus_A	0.2492	0.0905569620253164
g__Choladousia	g__Paraprevotella	0.2238	0.0623895348837209
g__Clostridium	g__Intestinibacter	0.404	0.0623895348837209
g__Clostridium	g__Lachnospira	0.3584	0.0623895348837209
g__Clostridium	g__Sarcina	0.5338	0.0623895348837209
g__Clostridium	g__Terrisporobacter	0.3198	0.0623895348837209
g__Clostridium	g__Turicibacter	0.3943	0.0623895348837209
g__Clostridium	g__Veillonella	0.3298	0.0905569620253164
g__Collinsella	g__Dorea	0.4737	0.0623895348837209
g__Collinsella	g__Dorea_A	0.3855	0.0623895348837209
g__Collinsella	g__Faecalibacterium	0.4267	0.0623895348837209
g__Collinsella	g__Limivivens	0.264	0.0623895348837209
g__Coprococcus_A	g__Dorea	0.3206	0.0905569620253164
g__Coprococcus_A	g__Faecalibacterium	0.2993	0.0905569620253164
g__Coprococcus_A	g__Limivivens	0.3626	0.0623895348837209
g__Coprococcus_A	g__Oliverpabstia	0.3713	0.0623895348837209
g__Dorea	g__Dorea_A	0.5567	0.0623895348837209
g__Dorea	g__Eubacterium_I	0.3095	0.0623895348837209
g__Dorea	g__Faecalibacterium	0.3746	0.0623895348837209
g__Dorea	g__Faecalimonas	-0.2797	0.0623895348837209
g__Dorea	g__Odoribacter	0.3307	0.0905569620253164
g__Dorea	g__Veillonella	-0.3338	0.0623895348837209
g__Dorea_A	g__Eubacterium_I	0.3136	0.0623895348837209
g__Dorea_A	g__Faecalibacterium	0.3304	0.0623895348837209
g__Dorea_A	g__Limivivens	0.3041	0.0623895348837209
g__Dorea_A	g__Odoribacter	0.3458	0.0623895348837209
g__Dorea_A	g__Phocaeicola	0.3065	0.0623895348837209
g__Dorea_A	g__Veillonella	-0.3414	0.0623895348837209
g__Dorea_D	g__Ruminococcus_C	0.2381	0.0623895348837209
