#OTU ID	CT43	CT46	CT5	CT50	CT51	CT55	CT56	PD10	PD104	PD110	PD114	PD115	PD116	PD119	PD121	PD123	PD124	PD130	PD132	PD133	PD136	PD142	PD145	PD153	PD154	PD162	PD17	PD171	PD173	PD18	PD183	PD19	PD20	PD201	PD202	PD203	PD206	PD21	PD216	PD226	PD23	PD230	PD237	PD242	PD245	PD247	PD248	PD25	PD251	PD252	PD257	PD258	PD259	PD260	PD261	PD28	PD29	PD3	PD30	PD32	PD37	PD38	PD41	PD46	PD47	PD48	PD50	PD54	PD55	PD60	PD67	PD68	PD69	PD7	PD81	PD82	PD83	PD85	PD88	PD9	PD90	PD92	PD95	PD96	PD97	PV126	PV128	PV129	PV130	PV137	PV143	PV153	PV4	PV44	PV45
g__Acetatifactor	176	34	0	0	0	0	0	0	11	0	0	0	0	0	0	163	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	61	0	0	0	0	0	0	0	0	9	0	0	12	84	0	0	61	0	0	0	0
g__Acutalibacter	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	406	0	0	63	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	1031	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
g__Adlercreutzia	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0	0	12	0	0	0
g__Agathobacter	253	47	452	768	0	0	0	322	27	0	11	6	0	0	9	0	0	34	10	19	0	0	198	0	0	13	0	15	0	0	0	18072	67	440	89	0	0	0	0	0	0	1119	1354	5342	0	0	0	37	0	0	37	11	47	0	71	0	330	0	198	0	2974	0	0	0	34	0	0	0	0	3673	0	0	833	211	0	0	0	0	203	243	15	3652	0	0	0	279	1490	1604	0	0	10	399	6117	132	1106
g__Agathobaculum	101	42	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	248	185	8	96	0	0	122	0	0	0	60	0	1966	0	0	0	0	0	0	0	42	0	0	0	58	0	23	0	0	0	0	452	0	0	0	45	0	3	196	0	193	14	290	0	0	0	289	26	0	66	0	0	0	260	158	23	0	639	205	76	0	0	0
g__Alistipes	31	9	131	0	20	0	13	0	14	0	0	248	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1169	0	0	0	0	136	0	0	0	0	0	0	11844	769	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	14	0	0	0	0	0	10	7	0	827	0	4	0	0	47	0	0	0	262	3	4	0	12	124	81	0	0	0	0	0	0	10
g__Alistipes_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
g__Alitiscatomonas	52	0	0	29	0	0	0	0	0	0	0	0	0	35	0	101	0	12	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	61	0	58	0	0	0	0	0	196	0	0	37	0	0	0	204	0	0	0	34	0	98	0	0	0	0	0	0	0	0	41	102	0	0	0	0	14	0	0	108	0	0	7	17	20	16	0	0	34	34	0	0	0
g__Allocoprobacillus	0	4	22	10	4	0	203	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	11	0	0	88	20	0	0	0	100	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	15	0	58	7	0	0	0	0	0	0	0	0	0	7	35	104	0	0	0	0	9	9	0
g__Amedibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	5	0	0	0	0	0	63	0	135	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	13	68	0	0	0	1614	391
