Node	Score	Centrality	Cluster
g__Acetatifactor	892.0	Betweenness	c1
g__Gemella	637.5	Betweenness	c1
g__Hominifimenecus	169.5	Betweenness	c1
g__Hominiventricola	1295.0	Betweenness	c1
g__Lachnospira	477.0	Betweenness	c1
g__Merdimonas	428.0	Betweenness	c1
g__Murimonas	2508.5	Betweenness	c1
g__Ruminococcus_B	2717.0	Betweenness	c1
g__Acutalibacter	77.0	Betweenness	c1
g__Allocoprobacillus	0.0	Betweenness	c1
g__Hominenteromicrobium	152.0	Betweenness	c1
g__Agathobacter	461.5	Betweenness	c1
g__Anaerobutyricum	77.0	Betweenness	c1
g__Anaerostipes	284.0	Betweenness	c1
g__Anthropogastromicrobium	77.0	Betweenness	c1
g__Granulicatella	472.5	Betweenness	c1
g__Agathobaculum	0.0	Betweenness	c1
g__Alistipes	386.5	Betweenness	c1
g__Anaerotignum	113.0	Betweenness	c1
g__Dysosmobacter	0.0	Betweenness	c1
g__Lawsonibacter	0.0	Betweenness	c1
g__Lentihominibacter	337.0	Betweenness	c1
g__Parabacteroides	46.5	Betweenness	c1
g__Rothia	293.5	Betweenness	c1
g__Alitiscatomonas	35.0	Betweenness	c1
g__Brotaphodocola	70.0	Betweenness	c1
g__Enterocloster	41.0	Betweenness	c1
g__Amedibacterium	0.0	Betweenness	c1
g__Collinsella	0.0	Betweenness	c1
g__Enterococcus	0.0	Betweenness	c1
g__Faecalibacterium	0.0	Betweenness	c1
g__Vescimonas	162.5	Betweenness	c1
g__Dorea	2158.5	Betweenness	c1
g__Lactonifactor	0.0	Betweenness	c1
g__Bacteroides	251.5	Betweenness	c1
g__Flavonifractor	2387.5	Betweenness	c1
g__Phocaeicola	668.5	Betweenness	c1
g__Ruthenibacterium	525.5	Betweenness	c1
g__Bariatricus	2467.0	Betweenness	c1
g__Blautia_A	2595.5	Betweenness	c1
g__Dorea_A	437.0	Betweenness	c1
g__Limivivens	1213.0	Betweenness	c1
g__Pseudoflavonifractor_A	1810.0	Betweenness	c1
g__Sellimonas	2449.5	Betweenness	c1
g__Bifidobacterium	153.0	Betweenness	c1
g__Catenibacterium	0.0	Betweenness	c1
g__Clostridium_A	0.0	Betweenness	c1
g__Hominicoprocola	2637.5	Betweenness	c1
g__Thomasclavelia	1991.0	Betweenness	c1
g__Wujia	1.5	Betweenness	c1
g__CAG-170	0.0	Betweenness	c1
g__CAG-217	0.0	Betweenness	c1
