#OTU ID	prevalence
g__Acetatifactor	0.7
g__Acutalibacter	0.1
g__Adlercreutzia	0.3375
g__Agathobacter	0.8875
g__Agathobaculum	0.925
g__Alistipes	0.65
g__Alistipes_A	0.2
g__Alitiscatomonas	0.8375
g__Allocoprobacillus	0.175
g__Amedibacterium	0.125
g__Anaerobutyricum	0.9
g__Anaerofustis	0.1
g__Anaeromassilibacillus	0.1875
g__Anaerostipes	0.9625
g__Anaerotignum	0.65
g__Anaerotruncus	0.175
g__Anthropogastromicrobium	0.8375
g__Aristaeella	0.1625
g__Bacteroides	0.9625
g__Bariatricus	0.75
g__Bifidobacterium	0.925
g__Bittarella	0.175
g__Blautia	0.625
g__Blautia_A	1.0
g__Brotaphodocola	0.675
g__Butyribacter	0.1625
g__CAG-170	0.2375
g__CAG-177	0.3
g__CAG-217	0.3125
g__CAG-488	0.275
g__Catenibacterium	0.3375
g__Choladousia	0.475
g__Clostridium	0.7375
g__Clostridium_A	0.6875
g__Clostridium_AP	0.0875
g__Collinsella	0.9125
g__Coprococcus_A	0.6125
g__Dialister	0.45
g__Dorea	0.825
g__Dorea_A	0.875
g__Dorea_D	0.2625
g__Dysosmobacter	0.7625
g__Eggerthella	0.475
g__Enterobacter	0.125
g__Enterocloster	0.9625
g__Enterococcus	0.05
g__Enterococcus_A	0.0375
g__Enterococcus_B	0.325
g__Eubacterium_F	0.0875
g__Eubacterium_G	0.625
g__Eubacterium_I	0.7375
g__Evtepia	0.3625
g__Faecalibacterium	1.0
g__Faecalimonas	0.2125
g__Faecousia	0.1625
g__Finegoldia	0.0375
g__Flavonifractor	0.6125
g__Fusicatenibacter	0.8875
g__Fusobacterium_A	0.025
g__Gallintestinimicrobium	0.575
g__Gemella	0.1875
g__Gemmiger	0.8875
g__Gordonibacter	0.15
g__Granulicatella	0.5
g__Guopingia	0.2125
g__Haemophilus_D	0.4875
g__Holdemanella	0.4625
g__Holdemania	0.2875
g__Hominenteromicrobium	0.4875
g__Hominibacterium	0.3
g__Hominicoprocola	0.6
g__Hominifimenecus	0.3
g__Hominilimicola	0.725
g__Hominimerdicola	0.2625
g__Hominiventricola	0.5875
g__Hungatella	0.0875
g__Intestinibacter	0.6625
g__JAGTTR01	0.325
g__Klebsiella	0.1875
g__Lachnoclostridium_B	0.65
g__Lachnospira	0.875
g__Lacticaseibacillus	0.1375
g__Lactiplantibacillus	0.0875
g__Lactobacillus	0.0625
g__Lactococcus	0.15
g__Lactonifactor	0.1125
g__Laedolimicola	0.3125
g__Lancefieldella	0.075
g__Latilactobacillus	0.3375
g__Lawsonibacter	0.7
g__Lentihominibacter	0.475
g__Leuconostoc	0.3375
g__Ligilactobacillus	0.1125
g__Limivivens	0.7
g__Limosilactobacillus	0.1125
g__Longicatena	0.0625
g__Massilioclostridium	0.05
g__Mediterraneibacter	0.9
g__Megamonas	0.4625
g__Merdibacter	0.0875
g__Merdimmobilis	0.125
g__Merdimonas	0.1
g__Merdivicinus	0.15
g__Muricomes	0.1375
g__Murimonas	0.65
g__Nanosynbacter	0.2375
g__Negativibacillus	0.35
g__Odoribacter	0.6375
g__Oliverpabstia	0.6625
g__Onthenecus	0.45
g__Otoolea	0.8375
g__Parabacteroides	0.8375
g__Paraprevotella	0.3375
g__Pararoseburia	0.25
g__Parasutterella	0.3625
g__Pauljensenia	0.125
g__Pediococcus	0.0625
g__Peptostreptococcus	0.125
g__Phascolarctobacterium	0.35
g__Phocaeicola	1.0
g__Prevotella	0.95
g__Pseudobutyricicoccus	0.15
g__Pseudoflavonifractor_A	0.15
g__Pseudoscilispira	0.2875
g__Roseburia	0.875
g__Roseburia_D	0.3125
g__Rothia	0.2875
g__Ruminiclostridium_E	0.2
g__Ruminococcus_B	0.625
g__Ruminococcus_C	0.275
g__Ruminococcus_E	0.2
g__Ruthenibacterium	0.4375
g__Sarcina	0.1625
g__Schaedlerella	0.3875
g__Sellimonas	0.1375
g__Streptococcus	0.9625
g__Sutterella	0.6625
g__Terrisporobacter	0.225
g__Thomasclavelia	0.3625
g__Turicibacter	0.4125
g__Tyzzerella	0.1875
g__UBA3402	0.4125
g__URXU01	0.2125
g__Veillonella	0.5375
g__Vescimonas	0.4875
g__Weissella	0.525
g__Wujia	0.375
