#OTU ID	g__Acetatifactor	g__Acutalibacter	g__Adlercreutzia	g__Agathobacter	g__Agathobaculum	g__Alistipes	g__Alistipes_A	g__Alitiscatomonas	g__Allocoprobacillus	g__Amedibacterium	g__Anaerobutyricum	g__Anaerofustis	g__Anaeromassilibacillus	g__Anaerostipes	g__Anaerotignum	g__Anaerotruncus	g__Anthropogastromicrobium	g__Aristaeella	g__Bacteroides	g__Bariatricus	g__Bifidobacterium	g__Bittarella	g__Blautia	g__Blautia_A	g__Brotaphodocola	g__Butyribacter	g__CAG-170	g__CAG-177	g__CAG-217	g__CAG-488	g__Catenibacterium	g__Choladousia	g__Clostridium	g__Clostridium_A	g__Clostridium_AP	g__Collinsella	g__Coprococcus_A	g__Dialister	g__Dorea	g__Dorea_A	g__Dorea_D	g__Dysosmobacter	g__Eggerthella	g__Enterobacter	g__Enterocloster	g__Enterococcus	g__Enterococcus_A	g__Enterococcus_B	g__Eubacterium_F	g__Eubacterium_G	g__Eubacterium_I	g__Evtepia	g__Faecalibacterium	g__Faecalimonas	g__Faecousia	g__Finegoldia	g__Flavonifractor	g__Fusicatenibacter	g__Fusobacterium_A	g__Gallintestinimicrobium	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Guopingia	g__Haemophilus_D	g__Holdemanella	g__Holdemania	g__Hominenteromicrobium	g__Hominibacterium	g__Hominicoprocola	g__Hominifimenecus	g__Hominilimicola	g__Hominimerdicola	g__Hominiventricola	g__Hungatella	g__Intestinibacter	g__JAGTTR01	g__Klebsiella	g__Lachnoclostridium_B	g__Lachnospira	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Laedolimicola	g__Lancefieldella	g__Latilactobacillus	g__Lawsonibacter	g__Lentihominibacter	g__Leuconostoc	g__Ligilactobacillus	g__Limivivens	g__Limosilactobacillus	g__Longicatena	g__Massilioclostridium	g__Mediterraneibacter	g__Megamonas	g__Merdibacter	g__Merdimmobilis	g__Merdimonas	g__Merdivicinus	g__Muricomes	g__Murimonas	g__Nanosynbacter	g__Negativibacillus	g__Odoribacter	g__Oliverpabstia	g__Onthenecus	g__Otoolea	g__Parabacteroides	g__Paraprevotella	g__Pararoseburia	g__Parasutterella	g__Pauljensenia	g__Pediococcus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Phocaeicola	g__Prevotella	g__Pseudobutyricicoccus	g__Pseudoflavonifractor_A	g__Pseudoscilispira	g__Roseburia	g__Roseburia_D	g__Rothia	g__Ruminiclostridium_E	g__Ruminococcus_B	g__Ruminococcus_C	g__Ruminococcus_E	g__Ruthenibacterium	g__Sarcina	g__Schaedlerella	g__Sellimonas	g__Streptococcus	g__Sutterella	g__Terrisporobacter	g__Thomasclavelia	g__Turicibacter	g__Tyzzerella	g__UBA3402	g__URXU01	g__Veillonella	g__Vescimonas	g__Weissella	g__Wujia
g__Acetatifactor	1.0000	0.0040	0.3207	0.0240	0.9441	0.0609	0.1958	0.1389	0.0140	0.1229	0.0160	0.0070	0.0370	0.4066	0.0240	0.0699	0.0100	0.8312	0.5884	0.0010	0.0669	0.0599	0.8372	0.0200	0.0150	0.1219	0.2647	0.8082	0.2747	0.5704	0.4515	0.0020	0.8092	0.0150	0.0300	0.1149	0.0170	0.0170	0.0889	0.1279	0.1718	0.0110	0.0849	0.0020	0.1279	0.0010	0.1618	0.3117	0.7932	0.1069	0.1518	0.0020	0.5504	0.0420	0.9091	0.0020	0.0130	0.9021	0.0040	0.0080	0.0010	0.9051	0.1229	0.0030	0.6094	0.9920	0.8981	0.7802	0.0020	0.1299	0.0020	0.0010	0.3297	0.1229	0.0010	0.0010	0.2468	0.0070	0.0100	0.0280	0.0010	0.0440	0.2717	0.0629	0.0090	0.0919	0.0020	0.0010	0.3497	0.0929	0.0030	0.1578	0.0150	0.0549	0.0210	0.0010	0.0100	0.6414	0.0150	0.0020	0.0350	0.0010	0.0050	0.4635	0.0010	0.0729	0.5604	0.2248	0.0460	0.0040	0.1658	0.1169	0.1409	0.2567	0.9510	0.1758	0.0719	0.0030	0.4895	0.0989	0.0420	0.0609	0.0050	0.8871	0.0929	0.0090	0.7403	0.3007	0.0010	0.5874	0.8442	0.1848	0.0110	0.5075	0.0020	0.2717	0.9670	0.1249	0.2428	0.0460	0.0500	0.1528	0.2617	0.9231	0.6613	0.9550	0.0030
g__Acutalibacter	0.0040	1.0000	0.9421	0.2667	0.0849	0.6993	0.1429	0.3127	0.0010	0.0849	0.8262	0.2398	0.0020	0.4745	0.7832	0.7483	0.2048	0.9760	0.2877	0.6474	0.3586	0.7882	0.8352	0.1279	0.2547	0.9850	0.6633	0.6503	0.0719	0.8931	0.4745	0.0559	0.1199	0.0460	0.1818	0.3676	0.0759	0.0110	0.1319	0.0290	0.8511	0.5684	0.8541	0.4096	0.5974	0.2787	0.7123	0.9730	0.9421	0.9221	0.1588	0.1978	0.7982	0.0979	0.9840	0.2807	0.0190	0.6164	0.5425	0.0240	0.1219	0.0709	0.2827	0.5185	0.0070	0.7323	0.0250	0.9121	0.0010	0.0130	0.0759	0.0799	0.6134	0.9371	0.0699	0.0150	0.9970	0.1369	0.4925	0.2747	0.3317	0.6563	0.0519	0.9940	0.0240	0.0859	0.5534	0.1928	0.9121	0.1998	0.4216	0.1958	0.8422	0.2048	0.9960	0.0779	0.0380	0.4196	0.0689	0.1329	0.9690	0.0020	0.0040	0.1479	0.0190	0.6394	0.0080	0.5904	0.1688	0.1229	0.4266	0.8621	0.4655	0.0559	0.9441	0.6194	0.4296	0.7453	0.7502	0.2797	0.6244	0.9181	0.5644	0.4845	0.3067	0.3397	0.4895	0.1389	0.1698	0.6793	0.1099	0.0170	0.5624	0.7273	0.0579	0.8661	0.6893	0.6224	0.1169	0.6743	0.5085	0.0829	0.8482	0.2358	0.2957	0.5894	0.0310
g__Adlercreutzia	0.3207	0.9421	1.0000	0.2537	0.6204	0.0430	0.0979	0.8452	0.5165	0.0979	0.3027	0.0809	0.8182	0.6883	0.7542	0.8432	0.1049	0.8422	0.8781	0.1469	0.5824	0.8422	0.0889	0.9231	0.1638	0.5305	0.5015	0.5884	0.9610	0.8661	0.4555	0.0170	0.3526	0.2697	0.7093	0.5904	0.0370	0.6004	0.7033	0.8302	0.1489	0.4595	0.7333	0.1838	0.7822	0.2208	0.0869	0.0320	0.7043	0.2138	0.2777	0.7742	0.6344	0.9331	0.3606	0.1349	0.0390	0.8062	0.1558	0.9141	0.1299	0.1848	0.1129	0.6414	0.4905	0.1748	0.6863	0.8092	0.4306	0.4965	0.3876	0.1508	0.0589	0.6553	0.1778	0.5025	0.8661	0.9121	0.1099	0.4226	0.2478	0.0290	0.2378	0.1668	0.7243	0.5824	0.8262	0.0719	0.3297	0.7023	0.2098	0.5524	0.5415	0.1099	0.2587	0.4316	0.7403	0.4096	0.3556	0.1698	0.3616	0.3287	0.4156	0.6553	0.2567	0.2348	0.9321	0.8831	0.7892	0.4416	0.5125	0.1499	0.7433	0.2887	0.3806	0.4466	0.0959	0.1199	0.5275	0.7972	0.6923	0.8791	0.0849	0.4396	0.3796	0.2547	0.2547	0.6484	0.1449	0.6054	0.0320	0.7832	0.1988	0.2987	0.8601	0.4066	0.8022	0.6374	0.0789	0.3816	0.5335	0.6004	0.3337	0.8342	0.9570	0.0779	0.6204
g__Agathobacter	0.0240	0.2667	0.2537	1.0000	0.1009	0.1698	0.2637	0.2917	0.1828	0.2897	0.0010	0.4346	0.5205	0.0010	0.9301	0.7862	0.0010	0.8991	0.2627	0.0070	0.2667	0.1688	0.7163	0.5135	0.0180	0.0919	0.1648	0.6424	0.0979	0.7572	0.3746	0.0559	0.7213	0.0280	0.1948	0.3397	0.1159	0.1259	0.0649	0.7103	0.5255	0.3796	0.8791	0.5135	0.1249	0.0020	0.1878	0.4116	0.8821	0.3986	0.2428	0.0380	0.0380	0.3227	0.3237	0.0070	0.0250	0.0649	0.0290	0.3367	0.0619	0.5185	0.3147	0.0010	0.5564	0.2997	0.6643	0.8132	0.4555	0.6124	0.1449	0.9411	0.4615	0.4406	0.0460	0.1089	0.3966	0.6553	0.0260	0.0569	0.0010	0.0060	0.3217	0.5904	0.5265	0.1369	0.7153	0.3397	0.7752	0.7433	0.9770	0.2957	0.9600	0.0080	0.5674	0.1508	0.0070	0.7812	0.5075	0.7263	0.6364	0.4476	0.6523	0.4306	0.0460	0.2517	0.1369	0.5594	0.0290	0.4206	0.5614	0.5534	0.9131	0.5175	0.9850	0.6593	0.1688	0.0080	0.7872	0.1568	0.0120	0.9680	0.0050	0.0090	0.2038	0.7632	0.7023	0.8002	0.0080	0.0959	0.2208	0.1898	0.3696	0.3566	0.1369	0.6304	0.2617	0.1918	0.0300	0.4126	0.6374	0.2617	0.8152	0.3397	0.2697	0.6743	0.0579
g__Agathobaculum	0.9441	0.0849	0.6204	0.1009	1.0000	0.0370	0.1828	0.9700	0.5375	0.0939	0.0020	0.9151	0.4446	0.0010	0.6683	0.8591	0.6084	0.3307	0.3167	0.4635	0.9001	0.5295	0.1149	0.2288	0.0679	0.5185	0.0669	0.0559	0.5634	0.8132	0.2897	0.5335	0.2098	0.4935	0.9580	0.3646	0.1369	0.3307	0.7892	0.2827	0.6533	0.0480	0.6404	0.7772	0.5794	0.0759	0.4635	0.2498	0.2168	0.1828	0.8432	0.3676	0.0629	0.8262	0.6014	0.7493	0.2478	0.3277	0.5195	0.9041	0.6154	0.3956	0.6563	0.8062	0.0909	0.1439	0.4366	0.8811	0.8681	0.2737	0.4466	0.4805	0.8641	0.2727	0.2098	0.3816	0.6603	0.4126	0.3596	0.7582	0.8921	0.5614	0.0040	0.7003	0.9870	0.9451	0.7972	0.4266	0.7832	0.8262	0.0579	0.3686	0.5485	0.3816	0.3287	0.6693	0.4885	0.0230	0.9800	0.6613	0.8741	0.8731	0.3996	0.8232	0.9231	0.7333	0.5345	0.8761	0.2787	0.8681	0.1528	0.1349	0.6513	0.3676	0.0090	0.5335	0.3736	0.0649	0.2138	0.5175	0.0400	0.3846	0.8052	0.5654	0.9980	0.2717	0.9331	0.5534	0.8791	0.5355	0.8921	0.2957	0.8851	0.7403	0.1249	0.1119	0.8182	0.3976	0.7972	0.3726	0.0899	0.5335	0.7473	0.6074	0.6983	0.8432	0.3626
g__Alistipes	0.0609	0.6993	0.0430	0.1698	0.0370	1.0000	0.0150	0.0859	0.5265	0.9441	0.8232	0.0809	0.6214	0.2218	0.0010	0.2717	0.0070	0.4605	0.1029	0.0070	0.5165	0.7612	0.0170	0.0070	0.2977	0.3217	0.0919	0.1588	0.3506	0.2038	0.8472	0.3946	0.4156	0.7253	0.8402	0.7033	0.3237	0.6623	0.7323	0.6324	0.5195	0.0010	0.3117	0.1479	0.0879	0.0090	0.0150	0.0090	0.7892	0.0030	0.0140	0.0390	0.7842	0.6543	0.4825	0.0440	0.7313	0.1319	0.0030	0.4006	0.0240	0.1369	0.0779	0.4505	0.0410	0.0030	0.4156	0.9990	0.2408	0.0020	0.0270	0.3836	0.0170	0.3247	0.0190	0.0579	0.7113	0.0649	0.1918	0.1718	0.7942	0.0899	0.9860	0.0080	0.1319	0.9291	0.6144	0.0070	0.0050	0.0010	0.0010	0.2198	0.1219	0.5225	0.0669	0.0120	0.3536	0.0290	0.3996	0.0779	0.9960	0.3287	0.6753	0.9770	0.3217	0.0020	0.7023	0.5504	0.8651	0.0420	0.1409	0.0010	0.3447	0.4236	0.3317	0.0789	0.0320	0.9041	0.0599	0.9211	0.4396	0.9181	0.0390	0.0649	0.1479	0.1029	0.0010	0.5894	0.2697	0.8591	0.5654	0.0060	0.1039	0.7962	0.4635	0.0140	0.7882	0.4975	0.0679	0.3646	0.0030	0.4995	0.7123	0.0110	0.0030	0.2597	0.4555
g__Alistipes_A	0.1958	0.1429	0.0979	0.2637	0.1828	0.0150	1.0000	0.6374	0.2537	0.2597	0.3477	0.4056	0.1149	0.2857	0.2517	0.3107	0.5684	0.8601	0.9071	0.3297	0.7063	0.8951	0.0170	0.5824	0.8122	0.1568	0.4865	0.0100	0.1409	0.4266	0.7213	0.8581	0.2298	0.0430	0.4605	0.6104	0.8971	0.2138	0.7832	0.9301	0.5644	0.3916	0.8202	0.6374	0.6843	0.3596	0.3317	0.1798	0.1429	0.7872	0.7133	0.5724	0.6184	0.1019	0.0899	0.6464	0.4655	0.8022	0.5005	0.8042	0.7163	0.4456	0.7862	0.8002	0.0460	0.8981	0.5954	0.7662	0.4925	0.0140	0.9221	0.6484	0.2777	0.4456	0.6494	0.8432	0.7283	0.8871	0.7772	0.6623	0.3297	0.5794	0.1139	0.2428	0.8621	0.5704	0.8302	0.5025	0.1808	0.4755	0.0400	0.3756	0.3077	0.8801	0.8781	0.2667	0.5954	0.9141	0.1289	0.5644	0.9780	0.8232	0.0579	0.3766	0.7522	0.7473	0.7852	0.8521	0.5984	0.1099	0.8122	0.1479	0.0699	0.2807	0.5075	0.9930	0.7413	0.6314	0.2777	0.3986	0.4995	0.8751	0.8432	0.8112	0.5395	0.7443	0.3217	0.0300	0.9331	0.8871	0.4735	0.3227	0.8372	0.7692	0.5215	0.7832	0.8482	0.7892	0.6194	0.2707	0.0959	0.7852	0.1588	0.4036	0.7213	0.6533	0.0300
g__Alitiscatomonas	0.1389	0.3127	0.8452	0.2917	0.9700	0.0859	0.6374	1.0000	0.0859	0.7263	0.5924	0.9221	0.8292	0.1239	0.5195	0.5035	0.1189	0.6114	0.3786	0.9750	0.2817	0.2458	0.1858	0.5594	0.0010	0.4296	0.7522	0.8472	0.9091	0.2627	0.6234	0.1049	0.4665	0.2567	0.9940	0.6643	0.1479	0.2308	0.3676	0.7542	0.6214	0.6064	0.5365	0.9361	0.0010	0.8282	0.3337	0.3217	0.9650	0.8761	0.0719	0.3726	0.4046	0.8751	0.8981	0.3936	0.6464	0.7792	0.6084	0.1728	0.1548	0.0340	0.6723	0.2597	0.0669	0.0380	0.0120	0.9720	0.6723	0.7103	0.5964	0.4825	0.3307	0.5954	0.5055	0.2897	0.5584	0.3616	0.9401	0.4785	0.0330	0.7752	0.9011	0.1269	0.4286	0.3626	0.6783	0.8721	0.6843	0.3287	0.2388	0.5624	0.8102	0.6324	0.1399	0.6813	0.3177	0.0210	0.0090	0.8931	0.9311	0.6474	0.0949	0.0430	0.4605	0.0110	0.6513	0.5065	0.4905	0.4166	0.1948	0.3936	0.9361	0.9121	0.3566	0.9221	0.6583	0.6673	0.0809	0.0190	0.5005	0.9930	0.4186	0.3986	0.4775	0.2717	0.2078	0.9590	0.0759	0.9081	0.7742	0.7283	0.8501	0.4176	0.8012	0.1858	0.3776	0.0779	0.6613	0.9770	0.6623	0.2807	0.1069	0.0340	0.1359	0.4336	0.5544
g__Allocoprobacillus	0.0140	0.0010	0.5165	0.1828	0.5375	0.5265	0.2537	0.0859	1.0000	0.0829	0.4895	0.0110	0.0689	0.1399	0.5085	0.8212	0.1319	0.8901	0.3307	0.0769	0.4056	0.1518	0.4605	0.1019	0.4496	0.7942	0.6384	0.6853	0.0659	0.7333	0.0829	0.0440	0.1409	0.1688	0.0340	0.7343	0.0060	0.0050	0.0160	0.1528	0.7413	0.2707	0.2957	0.3307	0.5784	0.1489	0.0200	0.6853	0.7622	0.9401	0.2388	0.1309	0.6264	0.2478	0.5055	0.0170	0.0010	0.3626	0.2967	0.1119	0.2757	0.8731	0.5105	0.9980	0.2078	0.8641	0.0679	0.0230	0.0040	0.1049	0.0060	0.0120	0.5894	0.7013	0.1698	0.0040	0.9620	0.0380	0.2208	0.3626	0.1419	0.0300	0.0150	0.5724	0.0599	0.0579	0.9411	0.1339	0.6234	0.1469	0.0839	0.1528	0.9441	0.0390	0.8851	0.1089	0.1219	0.0260	0.4236	0.0100	0.4545	0.0020	0.0090	0.0290	0.0110	0.6124	0.0030	0.7742	0.0629	0.0460	0.1658	0.6783	0.3217	0.0509	0.7073	0.3556	0.1159	0.7033	0.6853	0.1099	0.3726	0.5145	0.0160	0.7562	0.0769	0.1508	0.9610	0.5854	0.0140	0.7003	0.2567	0.3816	0.7173	0.5894	0.0490	0.9670	0.7213	0.7542	0.0250	0.9221	0.1279	0.0799	0.5734	0.2228	0.2048	0.3287	0.0529
g__Amedibacterium	0.1229	0.0849	0.0979	0.2897	0.0939	0.9441	0.2597	0.7263	0.0829	1.0000	0.1718	0.7193	0.4745	0.7333	0.4895	0.7982	0.8062	0.2048	0.4006	0.8681	0.0669	0.3097	0.0440	0.0849	0.1079	0.3606	0.1878	0.8991	0.4036	0.9171	0.1508	0.0010	0.5185	0.1149	0.0769	0.7912	0.0120	0.0200	0.2298	0.9421	0.2318	0.5195	0.1908	0.6354	0.1568	0.1229	0.0020	0.0110	0.6074	0.5724	0.5345	0.3257	0.3866	0.0030	0.9091	0.1379	0.0080	0.8102	0.1818	0.1149	0.5425	0.2228	0.7303	0.4196	0.8062	0.1938	0.0539	0.0350	0.0290	0.6344	0.0070	0.1788	0.7233	0.2128	0.0340	0.3447	0.3437	0.1279	0.2537	0.1988	0.2557	0.0140	0.0020	0.1199	0.8581	0.5564	0.7253	0.0220	0.4356	0.3107	0.0490	0.6334	0.0769	0.0330	0.5764	0.4216	0.2537	0.9830	0.8791	0.8611	0.2577	0.0949	0.8751	0.6833	0.0140	0.2448	0.4386	0.1658	0.0040	0.0060	0.5644	0.1878	0.4096	0.4116	0.1578	0.7872	0.0080	0.8831	0.4545	0.7463	0.2737	0.2408	0.0180	0.6404	0.0500	0.0260	0.3616	0.8891	0.0010	0.8641	0.9251	0.7123	0.8861	0.7043	0.3736	0.3576	0.2218	0.5614	0.0060	0.6044	0.0070	0.0549	0.4515	0.2168	0.4316	0.6863	0.0270
