#OTU ID	CT12	CT15	CT16	CT17	CT18	CT19	CT2	CT23	CT26	CT28	CT30	CT35	CT40	CT41	CT52	PD100	PD101	PD105	PD106	PD109	PD111	PD120	PD122	PD131	PD141	PD146	PD165	PD166	PD191	PD200	PD208	PD214	PD219	PD223	PD235	PD31	PD34	PD51	PD66	PD70	PD93	PD94	PD98	PV102	PV111	PV115	PV121	PV123	PV125	PV127	PV131	PV132	PV135	PV140	PV145	PV152	PV154	PV155	PV158	PV162	PV163	PV164	PV165	PV17	PV26	PV42	PV48	PV55	PV60	PV62	PV66	PV69	PV70	PV71	PV72	PV79	PV80	PV83	PV88	PV98
g__Acetatifactor	98	346	539	700	7	220	63	226	289	46	24	158	0	0	36	0	404	49	36	27	45	19	31	565	0	26	0	39	0	0	0	0	0	306	4	10	0	0	43	8	88	32	0	0	147	19	634	21	530	116	0	0	0	0	819	23	0	35	370	85	0	23	103	185	30	115	78	68	440	107	0	0	214	266	81	0	101	227	16	0
g__Acutalibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	50	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	17	0	0	0
g__Adlercreutzia	117	115	250	0	0	11	40	0	8	0	0	0	54	0	0	0	106	12	0	0	0	0	104	0	28	0	0	0	0	0	0	0	0	79	0	0	0	0	11	25	107	0	0	0	15	0	95	67	0	42	0	0	0	142	10	0	0	0	70	50	0	9	0	0	37	0	0	0	0	0	0	0	72	0	0	0	0	5	0	0
g__Agathobacter	2718	1707	2811	148	72	362	555	203	1191	395	1370	851	73	103	999	1674	1205	574	1073	62	652	171	2227	0	13	1108	0	68	0	264	137	85	0	249	12	627	0	1353	206	142	18	390	0	28	204	531	1316	273	469	611	1473	388	176	3421	4281	185	0	250	188	142	26	228	95	1501	46	745	1488	8	800	263	592	22	260	8	833	0	2358	422	0	161
g__Agathobaculum	251	357	434	196	147	238	55	194	78	195	74	97	101	124	130	353	218	198	186	104	0	35	39	18	52	60	73	81	0	35	59	16	11	63	167	161	0	78	38	169	16	203	0	177	10	29	143	108	124	171	130	281	54	256	350	18	160	34	165	34	21	199	87	48	61	702	0	188	52	59	0	70	108	7	82	64	121	24	528	50
g__Alistipes	235	103	26	61	303	389	5	12	8	342	0	81	1007	0	27	0	128	1342	0	0	13	48	0	183	733	0	0	26	0	0	0	0	3	124	0	0	101	0	5	13	1284	0	0	0	550	76	34	0	769	11	0	16	0	432	60	37	53	147	23	38	87	0	9	0	372	0	89	13	20	0	3	0	436	217	45	46	644	199	0	0
g__Alistipes_A	7	4	0	8	10	0	0	0	0	0	0	0	0	0	0	0	15	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	13	0	0	4	0	0	0	29	0	0	0	0	0	7	28	0	0	0	63	0	11	0	0	0	0	0	0	0	0	4	0	15	0	0
g__Alitiscatomonas	99	228	98	36	119	186	31	104	59	122	60	20	45	0	52	494	221	72	630	53	49	13	89	26	0	102	54	163	0	0	9	21	0	52	313	1164	60	39	0	488	17	1798	1195	115	49	92	101	88	0	23	15	0	0	103	206	34	0	10	56	75	77	139	9	0	68	214	93	116	145	95	87	75	95	120	53	0	88	99	103	0
g__Allocoprobacillus	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	15	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	9	11	0	11	0	0	0	0	0	0	0	0	8	23	0	7	0
g__Amedibacterium	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	7	0	371	0	0	25	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
