Source,Target,Interaction,Correlation,P_value,Abs_Correlation
g__Acetatifactor,g__Ruminococcus_B,negative,-0.3108,0.001,0.3108
g__Acutalibacter,g__Allocoprobacillus,positive,0.318,0.001,0.318
g__Acutalibacter,g__Anaeromassilibacillus,positive,0.3198,0.001,0.3198
g__Acutalibacter,g__Negativibacillus,positive,0.3442,0.001,0.3442
g__Agathobacter,g__Anaerobutyricum,positive,0.3269,0.001,0.3269
g__Agathobacter,g__Anthropogastromicrobium,positive,0.3238,0.001,0.3238
g__Agathobacter,g__Brotaphodocola,positive,0.3049,0.001,0.3049
g__Agathobacter,g__Fusicatenibacter,positive,0.3319,0.001,0.3319
g__Agathobacter,g__Ruminococcus_B,negative,-0.32,0.001,0.32
g__Agathobacter,g__Thomasclavelia,negative,-0.3395,0.001,0.3395
g__Agathobaculum,g__Anaerobutyricum,positive,0.3273,0.001,0.3273
g__Alistipes,g__Dysosmobacter,positive,0.3951,0.001,0.3951
g__Alistipes,g__Granulicatella,negative,-0.3118,0.001,0.3118
g__Alistipes,g__Hominilimicola,positive,0.331,0.001,0.331
g__Alistipes,g__Lawsonibacter,positive,0.3235,0.001,0.3235
g__Alistipes,g__Nanosynbacter,negative,-0.3259,0.001,0.3259
g__Alistipes,g__Streptococcus,negative,-0.3691,0.001,0.3691
g__Alistipes,g__Veillonella,negative,-0.3578,0.001,0.3578
g__Allocoprobacillus,g__Anaeromassilibacillus,positive,0.3545,0.001,0.3545
g__Anaerobutyricum,g__Anthropogastromicrobium,positive,0.3022,0.001,0.3022
g__Anaerobutyricum,g__Fusicatenibacter,positive,0.343,0.001,0.343
g__Anaerobutyricum,g__Thomasclavelia,negative,-0.342,0.001,0.342
g__Anaerobutyricum,g__Veillonella,negative,-0.3524,0.001,0.3524
g__Anthropogastromicrobium,g__Eubacterium_G,positive,0.304,0.001,0.304
g__Anthropogastromicrobium,g__Faecalimonas,negative,-0.3208,0.001,0.3208
g__Anthropogastromicrobium,g__Hominicoprocola,positive,0.3025,0.001,0.3025
g__Anthropogastromicrobium,g__Limivivens,positive,0.3289,0.001,0.3289
g__Anthropogastromicrobium,g__Roseburia,positive,0.3209,0.001,0.3209
g__Anthropogastromicrobium,g__Ruminococcus_B,negative,-0.3773,0.001,0.3773
g__Anthropogastromicrobium,g__Thomasclavelia,negative,-0.3435,0.001,0.3435
g__Bacteroides,g__Enterocloster,positive,0.324,0.001,0.324
g__Bariatricus,g__Gemmiger,positive,0.3095,0.001,0.3095
g__Bariatricus,g__Odoribacter,positive,0.377,0.001,0.377
g__Bariatricus,g__Thomasclavelia,negative,-0.3342,0.001,0.3342
g__Bittarella,g__Clostridium_AP,positive,0.3056,0.001,0.3056
g__Blautia,g__Enterocloster,positive,0.3787,0.001,0.3787
g__Blautia,g__Faecalimonas,positive,0.3901,0.001,0.3901
g__Brotaphodocola,g__Coprococcus_A,positive,0.3106,0.001,0.3106
g__Clostridium,g__Intestinibacter,positive,0.3182,0.001,0.3182
g__Clostridium,g__Terrisporobacter,positive,0.4021,0.001,0.4021
g__Clostridium,g__Turicibacter,positive,0.3727,0.001,0.3727
g__Coprococcus_A,g__Dorea,positive,0.3158,0.001,0.3158
g__Coprococcus_A,g__Thomasclavelia,negative,-0.3123,0.001,0.3123
g__Dialister,g__Phascolarctobacterium,negative,-0.3998,0.001,0.3998
g__Dorea,g__Dorea_A,positive,0.3802,0.001,0.3802
g__Dorea,g__Eubacterium_I,positive,0.3441,0.001,0.3441
g__Dorea,g__Gemmiger,positive,0.3026,0.001,0.3026
g__Dorea,g__Odoribacter,positive,0.3158,0.001,0.3158
g__Dorea,g__Sellimonas,negative,-0.308,0.001,0.308
g__Dorea,g__Thomasclavelia,negative,-0.4027,0.001,0.4027
g__Dorea_A,g__Eubacterium_I,positive,0.3022,0.001,0.3022
g__Dorea_A,g__Faecalimonas,negative,-0.365,0.001,0.365
g__Dorea_A,g__Hominiventricola,positive,0.3085,0.001,0.3085
g__Dorea_A,g__Odoribacter,positive,0.3075,0.001,0.3075
g__Dorea_A,g__Sellimonas,negative,-0.3188,0.001,0.3188
g__Dorea_A,g__Thomasclavelia,negative,-0.3923,0.001,0.3923
g__Dysosmobacter,g__Lawsonibacter,positive,0.4529,0.001,0.4529
g__Dysosmobacter,g__Veillonella,negative,-0.3231,0.001,0.3231
g__Enterobacter,g__Klebsiella,positive,0.5226,0.001,0.5226
g__Enterocloster,g__Faecalibacterium,negative,-0.3449,0.001,0.3449
g__Enterocloster,g__Faecalimonas,positive,0.5181,0.001,0.5181
g__Enterocloster,g__Ruminococcus_B,positive,0.5234,0.001,0.5234
g__Enterocloster,g__Thomasclavelia,positive,0.4127,0.001,0.4127
g__Enterococcus_B,g__Mediterraneibacter,negative,-0.3042,0.001,0.3042
g__Eubacterium_G,g__Fusicatenibacter,positive,0.3374,0.001,0.3374
g__Eubacterium_G,g__Roseburia,positive,0.3015,0.001,0.3015
g__Eubacterium_I,g__Limivivens,positive,0.3357,0.001,0.3357
g__Eubacterium_I,g__Thomasclavelia,negative,-0.3627,0.001,0.3627
g__Evtepia,g__Vescimonas,positive,0.3446,0.001,0.3446
g__Faecalibacterium,g__Faecalimonas,negative,-0.4215,0.001,0.4215
g__Faecalibacterium,g__Gemmiger,positive,0.3091,0.001,0.3091
g__Faecalibacterium,g__Ruminococcus_B,negative,-0.3452,0.001,0.3452
g__Faecalibacterium,g__Thomasclavelia,negative,-0.3521,0.001,0.3521
g__Faecalimonas,g__Fusobacterium_A,positive,0.3156,0.001,0.3156
g__Faecalimonas,g__Gemmiger,negative,-0.3117,0.001,0.3117
g__Faecalimonas,g__Ruminococcus_B,positive,0.5669,0.001,0.5669
g__Faecalimonas,g__Thomasclavelia,positive,0.4176,0.001,0.4176
g__Flavonifractor,g__Hungatella,positive,0.3458,0.001,0.3458
