#OTU ID	CT21	CT25	CT27	CT29	CT34	CT39	CT44	CT48	PD103	PD11	PD117	PD12	PD125	PD126	PD129	PD13	PD135	PD138	PD139	PD14	PD140	PD143	PD144	PD147	PD148	PD149	PD15	PD150	PD151	PD152	PD155	PD156	PD159	PD163	PD164	PD167	PD168	PD170	PD175	PD176	PD178	PD179	PD180	PD181	PD182	PD185	PD186	PD187	PD188	PD189	PD192	PD193	PD194	PD195	PD197	PD199	PD2	PD209	PD210	PD211	PD218	PD220	PD225	PD227	PD228	PD229	PD231	PD233	PD236	PD238	PD239	PD241	PD243	PD244	PD249	PD250	PD253	PD254	PD255	PD26	PD27	PD35	PD36	PD4	PD42	PD43	PD44	PD5	PD52	PD53	PD58	PD59	PD65	PD74	PD75	PD77	PD8	PD84	PD91	PV1	PV10	PV100	PV101	PV103	PV104	PV105	PV106	PV107	PV108	PV109	PV11	PV110	PV112	PV113	PV114	PV116	PV119	PV12	PV120	PV13	PV139	PV14	PV141	PV147	PV149	PV15	PV151	PV156	PV157	PV159	PV16	PV160	PV161	PV18	PV19	PV20	PV24	PV25	PV27	PV29	PV3	PV30	PV32	PV33	PV34	PV35	PV38	PV40	PV41	PV43	PV47	PV49	PV5	PV50	PV52	PV56	PV59	PV6	PV63	PV64	PV65	PV67	PV68	PV73	PV75	PV76	PV77	PV78	PV81	PV82	PV84	PV85	PV89	PV9	PV90	PV91	PV92	PV93	PV94	PV95	PV96	PV97	PV99
g__Acetatifactor	20	30	60	103	0	0	103	0	4	20	12	0	0	42	0	0	290	0	0	0	0	49	50	0	0	0	37	0	0	0	0	0	8	0	0	0	39	0	0	7	737	29	6	0	5	129	75	0	0	14	0	0	0	0	0	19	133	0	0	0	2631	32	0	0	0	0	0	105	0	75	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	69	0	30	0	211	0	0	0	0	0	219	0	329	552	19	0	48	0	0	0	0	6	0	72	16	77	0	180	0	0	399	37	376	188	0	348	0	0	89	0	0	13	141	137	0	8	0	0	211	13	0	0	23	44	0	57	57	8	748	60	0	25	368	108	95	0	496	103	111	0	38	246	0	55	0	0	94	0	0	18	0	0	42	0	0	0	0	0	30	0	20	0	0
g__Acutalibacter	0	0	86	0	53	128	0	0	1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	17	0	0	0	0	0	119	0	11	36	0	0	0	0	0	78	0	0	0	0	75	0	0	3	0	0	0	0	0	0	24	0	0	0	0	7	0	75	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	44	0	98	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	8	0	133	0	0	0	0	0	0	0	0	6	0	73	0	0	0	0	28	0	0	0	0	0	0	0	0	0	26	0	0	0	43	0	0
g__Adlercreutzia	25	51	62	0	48	0	0	0	263	31	0	0	73	42	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	30	0	24	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	4	0	0	2	0	8	17	0	0	0	0	23	0	0	0	39	152	0	0	0	0	29	22	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	45	0	0	0	60	0	0	0	76	0	127	0	0	67	0	0	70	25	0	55	0	0	0	0	0	101	0	0	28	0	0	0	0	11	0	0	0	0	0
g__Agathobacter	1154	688	473	1255	173	0	1127	34	450	291	107	14	0	275	77	124	293	0	220	182	0	127	1132	0	717	377	324	1182	0	0	9	359	0	0	161	45	804	985	16	104	0	0	495	1272	0	105	148	0	480	1223	63	80	0	348	2650	216	640	472	430	1871	1122	690	77	0	317	0	1096	0	11	0	0	0	0	277	0	9	1841	493	7	732	0	0	0	101	0	0	21	722	0	0	114	980	43	17	566	0	152	6	0	2046	0	0	1666	0	395	0	1452	1469	1067	219	59	1082	571	1168	0	280	316	1840	12	80	3828	1855	2790	490	989	263	700	1503	229	128	0	202	161	614	203	837	0	105	0	42	0	2178	3816	196	24	513	307	45	3767	87	803	499	139	52	1042	736	355	2485	1158	13	62	350	0	554	183	0	66	31	0	468	0	0	343	0	575	0	453	1478	30	9	396	1889	21
g__Agathobaculum	0	53	329	207	62	0	0	78	0	101	12	0	26	88	0	0	4	0	8	16	0	0	0	34	0	0	149	184	0	0	0	47	0	145	11	0	68	142	18	163	0	175	113	261	0	9	7	0	143	238	39	26	0	59	21	0	103	52	0	0	210	264	0	0	186	0	289	67	0	21	0	195	102	165	28	329	0	0	151	111	0	0	0	38	18	0	0	82	0	0	183	272	610	0	617	0	0	4	0	207	255	99	147	0	78	0	64	46	0	58	0	121	0	48	0	75	104	155	0	68	297	0	1442	58	0	51	74	85	23	12	0	95	176	199	49	104	53	156	193	0	6	82	146	0	116	14	119	183	85	0	114	0	48	0	54	70	122	157	95	215	81	141	126	153	0	419	27	19	65	114	0	0	0	0	44	0	52	0	97	0	0	183	0
g__Alistipes	193	82	2171	76	1342	561	0	12	2124	3	305	0	16	110	0	0	103	3	0	0	0	0	17	0	0	0	977	5	0	0	0	186	0	0	0	0	839	645	0	18	0	0	0	6	0	1062	17	5	0	0	772	0	0	116	0	306	812	0	0	0	823	4317	0	0	70	18	76	2730	0	0	0	0	43	0	0	286	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	9	0	0	47	157	74	377	2	0	0	5	16	0	0	18	106	277	0	0	326	381	680	0	0	301	0	1519	0	216	28	1812	0	0	0	743	0	313	20	39	0	619	240	75	0	99	180	0	60	750	60	49	153	0	0	1952	5	0	922	124	31	258	2109	9208	670	14	277	353	1317	129	16	526	18	20	0	44	207	44	0	410	0	0	157	0	38	0	0	45	0	3	56	240	20
g__Alistipes_A	0	0	0	0	39	0	3	0	116	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	14	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	37	0	0	6	5	0	7	0	0	0	0	0	2	57	0	0	0	0	0	0	14	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alitiscatomonas	14	92	63	136	194	0	39	30	0	75	15	0	0	39	19	990	0	0	12	37	0	277	172	0	174	10	56	103	0	6	293	83	0	480	20	63	62	248	29	73	0	240	268	94	0	24	25	0	0	230	63	0	0	19	12	65	169	40	73	0	0	0	0	0	172	375	905	123	0	112	0	111	0	0	0	0	0	0	58	14	0	18	0	0	0	0	0	6	30	0	176	1896	0	0	162	0	0	0	0	6	332	0	81	0	109	13	59	0	0	26	0	58	0	73	0	36	138	223	0	74	111	0	925	201	0	14	154	82	0	0	0	0	138	0	37	0	28	142	58	219	28	137	0	0	94	15	91	95	69	163	62	70	0	30	92	63	53	28	0	0	136	50	104	15	25	0	29	77	0	84	8	0	0	377	20	0	128	72	109	0	0	0	0
g__Allocoprobacillus	0	3	6	0	7	27	0	0	213	0	0	0	44	0	0	0	0	0	0	0	0	0	0	148	0	0	8	0	0	0	264	0	83	0	2	0	5	0	5	0	3	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	18	0	0	0	83	0	0	0	12	24	0	97	4	0	0	0	0	0	0	8	17	0	0	37	0	0	0	0	291	0	0	0	0	0	0	180	17	0	0	0	0	0	0	0	0	0	0	80	0	0	6	0	11	0	14	0	0	20	101	0	0	4	0	0	0	9	0	657	0	0	0	0	0	0	0	0	56	2	0	0	53	0	0	0	0	0	13	48	0	29	0	0	6	0	1796	2	0	0	6	0	0	21	0	0	0	22	3	0	0	2	16	0	0	0	0	0	7	0	0	0	0	0	7	40	5	0	0
g__Amedibacterium	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	381	0	0	0	12	0	6	25	96	0	0	0	0	0	0	0	0	0	0	0	0	0	146	7	4	0	6	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	55	9	0	0	0	86	0	43	0	0	3	0	0	0	0	0	0	920	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	13	0	0	0	43	0	0	0	88	10	41	0	103	0	125	0	0	0	0	0	0	4	0	1492	110	0	14	0	0	194	0	745	0	0	0	0	0	0	0	34	0	5	0	0	0	0	0	74	0	0	0	6	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	200	0	0	0	0	0	0	324	0	0
