AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,log_mean,log_sum,mean,name,negative_degree,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,positive_degree,prevalence,Radiality,selected,SelfLoops,shared name,Stress,sum,TopologicalCoefficient,total_degree,ClusterRank,LocalHIndex,CollectiveInfluence,IVI
1.6896551724137931,0.3309093752443506,0.5918367346938775,0.2948717948717949,13,4,False,5.565352977514821,10.083347749333978,260.2173913043478,g__Thomasclavelia,12,5.769230769230769,0,13,0,6,0.7377049180327869,0.9469496021220158,False,0,g__Thomasclavelia,672,23940,0.2218934911242603,18,3.8333333333333335,3.605551275463989,75.0,0.8696365363032029
1.793103448275862,0.2550414418641019,0.5576923076923077,0.2909090909090909,11,4,False,7.592552477881541,12.113842218415272,1982.369565217392,g__Ruminococcus_B,7,5.909090909090909,0,11,0,8,0.9453551912568308,0.9389920424403184,False,0,g__Ruminococcus_B,640,182378,0.2424242424242424,15,3.1999999999999997,3.3166247903554,65.0,0.7410599403558445
2.206896551724138,0.063752052545156,0.453125,0.4642857142857143,8,5,False,6.117642200847297,10.637248705981328,452.7934782608696,g__Faecalimonas,4,6.625,0,8,0,5,0.5355191256830601,0.9071618037135278,False,0,g__Faecalimonas,184,41657,0.3486842105263157,9,3.7142857142857144,2.8284271247461903,53.0,0.5771613359959542
2.1379310344827585,0.1203201970443349,0.467741935483871,0.3809523809523809,7,5,False,4.985168831436503,9.500170136485425,145.22826086956522,g__Anthropogastromicrobium,3,7.0,0,7,0,6,0.5245901639344263,0.9124668435013265,False,0,g__Anthropogastromicrobium,252,13361,0.3333333333333333,9,2.666666666666666,2.6457513110645907,49.0,0.5394640456831048
2.0,0.2148154664164516,0.5,0.2857142857142857,7,3,False,7.255875255052331,11.77696524804904,1415.4021739130435,g__Veillonella,3,6.285714285714286,0,7,0,8,0.6721311475409836,0.9230769230769232,False,0,g__Veillonella,598,130217,0.2857142857142857,11,2.0,2.6457513110645907,44.0,0.5361993143352798
2.3793103448275863,0.001231527093596,0.4202898550724637,0.9,5,5,False,8.560637830751586,13.082236974237638,5221.010869565217,g__Faecalibacterium,4,8.6,0,5,0,1,0.9234972677595628,0.8938992042440318,False,0,g__Faecalibacterium,4,480333,0.5058823529411764,5,4.5,2.23606797749979,43.0,0.511639922090967
2.1724137931034484,0.1063413871295644,0.4603174603174603,0.4,6,5,False,6.852357462717917,11.37310002057886,945.108695652174,g__Agathobacter,2,7.0,0,6,0,4,0.7431693989071039,0.9098143236074272,False,0,g__Agathobacter,254,86950,0.3416666666666667,6,2.4000000000000004,2.449489742783178,42.0,0.47967201986036717
2.3448275862068964,0.0918308702791461,0.4264705882352941,0.4666666666666667,6,5,False,6.789008463822064,11.309682575362354,887.0326086956521,g__Enterocloster,1,6.666666666666667,0,6,0,5,0.9562841530054644,0.896551724137931,False,0,g__Enterocloster,234,81607,0.40625,6,2.8,2.449489742783178,40.0,0.47574958803862194
2.413793103448276,0.0059523809523809,0.4142857142857143,0.7,5,5,False,6.4451330358055845,10.965349407729502,628.6304347826087,g__Gemmiger,3,8.2,0,5,0,4,0.6010928961748634,0.8912466843501327,False,0,g__Gemmiger,12,57834,0.5125,7,3.5,2.23606797749979,41.0,0.4642049586836749
2.034482758620689,0.1135702556884822,0.4915254237288136,0.3333333333333333,6,4,False,6.561076787457642,11.081465396584978,706.0326086956521,g__Anaerobutyricum,2,6.333333333333333,0,6,0,4,0.7486338797814208,0.9204244031830238,False,0,g__Anaerobutyricum,226,64955,0.2803030303030303,6,2.0,2.449489742783178,38.0,0.44564043073903586
