Node	DegreeCentrality	Betweenness	Cluster
g__Acetatifactor	0.010309278350515464	0.0	c3
g__Ruminococcus_B	0.38144329896907214	0.540807560137457	c3
g__Acutalibacter	0.010309278350515464	0.0	c3
g__Anaeromassilibacillus	0.020618556701030927	0.0156786941580756	c3
g__Adlercreutzia	0.08247422680412371	0.03661941580756014	c3
g__Alistipes	0.15463917525773196	0.3117482817869416	c3
g__Eggerthella	0.08247422680412371	0.07624570446735394	c3
g__Evtepia	0.030927835051546393	0.0	c3
g__Faecalimonas	0.26804123711340205	0.5236254295532646	c3
g__Hominicoprocola	0.20618556701030927	0.3757517182130584	c3
g__Lachnoclostridium_B	0.061855670103092786	0.21939432989690721	c3
g__Lentihominibacter	0.1134020618556701	0.21381013745704466	c3
g__Agathobacter	0.010309278350515464	0.0	c3
g__Thomasclavelia	0.27835051546391754	0.4739046391752577	c3
g__Agathobaculum	0.010309278350515464	0.0	c3
g__Gemmiger	0.2268041237113402	0.5376932989690721	c3
g__Amedibacterium	0.05154639175257732	0.0	c3
g__Blautia	0.12371134020618557	0.22025343642611683	c3
g__Blautia_A	0.12371134020618557	0.33097079037800686	c3
g__Hominenteromicrobium	0.020618556701030927	0.0	c3
g__Hominilimicola	0.041237113402061855	0.007195017182130584	c3
g__Hominiventricola	0.041237113402061855	0.0	c3
g__Ruminococcus_E	0.010309278350515464	0.0	c3
g__Veillonella	0.13402061855670103	0.2468857388316151	c3
g__Vescimonas	0.1134020618556701	0.06131872852233677	c3
g__Alitiscatomonas	0.020618556701030927	0.0010738831615120276	c3
g__Brotaphodocola	0.010309278350515464	0.0	c3
g__Lachnospira	0.030927835051546393	0.0023625429553264603	c3
g__Allocoprobacillus	0.020618556701030927	0.030927835051546393	c3
g__Anaerobutyricum	0.05154639175257732	0.28264604810996563	c3
g__Haemophilus_D	0.061855670103092786	0.23260309278350516	c3
g__Lacticaseibacillus	0.1134020618556701	0.0586340206185567	c3
g__Nanosynbacter	0.061855670103092786	0.0	c3
g__Bariatricus	0.10309278350515463	0.2538659793814433	c3
g__Coprococcus_A	0.1134020618556701	0.4895833333333333	c3
g__Dorea	0.09278350515463918	0.5112757731958762	c3
g__Enterocloster	0.07216494845360824	0.08344072164948453	c3
g__Hungatella	0.05154639175257732	0.0	c3
g__Flavonifractor	0.13402061855670103	0.1330541237113402	c3
g__Murimonas	0.10309278350515463	0.11189862542955326	c3
g__Gallintestinimicrobium	0.020618556701030927	0.0	c3
g__Lancefieldella	0.010309278350515464	0.0	c3
g__Pediococcus	0.07216494845360824	0.03951890034364261	c3
g__Butyribacter	0.020618556701030927	0.0	c3
g__Eubacterium_F	0.020618556701030927	0.0	c3
g__Wujia	0.020618556701030927	0.0	c3
g__CAG-170	0.030927835051546393	0.02190721649484536	c3
g__CAG-177	0.010309278350515464	0.0	c3
g__Roseburia_D	0.020618556701030927	0.001288659793814433	c3
g__Choladousia	0.030927835051546393	0.06282216494845361	c3
g__Onthenecus	0.020618556701030927	0.023732817869415807	c3
g__Clostridium	0.020618556701030927	0.0	c3
g__Intestinibacter	0.07216494845360824	0.07538659793814433	c3
g__Turicibacter	0.030927835051546393	0.0002147766323024055	c3
g__Clostridium_AP	0.010309278350515464	0.0	c3
g__Collinsella	0.010309278350515464	0.0	c3
g__Dorea_A	0.08247422680412371	0.007946735395189003	c3
g__Eubacterium_I	0.061855670103092786	0.0117053264604811	c3
g__Sellimonas	0.030927835051546393	0.49677835051546393	c3
g__Dialister	0.020618556701030927	0.0156786941580756	c3
g__Phascolarctobacterium	0.010309278350515464	0.0	c3
g__Limivivens	0.07216494845360824	0.0026847079037800687	c3
g__Oliverpabstia	0.020618556701030927	0.0	c3
g__Dysosmobacter	0.020618556701030927	0.0002147766323024055	c3
g__Eubacterium_G	0.010309278350515464	0.0	c3
g__Lawsonibacter	0.010309278350515464	0.0	c3
g__Streptococcus	0.061855670103092786	0.021370274914089347	c3
g__Enterobacter	0.010309278350515464	0.0	c3
g__Klebsiella	0.010309278350515464	0.0	c3
g__Otoolea	0.010309278350515464	0.0	c3
g__Enterococcus_A	0.041237113402061855	0.0	c3
g__Faecalibacterium	0.010309278350515464	0.0	c3
g__Granulicatella	0.061855670103092786	0.0156786941580756	c3
g__Longicatena	0.041237113402061855	0.0	c3
g__Fusobacterium_A	0.020618556701030927	0.0	c3
g__Peptostreptococcus	0.020618556701030927	0.0	c3
g__Gemella	0.020618556701030927	0.0	c3
g__Guopingia	0.010309278350515464	0.0	c3
g__Hominibacterium	0.030927835051546393	0.0019329896907216496	c3
g__Holdemanella	0.010309278350515464	0.0	c3
g__Merdivicinus	0.010309278350515464	0.0	c3
g__JAGTTR01	0.010309278350515464	0.0	c3
g__Terrisporobacter	0.020618556701030927	0.0	c3
g__Roseburia	0.010309278350515464	0.0	c3
g__Lactiplantibacillus	0.010309278350515464	0.0	c3
g__Limosilactobacillus	0.020618556701030927	0.0	c3
g__Lactobacillus	0.010309278350515464	0.0	c3
g__Latilactobacillus	0.010309278350515464	0.0	c3
g__Weissella	0.010309278350515464	0.0	c3
g__Leuconostoc	0.010309278350515464	0.0	c3
g__Mediterraneibacter	0.010309278350515464	0.0	c3
g__Megamonas	0.010309278350515464	0.0	c3
g__URXU01	0.010309278350515464	0.0	c3
g__Merdibacter	0.010309278350515464	0.0	c3
g__Odoribacter	0.010309278350515464	0.0	c3
g__Parabacteroides	0.010309278350515464	0.0	c3
g__Phocaeicola	0.010309278350515464	0.0	c3
g__Rothia	0.020618556701030927	0.0	c3
