#OTU ID	g__Acetatifactor	g__Acutalibacter	g__Adlercreutzia	g__Agathobacter	g__Agathobaculum	g__Alistipes	g__Alistipes_A	g__Alitiscatomonas	g__Allocoprobacillus	g__Amedibacterium	g__Anaerobutyricum	g__Anaerofustis	g__Anaeromassilibacillus	g__Anaerostipes	g__Anaerotignum	g__Anaerotruncus	g__Anthropogastromicrobium	g__Aristaeella	g__Bacteroides	g__Bariatricus	g__Bifidobacterium	g__Bittarella	g__Blautia	g__Blautia_A	g__Brotaphodocola	g__Butyribacter	g__CAG-170	g__CAG-177	g__CAG-217	g__CAG-488	g__Catenibacterium	g__Choladousia	g__Clostridium	g__Clostridium_A	g__Clostridium_AP	g__Collinsella	g__Coprococcus_A	g__Dialister	g__Dorea	g__Dorea_A	g__Dorea_D	g__Dysosmobacter	g__Eggerthella	g__Enterobacter	g__Enterocloster	g__Enterococcus	g__Enterococcus_A	g__Enterococcus_B	g__Eubacterium_F	g__Eubacterium_G	g__Eubacterium_I	g__Evtepia	g__Faecalibacterium	g__Faecalimonas	g__Faecousia	g__Finegoldia	g__Flavonifractor	g__Fusicatenibacter	g__Fusobacterium_A	g__Gallintestinimicrobium	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Guopingia	g__Haemophilus_D	g__Holdemanella	g__Holdemania	g__Hominenteromicrobium	g__Hominibacterium	g__Hominicoprocola	g__Hominifimenecus	g__Hominilimicola	g__Hominimerdicola	g__Hominiventricola	g__Hungatella	g__Intestinibacter	g__JAGTTR01	g__Klebsiella	g__Lachnoclostridium_B	g__Lachnospira	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Laedolimicola	g__Lancefieldella	g__Latilactobacillus	g__Lawsonibacter	g__Lentihominibacter	g__Leuconostoc	g__Ligilactobacillus	g__Limivivens	g__Limosilactobacillus	g__Longicatena	g__Massilioclostridium	g__Mediterraneibacter	g__Megamonas	g__Merdibacter	g__Merdimmobilis	g__Merdimonas	g__Merdivicinus	g__Muricomes	g__Murimonas	g__Nanosynbacter	g__Negativibacillus	g__Odoribacter	g__Oliverpabstia	g__Onthenecus	g__Otoolea	g__Parabacteroides	g__Paraprevotella	g__Pararoseburia	g__Parasutterella	g__Pauljensenia	g__Pediococcus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Phocaeicola	g__Prevotella	g__Pseudobutyricicoccus	g__Pseudoflavonifractor_A	g__Pseudoscilispira	g__Roseburia	g__Roseburia_D	g__Rothia	g__Ruminiclostridium_E	g__Ruminococcus_B	g__Ruminococcus_C	g__Ruminococcus_E	g__Ruthenibacterium	g__Sarcina	g__Schaedlerella	g__Sellimonas	g__Streptococcus	g__Sutterella	g__Terrisporobacter	g__Thomasclavelia	g__Turicibacter	g__Tyzzerella	g__UBA3402	g__URXU01	g__Veillonella	g__Vescimonas	g__Weissella	g__Wujia
g__Acetatifactor	5.6020	0.2632	1.3062	1.1889	0.4195	1.6749	-0.2481	-0.0337	-0.3663	-0.8378	0.0488	-0.4651	0.2179	-0.0550	0.3422	0.1239	0.1960	1.0610	0.3266	0.4105	-0.3995	-0.6286	-1.7583	-0.5233	0.7649	0.8068	1.4014	0.8947	0.3699	0.7330	0.2213	0.6315	0.0986	-0.1507	-0.3689	0.2216	1.3285	-1.1818	0.9047	0.5911	-0.2682	0.8051	-1.1440	-1.0902	-0.1452	-0.9273	-1.0344	-0.3124	0.4611	0.7279	0.7832	1.0090	0.0006	-2.4427	0.4579	-0.5564	-1.1090	0.8024	-1.0231	0.6101	-0.7321	1.0734	0.3184	-1.2214	0.8359	-1.0504	-0.3303	-0.0618	0.2785	0.3211	2.0732	0.4112	0.7489	1.7454	1.3522	-0.2090	-0.7230	0.5560	-1.0357	0.5592	0.9859	-0.9938	-0.6597	-0.2930	-1.2495	-0.2970	0.3727	-0.6642	-0.6437	-0.0301	0.7031	-0.6253	-0.6095	1.1707	-1.0247	-1.0109	-0.6917	-0.2009	-0.2249	-0.4054	-0.5712	-0.1432	0.1524	-0.0488	1.0737	-0.7536	0.0251	0.2896	0.4072	0.6516	0.3782	0.0504	1.1742	0.4288	0.2553	-0.6710	-0.9533	-0.6941	0.2311	0.0996	-0.1160	0.3379	-0.7417	-0.3777	0.8221	1.3567	-1.2779	0.2893	-2.3481	-0.0661	1.8399	0.3933	-0.6141	-1.0686	-1.3729	-1.0344	0.1482	-0.9698	-1.5016	-0.3668	-0.6887	0.9753	0.0117	-1.0317	1.2522	-0.5429	1.1470
g__Acutalibacter	0.2632	5.5919	-0.3556	-0.2423	-0.4607	-0.4646	-0.4086	-1.2808	1.1817	0.2731	-0.5237	0.4117	1.9689	0.1670	0.4442	0.1045	-0.1130	-0.2164	-0.0204	-0.8509	0.2395	0.2235	0.3169	0.1747	-0.7405	-0.4270	0.4712	1.1948	-0.4488	0.2236	0.4507	-0.3466	-0.1241	0.2772	0.2539	-0.5478	-0.2627	0.6012	-0.3145	-1.2164	0.0110	0.0799	1.1577	-0.1608	-1.0300	0.2555	0.1672	0.2800	-0.0734	0.2408	-0.4039	-0.7481	-0.4111	0.4895	0.3793	0.4819	0.7131	-1.2544	0.3640	-1.1325	0.0203	-1.0592	0.3568	-0.1083	0.8522	-0.6183	0.3484	-0.1598	-1.0713	0.7965	-0.3064	-0.3203	-1.1570	0.4631	-0.4573	0.3069	0.8858	-0.0026	-0.3301	0.4220	-0.5636	0.4568	-0.1525	0.2509	-0.3607	0.6050	-0.2027	0.3148	-0.1939	-0.6216	0.1266	-0.1979	0.1838	-0.5416	0.7188	0.4502	0.4207	-0.8089	-0.3501	1.1527	0.0768	1.0067	0.9603	0.7972	-0.5512	0.1429	1.7587	-0.9072	-0.7811	-0.1365	-0.8445	0.0840	-0.2169	-0.2681	-0.1382	0.2459	1.3800	0.4076	-1.1451	-0.9191	-0.6152	0.1419	0.0964	-0.0612	-0.3673	0.2313	0.1587	0.2248	0.7642	-0.4136	0.1030	0.1178	0.1741	-0.2778	1.1131	0.6271	-0.4063	0.3928	0.5153	0.8485	-0.4336	-0.3891	-0.5570	-0.3082	-0.5549	-0.5995	-0.3934
g__Adlercreutzia	1.3062	-0.3556	6.0473	0.9388	0.8610	2.1415	0.0405	-0.7791	-0.0982	-0.9870	0.9979	-0.7584	0.2080	-0.1596	-0.4958	0.1628	-0.2282	1.2844	-0.2770	1.1457	0.4097	-0.2578	-2.4047	-0.5844	0.0285	0.6127	1.0064	0.9915	0.4410	0.7480	-0.3985	0.5041	-0.9895	0.1317	-0.9470	1.0912	1.6809	-2.1243	0.9718	0.7568	-0.0294	0.1733	-1.8792	-0.1455	-0.9146	-0.6947	-0.9789	-1.6528	0.8953	0.8377	1.2174	1.9932	-0.6101	-2.8545	0.1392	-0.4937	-1.5702	0.2920	-0.9228	0.8296	-0.6550	2.1671	0.3737	-0.4453	0.4427	-1.3941	0.3425	-0.2081	1.4372	1.1627	2.1358	0.3781	0.7557	0.3518	0.4854	-0.7688	-1.2110	0.6875	-0.1171	2.3560	-0.5100	-0.8132	-0.8440	-0.8883	-0.5844	-0.4824	0.8691	-0.5212	-0.5207	0.2261	1.6901	-0.5876	-0.7984	1.5752	-0.8660	-1.0755	-0.2517	0.4385	-0.5007	-0.1875	-0.1368	-0.1704	0.0929	-0.1689	1.5513	-1.5283	-0.5834	0.4855	1.2901	1.0560	-0.1698	0.4806	0.9572	0.5016	-0.4718	-0.1839	-1.1140	-0.8281	1.3391	0.4810	-0.4287	0.1967	-0.5563	-0.2753	0.1813	1.1169	-0.7449	0.1845	-2.8278	0.7636	1.6756	0.5297	-1.0682	-0.8109	-1.1392	-1.2013	0.6890	-0.4478	-1.9633	-0.3059	-0.3956	0.1073	0.3252	-2.2143	1.3406	-0.7124	0.7763
g__Agathobacter	1.1889	-0.2423	0.9388	7.4562	0.5123	0.2084	-0.0675	0.6469	-0.7720	-1.3335	1.0750	-0.1848	0.2067	-0.3327	-0.3446	-0.7495	0.8609	-0.2632	-0.0970	1.1584	0.7759	-0.0358	-1.3608	-0.3166	-0.4133	-0.4217	-0.1106	0.1168	0.0819	0.2876	0.0868	1.1738	-1.1325	-0.5045	-0.8608	1.1895	1.1574	-0.2344	0.9347	1.1297	-0.1880	0.5996	-0.6983	-0.0937	-0.4878	-0.5542	-0.5968	-0.5425	-0.3113	1.0210	1.4614	-0.5040	0.8946	-1.3955	0.1966	-0.5808	-1.0325	0.2571	-0.8114	0.3310	-0.7784	1.5624	0.1277	-0.8328	-0.0371	-0.6914	0.6904	-0.5461	-0.3910	-0.3400	0.9222	0.1900	0.0100	0.4537	0.7115	-0.0495	-0.6678	-0.0005	-0.5278	1.4890	0.3929	-0.2608	-0.1090	0.0142	-0.4189	-0.5978	0.1501	-0.1220	0.6614	0.4594	0.4302	-0.2650	-0.1523	0.9146	-0.0241	-0.6133	-0.5114	-0.8637	0.6521	0.1377	-0.2139	0.4188	-0.6830	-0.4388	1.0597	-0.7421	-0.4747	1.1121	0.8221	0.5043	0.1708	1.1228	-0.2040	0.7227	-0.0059	0.5154	0.0589	-0.4320	0.2431	-0.3898	0.1777	0.1397	-0.1745	-0.4490	0.7781	0.2747	-0.0765	-0.4416	-2.0527	0.9293	-0.1117	-0.5847	-0.5746	-1.6064	-0.7501	-0.1861	0.8872	-0.7721	-2.8515	-0.4262	0.1222	0.3842	0.6411	-0.2666	0.3153	-0.1648	0.2302
g__Agathobaculum	0.4195	-0.4607	0.8610	0.5123	4.4685	0.2893	-0.4882	0.0620	-0.4271	-0.7294	0.5941	0.0594	-0.6270	-0.0335	-0.3483	-0.3634	0.5444	0.0356	-0.4143	0.4966	-0.6449	0.2964	-0.6875	0.1334	0.0456	-0.3546	-0.4815	-0.1902	0.1896	0.6840	0.1757	0.0498	0.2144	-0.1252	-0.5776	0.3313	1.0410	-0.1498	1.8396	1.1658	0.1479	-0.0084	-0.4366	-0.1929	-0.7761	-0.5758	-0.6244	-0.8673	0.0377	0.7594	0.8049	0.3541	0.0959	-0.9778	-0.2790	-0.1741	-0.9489	0.9646	-0.5085	0.9505	-0.4381	1.8884	-0.1842	-0.5405	0.0060	-1.0349	0.4665	0.3124	0.3017	0.3487	0.5275	0.0268	1.1692	0.7700	0.2386	-0.4040	-0.4527	0.2299	-0.2355	1.3099	-0.0723	-0.5401	-0.3634	-0.4839	0.0641	-0.0255	0.4136	-0.4676	-0.5567	0.1073	0.6228	-0.3871	-0.8592	1.1907	-0.8988	-0.5796	-0.5602	1.0747	-0.6159	-0.2918	0.1660	-0.0923	-0.1630	-0.3092	0.8177	-0.5285	0.1066	0.6921	1.1904	0.5600	0.0437	-0.4035	-0.0697	0.0290	-0.1073	-0.6197	-0.8768	-0.3703	-0.0552	0.6269	0.2601	0.2191	-0.2912	0.2260	0.5737	-0.0933	-0.4888	0.0682	-1.1267	-0.0437	-0.0030	-0.0755	-0.0914	0.7309	-0.9559	-0.8630	0.2649	0.4945	-1.1144	0.0815	-0.0466	0.0978	-0.6464	-0.8726	0.5597	-0.3135	0.1437
g__Alistipes	1.6749	-0.4646	2.1415	0.2084	0.2893	7.1006	0.1304	-0.9161	0.1565	-1.7016	1.0454	-0.4021	0.4599	-0.7298	0.5836	0.1962	-0.0383	0.5845	1.3173	1.5659	0.0647	-0.4295	-2.6758	-1.0356	-0.8955	0.4861	1.3204	0.5597	-0.0806	-0.0459	-1.1479	0.2809	-0.2765	0.9475	-0.3118	0.9480	1.5470	0.2576	0.9387	0.2533	0.3039	1.3422	-1.1574	-0.6441	-0.7461	-0.4829	-1.4853	-1.2544	0.5305	0.9849	0.0485	2.2096	-0.3173	-3.8664	0.2669	-1.0682	-1.6930	0.6806	-1.3041	1.8269	-0.7167	2.9439	0.5497	-0.9986	0.8550	-1.2621	-0.6113	0.0674	2.3719	1.2221	2.4124	0.1691	2.3583	-0.2127	2.0133	-0.5381	-1.4315	0.6233	-1.4223	0.6541	-0.7416	-1.3995	-0.7760	-0.9425	-0.4191	0.2556	0.0310	-0.7995	-0.5700	1.0257	1.4423	-0.8427	-0.0560	1.8169	-0.9119	-1.0717	-0.4364	1.6891	-0.8571	-0.6072	-0.9170	-0.5436	0.3629	-0.0265	1.6332	-1.6862	-0.4478	0.2826	-0.2228	1.0222	-0.4762	1.2064	0.7393	-0.1227	0.1777	-0.9198	-1.2435	-0.9153	0.4745	1.1657	-1.2540	-0.2357	-0.7791	0.4807	0.1813	0.6458	-0.7441	0.3337	-2.8245	0.4007	2.8172	1.1907	-0.8914	-1.2799	-0.5136	-1.2749	1.0097	-1.2311	-1.6228	-0.5081	-0.8236	0.8377	-0.5708	-2.4720	2.4704	-0.0449	0.8927
g__Alistipes_A	-0.2481	-0.4086	0.0405	-0.0675	-0.4882	0.1304	2.8002	0.0023	-0.0542	0.0865	0.1726	-0.2587	-0.2298	0.2005	-0.0115	0.3896	0.2696	0.1724	-0.1227	-0.0310	0.0719	0.0785	0.0910	0.0297	-0.2451	-0.4666	0.5227	0.2097	0.1685	0.5410	0.1104	-0.1564	-0.3978	-0.1401	0.0075	0.2481	0.1077	-0.5486	-0.0699	-0.0620	0.0650	0.0636	-0.0877	-0.2174	0.1186	0.1581	-0.0186	0.3677	-0.3564	-0.2051	-0.2134	0.0916	-0.1254	-0.2006	0.2767	-0.0909	0.3650	-0.0905	0.0491	-0.0166	0.2075	-0.0591	-0.1793	0.1712	0.0508	-0.2842	0.1400	0.1961	0.6269	0.0166	0.4924	-0.1407	-0.0048	-1.0015	0.0032	-0.0953	0.0182	0.1768	0.1168	-0.0179	-0.1091	-0.0038	0.0084	0.0296	0.0414	-0.1280	0.2703	0.0116	0.0247	0.1458	0.0683	-0.2071	-0.1097	-0.2636	-0.0817	0.0020	-0.0734	0.1610	0.0578	-0.2132	0.1102	0.0635	-0.1087	0.1851	0.1475	-0.2732	0.1112	-0.4572	0.1245	0.0993	0.1282	0.0936	0.0382	-0.0693	0.2741	-0.1481	-0.0067	0.0150	-0.1475	-0.0379	0.1459	-0.0526	0.1527	0.0995	0.0402	-0.2076	-0.1107	-0.0836	0.2279	-0.0581	0.1660	0.3421	-0.1803	-0.1986	-0.3100	-0.1623	0.1068	0.0142	0.2924	-0.1915	-0.1318	-0.0458	0.0875	-0.4437	0.2059	0.0794	-0.1399
g__Alitiscatomonas	-0.0337	-1.2808	-0.7791	0.6469	0.0620	-0.9161	0.0023	6.8984	-0.9762	0.5107	-0.2826	-0.5195	-0.5870	0.3935	0.2482	-0.5107	0.6155	-0.3497	0.4413	0.0795	0.2570	-0.6992	0.2116	0.0996	1.9038	0.2503	-0.0297	-1.0179	-0.2159	-0.4010	-0.2441	0.0940	-0.4222	-0.2488	0.1087	-0.2443	-0.1311	0.4485	0.0358	-0.0766	0.0629	1.3092	0.2096	-0.2292	1.3734	-0.4576	0.4506	-1.0652	-0.1144	1.0363	-0.1299	-0.8711	0.9759	0.1038	-0.3132	0.1061	0.6434	-0.1159	0.0042	0.3288	0.0858	-0.6256	-0.2006	0.3049	-0.6739	1.4508	-0.9127	0.5232	-0.1194	-1.7365	-0.3078	-0.0057	-0.2492	0.7457	0.7125	-0.0182	-0.6223	-0.3710	-0.2861	-0.4003	2.1920	0.3218	-0.1403	0.3183	-0.0848	-1.0303	0.2488	-0.2400	-0.7700	0.4764	-1.0376	0.1273	-0.4178	-0.3904	0.0828	0.4882	-0.1301	-0.3821	0.8146	-0.1378	0.3312	0.3726	-1.1418	-0.6830	-0.8147	0.1684	0.4197	-0.4827	-0.5809	-0.6374	1.0648	0.9319	-0.8409	-0.0362	1.4198	-0.6801	0.5501	0.0971	0.8768	1.6397	-0.2818	0.3992	0.0976	0.1872	0.8778	-0.2976	0.0424	-0.0036	0.3468	0.0263	-0.4995	-1.0514	-0.2498	-0.7649	-0.2740	-0.1617	1.3132	-1.1336	0.2027	-1.1228	-0.0414	0.5247	0.0042	1.4718	0.3282	0.1070	0.2777
g__Allocoprobacillus	-0.3663	1.1817	-0.0982	-0.7720	-0.4271	0.1565	-0.0542	-0.9762	4.8811	0.2609	0.4641	0.6900	1.3442	-0.0129	0.3908	0.9821	-1.0167	-0.8803	0.0310	-1.3845	-0.1734	0.7974	0.7909	0.1897	-0.7981	-1.0934	-0.6309	-0.0270	-0.7226	0.0138	-0.3481	-1.0602	-0.1179	0.6435	0.7155	-0.7213	-0.9525	0.3878	-0.4093	-1.2541	-0.2210	0.0026	1.4430	0.0254	0.2063	0.6266	0.7629	0.3772	-0.6506	0.0434	-0.5979	-0.5167	-0.4100	0.8805	0.2559	0.2932	1.4325	-0.1058	0.5190	-0.1998	0.5561	-0.9381	0.3450	0.2678	0.2128	-0.8523	-1.2825	0.1707	-0.3812	0.5940	-1.4678	-0.3207	-0.0250	-0.8127	-0.4969	1.1471	0.9060	-0.5357	0.2021	-0.1410	-1.1755	-0.0406	-0.3080	0.5113	0.0982	0.3945	-0.1301	0.4981	0.4266	0.6178	-0.4202	-0.0496	0.1645	-0.3335	0.1512	0.6432	0.4875	0.3413	-0.1112	0.5866	0.0905	0.3981	0.8046	1.0373	-0.3076	0.0237	-0.3756	-1.8254	-0.8799	-0.6391	0.0028	0.2135	-0.0160	-0.3663	-0.0871	0.5067	0.5400	0.4499	0.1165	-0.8950	0.1151	-0.4324	0.4093	-0.3079	-0.5434	-0.0572	-0.0656	-0.5185	1.6037	-0.2556	0.4184	0.9009	-0.1091	0.7635	1.4319	0.2726	-0.7992	0.3568	1.9601	-0.1366	-0.0381	-0.2688	-0.0193	-0.5085	-0.6637	0.4091	-0.8664
g__Amedibacterium	-0.8378	0.2731	-0.9870	-1.3335	-0.7294	-1.7016	0.0865	0.5107	0.2609	4.4178	-0.1336	0.1754	-0.3094	0.3382	0.8549	-0.0310	-0.5392	-0.5413	-0.3810	-0.8046	-0.3573	0.2816	2.2911	0.4326	0.0330	0.1448	-0.4570	-0.1989	-0.2393	-0.1131	-0.0965	-0.5908	-0.0330	-0.0100	0.6984	-0.5287	-0.8630	-0.2289	-1.0494	-0.8774	0.0313	-0.5592	0.5554	-0.0527	0.8632	0.4768	0.7078	-0.1408	-0.1817	-0.8136	-0.9939	-0.4713	-0.6858	2.7854	-0.1730	0.3565	1.1318	-0.1871	0.6359	-1.0440	0.6795	-1.7043	-0.7152	0.6228	-0.2437	0.3264	-0.4747	0.1766	-0.9848	-0.3003	-1.3014	-0.1212	-0.9886	-0.3457	-0.5580	0.4917	0.3867	-0.3940	-0.1679	-1.0593	0.2425	0.7899	0.3301	0.7181	0.4494	0.0117	0.0727	0.4273	0.5247	0.3139	-0.8609	0.3323	0.1942	-0.9191	0.4762	0.8353	0.5211	-0.6336	0.3145	0.3393	0.6829	0.0689	0.1450	0.3900	-0.8090	0.6080	-0.0754	0.6014	-0.2993	-0.6669	0.6722	-0.1239	0.0149	0.5942	-0.4409	0.2490	0.9937	0.1715	0.1990	-0.5024	-0.2904	-0.0342	0.7046	0.0907	-1.0628	-0.5389	0.1277	-0.0398	2.3137	-0.6662	-0.8616	0.0859	0.3703	0.8258	0.8801	0.4659	-0.1622	0.3067	1.2971	0.0907	1.3691	-0.5013	0.3923	0.5235	-1.0412	0.4433	-0.2782
