#OTU ID	CT1	CT10	CT11	CT13	CT14	CT20	CT22	CT24	CT3	CT31	CT32	CT33	CT36	CT37	CT38	CT4	CT42	CT45	CT47	CT49	CT53	CT54	CT57	CT6	CT7	CT8	CT9	PD1	PD102	PD107	PD108	PD112	PD113	PD118	PD127	PD128	PD134	PD137	PD157	PD158	PD16	PD160	PD161	PD169	PD172	PD174	PD177	PD184	PD190	PD196	PD198	PD204	PD205	PD207	PD212	PD213	PD215	PD217	PD221	PD222	PD224	PD232	PD234	PD24	PD240	PD246	PD256	PD33	PD39	PD40	PD45	PD49	PD56	PD57	PD6	PD61	PD62	PD63	PD64	PD71	PD72	PD73	PD76	PD78	PD79	PD80	PD86	PD87	PD89	PD99	PV117	PV118	PV122	PV124	PV133	PV134	PV136	PV138	PV142	PV144	PV146	PV148	PV150	PV166	PV2	PV21	PV22	PV23	PV28	PV31	PV36	PV37	PV39	PV46	PV51	PV53	PV54	PV57	PV58	PV61	PV7	PV74	PV8	PV86	PV87
g__Acetatifactor	0	89	13	132	34	287	34	29	0	145	0	242	76	29	0	5	0	18	29	267	76	0	0	0	186	0	25	0	60	0	0	0	307	151	0	0	106	25	0	88	0	0	0	13	0	0	0	0	9	103	170	0	16	34	14	163	0	0	45	29	0	0	0	13	4	8	0	0	28	0	134	0	0	0	0	450	0	0	34	349	50	0	115	0	0	209	14	60	23	429	0	0	179	0	0	0	0	167	119	248	147	142	0	10	80	65	92	19	17	1072	117	0	0	8	0	0	57	0	28	96	0	68	116	366	60
g__Acutalibacter	0	0	0	172	0	0	0	62	0	0	0	0	0	0	0	19	0	0	44	0	0	0	12	0	0	0	0	21	0	161	0	0	0	0	91	648	0	0	0	3	0	0	0	118	477	4	0	0	0	48	80	0	0	0	0	78	0	0	0	57	0	99	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	0	0	22	36	0	9	0	0	0	8	0	0	38	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	901	8	0	0	0	8	0	21	41	0	8	0	0	0	0	0	78
g__Adlercreutzia	0	146	0	211	14	195	80	175	1576	47	23	0	26	178	27	275	0	14	8	476	75	0	0	50	183	0	169	0	279	0	0	0	38	0	0	103	0	0	0	0	0	0	0	11	0	0	0	0	38	20	16	0	0	0	16	0	7	0	0	13	57	0	0	0	0	15	0	0	23	0	18	4	0	0	0	0	0	114	0	119	52	0	0	0	0	168	0	0	0	0	0	0	29	0	52	0	0	133	116	70	53	62	0	230	106	126	184	199	0	0	0	40	0	0	0	162	102	107	0	11	0	0	61	245	0
g__Agathobacter	0	582	347	659	1908	903	3767	1957	180	124	191	563	1490	778	1994	323	13926	63	4047	119	568	285	0	377	2185	897	1754	1878	3153	38	4254	54	3288	1679	0	847	0	595	12	2136	1235	0	3269	1322	7000	943	662	256	182	378	815	42	198	214	467	0	456	0	7005	41	288	472	0	1541	0	63	103	52	844	1676	545	4432	0	577	48	627	0	11356	4108	1500	3843	0	186	0	0	120	3468	23	2562	2256	87	1991	164	318	985	158	925	2197	6075	4951	2390	3362	103	83	897	87	139	0	176	262	1465	1095	1010	0	0	0	242	131	1515	862	0	1074	2446	353	299
g__Agathobaculum	49	118	85	40	178	174	299	138	25	14	276	55	119	115	117	159	190	73	55	588	59	326	0	112	123	217	182	0	248	109	426	214	18	315	0	186	100	0	0	87	0	122	293	167	0	95	68	238	38	12	82	93	0	175	58	1320	0	244	65	216	124	39	115	629	103	209	0	99	328	272	255	339	31	0	0	0	0	891	0	225	494	76	542	0	0	73	322	71	304	378	66	88	187	0	36	134	364	12	647	263	751	225	0	87	150	205	245	37	0	517	37	78	422	40	136	147	32	139	160	69	153	80	219	197	0
g__Alistipes	0	57	144	267	427	258	398	560	134	718	541	362	244	1141	648	24	48	21	91	661	110	0	0	0	5	234	100	0	1673	811	0	4	368	270	0	31	0	3	0	0	0	7	0	0	0	12	0	0	83	175	1465	8	0	71	231	0	0	4	0	0	117	0	215	142	21	226	4	0	296	20	182	0	5	11	155	3	0	4	17	1015	6	0	0	0	0	825	52	1694	0	0	25	134	214	67	0	96	8	786	762	45	10	76	55	28	1012	1630	315	217	2289	108	487	101	0	1502	0	884	326	1285	344	810	1153	266	943	254	1450
g__Alistipes_A	0	4	0	0	0	0	2	0	0	9	0	0	0	7	0	0	5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0	0	0	0	44	199	0	0	0	37	0	0	36	9	0	0	0	0	29	0	0	0	0	3	1	0	0	0	0	0	0	0
g__Alitiscatomonas	119	71	56	34	215	38	171	0	0	29	124	60	37	52	0	0	31	0	0	154	58	0	0	0	8	0	10	6441	69	0	671	101	20	0	0	0	92	17	0	95	351	147	182	0	197	0	41	197	20	0	0	91	0	0	0	0	102	0	772	0	106	57	166	25	305	117	0	0	9	30	0	19	0	18	0	509	0	279	0	135	998	688	0	315	54	8	220	10	0	84	0	31	77	25	0	33	28	451	289	106	84	274	0	0	0	0	54	0	0	320	60	0	20	33	0	0	14	59	0	69	601	55	88	98	18
g__Allocoprobacillus	18	0	10	6	0	242	14	50	3	9	0	0	0	0	9	38	0	16	0	16	0	0	476	49	0	76	0	0	15	9	42	0	0	3	543	0	0	0	0	0	12	0	0	0	52	15	0	0	0	0	0	0	0	7	0	67	0	0	92	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	18	0	77	2	0	0	0	0	0	0	0	0	0	26	6	0	22	16	24	63	0	0	0	0	62	0	4	0	19	25	0	0	0	9	0	33
g__Amedibacterium	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	29	23	171	0	0	19	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	54	0	0	13	621	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	148	0	0	0	0	0	17	0	0	0	0
