	statistic	p-value	adjusted-p
g__Alistipes	30.518993766394185	2.3598516756491904e-07	4.200535982655559e-05
g__Lentihominibacter	28.52249530720383	6.403521012943088e-07	5.6991337015193486e-05
g__Gemmiger	26.597026351118362	1.676984738638308e-06	8.845857414145469e-05
g__Adlercreutzia	26.256930787014934	1.9878331267742626e-06	8.845857414145469e-05
g__Hominiventricola	23.726162546783026	7.045783019331096e-06	0.00025082987548818704
g__Hominenteromicrobium	20.993474045565875	2.762644690675275e-05	0.0007025010784859985
g__UBA3402	21.08220635900414	2.6427559298131263e-05	0.0007025010784859985
g__Anaerotardibacter	19.547269242017922	5.693304549444003e-05	0.0012667602622512906
g__Faecalibacterium	18.43717209098011	9.917882288054969e-05	0.0017681928521640978
g__Anaerobutyricum	18.4339913974702	9.933667708787066e-05	0.0017681928521640978
g__Murimonas	17.573266312587243	0.0001527614266801675	0.0021113985834082883
g__Hominilimicola	17.562904054889497	0.00015355495723181847	0.0021113985834082883
g__Ruminococcus_E	17.554477816329538	0.00015420326732757162	0.0021113985834082883
g__Blautia	16.557094939977343	0.00025390573801821296	0.0032282300976601364
g__Faecalimonas	15.665518632139284	0.00039652981824618696	0.0047054871765214185
g__Eubacterium_R	15.007435272585655	0.0005510320209281112	0.00528298451892572
g__Phascolarctobacterium	14.874990991929625	0.000588757899116766	0.00528298451892572
g__Allocoprobacillus	14.858630735798029	0.0005935937661714293	0.00528298451892572
g__Gallintestinimicrobium	15.0889513459497	0.0005290245742771367	0.00528298451892572
g__Lachnoclostridium_B	15.106424372158074	0.0005244228748246373	0.00528298451892572
g__Evtepia	14.028027752550985	0.0008991920893671769	0.00762172342415988
g__Ruminococcus_B	13.330443674388114	0.0012744738691358147	0.010311652213917047
g__Limivivens	12.709389796570807	0.0017385655569955262	0.013454985615008854
g__Pseudoscilispira	12.53600862253438	0.001896008653140239	0.014062064177456772
g__Butyricicoccus	12.366723235103752	0.002063479553333279	0.014691974419732945
g__Veillonella	12.15640605469909	0.0022922921403886434	0.015693384653429943
g__Onthenecus	11.177890120784213	0.003738970172601881	0.023986068577768156
g__Hominicoprocola	11.159722266437551	0.0037730894391994852	0.023986068577768156
g__Ruthenibacterium	10.594801508905578	0.005004585161562483	0.030717798577866273
g__Avimonas	10.238744810996865	0.005979774591264926	0.0354799959081719
g__Flavonifractor	10.16452566524765	0.006205850315146338	0.03563359213213058
g__Vescimonas	9.994102120900134	0.006757846123713598	0.03759051906315689
g__Alistipes_A	9.447227756562848	0.008883018324876408	0.047914462479636384
g__Hominifimenecus	9.29632256910563	0.009579199168912202	0.050149925060775646
g__Eisenbergiella	9.003784218186366	0.011087996977870725	0.05639038463031397
g__Merdivicinus	8.857506967215425	0.011929350539705386	0.058984011001876634
g__Butyribacter	8.76595211501614	0.012488137846563366	0.060078068559142675
g__Lancefieldella	8.516977256902729	0.01414366259374879	0.06625189320229696
g__Fusicatenibacter	8.095296008616495	0.017463400216663677	0.07771213096415336
g__Catenibacterium	8.12614533535064	0.017196099955011656	0.07771213096415336
g__Lactonifactor	7.996718732558095	0.018345712806912204	0.07964724096659444
g__Barnesiella	7.818317825806984	0.020057363959123175	0.08382386299284325
g__Hominibacterium	7.799241970756597	0.020249584880293596	0.08382386299284325
g__Paraprevotella	7.614292566320367	0.022211473858206394	0.08985550788092588
g__RUG11247	7.419615770109938	0.02448222622142951	0.09284273188746815
g__Angelakisella	7.485276394701197	0.023691517712001828	0.09284273188746815
g__Gordonibacter	7.416968441663657	0.024514653925342713	0.09284273188746815
g__CAG-170	7.357123303223002	0.025259280364174925	0.09366983135048201
g__Peptostreptococcus	7.285846606677463	0.026175712464058313	0.09508728201229347
g__Lawsonibacter	6.9313211080025505	0.03125235473866385	0.10907684595063069
g__JAGTTR01	6.962693909944785	0.030765942771483933	0.10907684595063069
g__Fournierella	6.799148851244674	0.03338747579152451	0.11428789790175699
g__Eubacterium_F	6.616195729625064	0.036585698554571715	0.12287272344742953
g__Coprococcus_A	6.488472090645638	0.03899834594873363	0.12814976945547843
g__Pauljensenia	6.458011980508274	0.03959683887669277	0.12814976945547843
g__Weissella	6.250646412640043	0.043922735223407866	0.13961155124583216
g__Ruminococcus_C	6.079393471447063	0.047849398307241935	0.14893381897453242
g__Anaeroglobus	6.040975377580694	0.048777424357368794	0.14893381897453242
g__Enterococcus_D	6.016998692102016	0.04936570404212029	0.14893381897453242
g__Clostridium_A	5.936998175216797	0.05138036992150668	0.1524284307671365
g__Bariatricus	5.835363924462509	0.054058852637469436	0.15774550441753377
g__Aristaeella	5.798958879668694	0.055051870409423824	0.15805214407866838
g__Pararoseburia	5.758622902219535	0.056173427672574834	0.15871222421775114
g__Choladousia	5.564769567684688	0.061890735219722666	0.17213360732985367
g__Lacticaseibacillus	5.531477435938945	0.0629295949507112	0.17233027540348606
g__Enterococcus_B	5.324464518973447	0.0697922533088623	0.18822759225723468
g__CAG-269	5.191472205528526	0.0745909492570876	0.19816699951882977
g__Acetatifactor	4.904510731493085	0.0860991822090282	0.22352269809218467
g__Senegalimassilia	4.891838716641019	0.08664643914809406	0.22352269809218467
g__CAG-177	4.821556389645139	0.0897454279634664	0.22820980253567172
g__Mediterraneibacter_A	4.7412630396577224	0.0934217099827393	0.23421217432292388
g__Guopingia	4.709852952395838	0.09490048372250785	0.2346150847584222
g__CAG-238	4.6134766217070124	0.09958553948222598	0.24282501407994828
g__Muricomes	4.467095220106785	0.10714763704808651	0.25773350533188377
g__Lactococcus	4.30345229515699	0.11628326236406758	0.2759789426773871
g__Bittarella	4.009107740134026	0.13472038508704196	0.3155293229670193
g__Terrisporobacter	3.942980401127302	0.1392491922981871	0.3219007302477572
g__Lachnoclostridium_A	3.916695904784983	0.14109131806393913	0.3219776232741175
g__Wujia	3.8319683598214196	0.14719689304951272	0.3266250880466313
g__Roseburia_D	3.79941393724535	0.1496124539432911	0.3266250880466313
g__Lachnospira	3.8231851950427953	0.1478447418322426	0.3266250880466313
g__Otoolea	3.7588979464106664	0.1526742101635197	0.3266250880466313
g__Lactobacillus	3.7398180740505627	0.15413768199953387	0.3266250880466313
g__Limisoma	3.76640216488223	0.15210243320510763	0.3266250880466313
g__Ligilactobacillus	3.6874276196122606	0.15822870227329225	0.3313495177017179
g__Intestinibacter	3.6424731122947644	0.16182552081893284	0.3329074228778496
g__Enterococcus_A	3.6315325373335847	0.16271317859760062	0.3329074228778496
g__Haemophilus_D	3.541961489434952	0.17016601753789468	0.33929289737896207
g__Parabacteroides	3.531490924633284	0.1710592207401447	0.33929289737896207
g__Coprobacter	3.525730841064864	0.17155258856239655	0.33929289737896207
g__Faecousia	3.4434725386450755	0.17875551060522024	0.34965363612889233
g__Bifidobacterium	3.361078934134684	0.18627346053196786	0.35308240118441236
g__Anaerotruncus	3.383302047677835	0.18421512921079738	0.35308240118441236
g__Scatomonas	3.337920953727746	0.18844285456471446	0.35308240118441236
g__Monoglobus	3.35676218811959	0.18667594233788612	0.35308240118441236
g__Mediterraneibacter	3.218708727032546	0.20001671048162714	0.37086431735135034
g__CAG-488	3.163412424162	0.20562396064669777	0.37135803898835196
g__Rothia	3.1632743819637907	0.20563815352826242	0.37135803898835196
g__Latilactobacillus	3.154504634498153	0.2065418306732969	0.37135803898835196
g__Granulicatella	3.1286898577983537	0.20922502555976918	0.37242054549638914
g__Roseburia	2.976466205923644	0.2257712178225663	0.39016773565453206
g__Anthropogastromicrobium	2.976977294496272	0.2257135306489654	0.39016773565453206
g__Pediococcus	3.0035910809701662	0.22272988037924635	0.39016773565453206
g__Megamonas	2.9112916488010256	0.23324967691495918	0.39921579318137246
g__Sutterella	2.808644699684139	0.24553338582768117	0.41623754930787854
g__Butyricimonas	2.7463753461292506	0.2532982392949926	0.42534987353310083
g__Dorea_D	2.691775700554138	0.2603084902666554	0.4330365539015389
g__Nanosynbacter	2.6591428739131313	0.26459063077109346	0.43608455812272806
g__Oliverpabstia	2.520747857287077	0.28354797996256165	0.45831301097613253
g__Dysosmobacter	2.5311790272661074	0.28207296126082176	0.45831301097613253
g__UMGS1202	2.504912494401594	0.28580193381095903	0.45831301097613253
g__Eubacterium_G	2.3492728580189555	0.30893127772327406	0.490980066381632
g__Thomasclavelia	2.2842482262938177	0.31914041100565427	0.5027167536195262
g__Merdibacter	2.203524711183883	0.33228496311047884	0.5172657603277262
g__Anaerotignum	2.1920998305807826	0.334188553020722	0.5172657603277262
g__Fusobacterium	2.1456953238927596	0.34203313455582945	0.5248439478529107
g__Amedibacterium	2.123353400611439	0.34587539449464116	0.5258063808565574
g__Sarcina	2.090964576840556	0.35152224338163107	0.5258063808565574
g__Kineothrix	2.103417717276653	0.3493402656185216	0.5258063808565574
g__Merdimmobilis	1.9997120821713459	0.36793240450857734	0.5364416668197897
g__Ruminiclostridium_E	1.9847932937523103	0.3706872192069333	0.5364416668197897
g__Enterocloster	1.9956742925535418	0.3686759716694461	0.5364416668197897
g__Pseudoflavonifractor_A	1.989513141492486	0.369813457001649	0.5364416668197897
g__Eubacterium_I	1.896699041332667	0.38737985856825036	0.5472509113107029
g__Anaerostipes	1.9165951653430218	0.3835452846289713	0.5472509113107029
g__Gemella	1.8990501718776058	0.38692473582492265	0.5472509113107029
g__Fusobacterium_A	1.8780212748492369	0.391014499163536	0.5480360696937748
g__Tyzzerella	1.809672814667803	0.4046080706021349	0.5626580981810938
g__Coprococcus	1.7598484863901336	0.41481433549998015	0.5723794706898951
g__Dialister	1.6988137348460224	0.4276685208672467	0.5855768978028455
g__Alitiscatomonas	1.6140012959973717	0.44619435515282224	0.6009537177892691
g__Agathobacter	1.6062799237252159	0.4479203010376783	0.6009537177892691
g__Massilioclostridium	1.6013435563053648	0.44902721610097074	0.6009537177892691
g__Dorea_A	1.5348436168818202	0.46420834485955953	0.6145533599837708
g__Leuconostoc	1.5267365816019502	0.46609384043712954	0.6145533599837708
g__Longicatena	1.4799831618031836	0.47711793240695055	0.6244631762385088
g__Prevotella	1.4429144102248763	0.4860434746294068	0.6269256411886551
g__Eggerthella	1.4572170708294911	0.4825800161294448	0.6269256411886551
g__Enterobacter	1.3361934232455592	0.5126834341973203	0.6518403663365929
g__Eubacterium	1.3436360741545148	0.510779117771769	0.6518403663365929
g__Negativibacillus	1.3191486748466767	0.5170713855929269	0.6527567846492268
g__Collinsella	1.1910336350081159	0.5512775823277902	0.6910380961573709
g__Bacteroides	1.1649704827703327	0.5585086116268807	0.6952065235635299
g__Agathobaculum	1.0272216926173576	0.5983311915546479	0.7396038340050508
g__URXU01	0.9996450570044633	0.6066383111695052	0.744700823366703
g__Holdemanella	0.9119351915039859	0.6338343756920839	0.76427059272764
g__Dorea	0.9068093001745399	0.6354609422679254	0.76427059272764
g__Corynebacterium	0.916785253057555	0.6322991700364778	0.76427059272764
g__Allisonella	0.8527942351932939	0.6528570296207481	0.779791755121001
g__Phocaeicola	0.8132628100081571	0.6658895886426525	0.779791755121001
g__Faecalibacillus	0.8340469214715086	0.6590054590098244	0.779791755121001
g__Citrobacter	0.8135009304002773	0.6658103124170893	0.779791755121001
g__Actinomyces	0.6931326902032359	0.7071119043198519	0.8173111621359328
g__Merdimonas	0.7054259665245466	0.7027788737327203	0.8173111621359328
g__Streptococcus	0.6283752674406997	0.730381971015058	0.8283352390089748
g__Acutalibacter	0.6396647120646313	0.7262707817839941	0.8283352390089748
g__Limosilactobacillus	0.6277501469029696	0.7306102950809497	0.8283352390089748
g__Laedolimicola	0.5589906028351749	0.7561652807117106	0.8515858634089548
g__Pseudobutyricicoccus	0.5470685884178071	0.7606862487754147	0.8515858634089548
g__Clostridium	0.5059707571476327	0.7764792349745553	0.8638331489091928
g__Schaedlerella	0.40456767609447813	0.8168630382245997	0.8920344834599923
g__Parasutterella	0.4174572638245555	0.8116154522954294	0.8920344834599923
g__Slackia	0.41248306369833676	0.8136365334117287	0.8920344834599923
g__Lactiplantibacillus	0.26520605954728516	0.8758126946739233	0.939124455734689
g__Klebsiella	0.2734807768187952	0.8721966290966188	0.939124455734689
g__Brotaphodocola	0.266561842293356	0.8752191899923888	0.939124455734689
g__Anaeromassilibacillus	0.2429240067030464	0.8856247034801077	0.9439592647871807
g__CAG-217	0.18174444139938914	0.9131343831175194	0.967487620207848
g__Hominimerdicola	0.12118842442482687	0.9412050918271982	0.9913284399126704
g__Hungatella	0.08528769834025135	0.9582526117631374	0.99648078584905
g__Sellimonas	0.0872120743680064	0.9573310360214984	0.99648078584905
g__Odoribacter	0.06567995647867216	0.967693399201371	0.99648078584905
g__Clostridium_AP	0.0640347538923307	0.9684897525386834	0.99648078584905
g__Holdemania	0.038118991293672855	0.9811209880785083	0.9969134803341064
g__Enterococcus	0.0178576992135964	0.9911108941940825	0.9969134803341064
g__Anaerofustis	0.020377006150690172	0.9898632238995793	0.9969134803341064
g__Turicibacter	0.017450221020137165	0.9913128428041396	0.9969134803341064
g__Blautia_A	0.0013097545907415828	0.999345337089964	0.999345337089964
