	statistic	p-value	adjusted-p
g__Hominiventricola	105.5185644805212	1.2216163984777496e-23	2.1744771892903943e-21
g__Gemmiger	85.70282775732845	2.4539596122382025e-19	2.1840240548920002e-17
g__Lentihominibacter	79.66011217043659	5.035312494404641e-18	2.987618746680087e-16
g__Alistipes	74.562019272364	6.442630662778155e-17	2.866970644936279e-15
g__Adlercreutzia	67.74153462747529	1.9503504632545906e-15	6.943247649186343e-14
g__Hominilimicola	66.75187938646998	3.1989950118297868e-15	9.490351868428367e-14
g__Anaerotardibacter	63.06420643020861	2.022001953685763e-14	5.14166211080094e-13
g__Anaerobutyricum	60.587448944687104	6.975938213607282e-14	1.5521462525276203e-12
g__UBA3402	59.24166165175287	1.367214397002039e-13	2.704046251848477e-12
g__Gallintestinimicrobium	58.51122237155691	1.9699241178381384e-13	3.5064649297518865e-12
g__Parabacteroides	58.275500025061866	2.21633780509942e-13	3.5498808026054653e-12
g__Fusicatenibacter	57.9681338345604	2.584518675634592e-13	3.5498808026054653e-12
g__Vescimonas	57.961882565132676	2.5926095749365756e-13	3.5498808026054653e-12
g__Evtepia	57.401779047357415	3.4305365765121576e-13	4.361682218708315e-12
g__Ruminococcus_C	55.58528707571845	8.507623731176073e-13	1.009571349432894e-11
g__Otoolea	55.18848108421719	1.0374653488020508e-12	1.1541802005422815e-11
g__Murimonas	53.53374863669462	2.372980589242212e-12	2.4846502640300812e-11
g__Acetatifactor	52.82826942145045	3.376657804990901e-12	3.3391393849354465e-11
g__Limivivens	51.08083745525487	8.089786889803422e-12	7.578852980973731e-11
g__Hominenteromicrobium	50.43132204619411	1.119380043920271e-11	9.962482390890412e-11
g__Ruminococcus_E	47.928580303034536	3.9123799489350026e-11	3.3162077662401453e-10
g__CAG-170	47.67464521286715	4.44203860571721e-11	3.5940130537166517e-10
g__Dysosmobacter	47.36446432683808	5.187250870892859e-11	4.014481108777951e-10
g__Anaerotignum	46.99757123537579	6.231707705353158e-11	4.6218498814702594e-10
g__Wujia	46.908099024396144	6.516819894676553e-11	4.6399757650097056e-10
g__Lachnoclostridium_B	45.67634836266008	1.20644346778388e-10	8.259497587135794e-10
g__Lawsonibacter	45.573469319464415	1.2701262058373595e-10	8.373424616261111e-10
g__Eubacterium_R	45.31687556212669	1.4439943805498907e-10	9.179678562067162e-10
g__Hominicoprocola	44.87856805241775	1.797805768384349e-10	1.1034807819738417e-09
g__Onthenecus	44.31120668518204	2.3875018956200936e-10	1.4165844580679223e-09
g__Eubacterium_I	43.08770374896805	4.401736206398557e-10	2.5274485314159453e-09
g__Paraprevotella	42.17939456054175	6.932036585918606e-10	3.855945350917225e-09
g__Lacticaseibacillus	41.2551737956836	1.1004057100303878e-09	5.935521708648758e-09
g__Agathobacter	39.134509213737246	3.177234708878562e-09	1.6633758181776e-08
g__Anthropogastromicrobium	38.79294552047167	3.768937293503645e-09	1.8680855369314462e-08
g__CAG-177	38.78806245276305	3.778150524131015e-09	1.8680855369314462e-08
g__Catenibacterium	38.326822985217035	4.758128146356649e-09	2.289045432571577e-08
g__Pseudoscilispira	38.024480720574175	5.53463420669812e-09	2.5925391810322775e-08
g__Bariatricus	37.74150099169906	6.375836773996099e-09	2.9099972968495014e-08
g__Phocaeicola	36.96039664883404	9.422189687983427e-09	4.026135324336334e-08
g__CAG-269	36.98894729154622	9.288640399747886e-09	4.026135324336334e-08
g__Choladousia	36.94397547341241	9.499869866411574e-09	4.026135324336334e-08
g__Hominifimenecus	35.49748270422775	1.958031030101555e-08	8.105337752513414e-08
g__Faecousia	35.1043990474595	2.383288413130449e-08	9.641484944027726e-08
g__Mediterraneibacter	34.93969331976833	2.5878672582320296e-08	1.0236452710340028e-07
g__Hominibacterium	33.39369027193731	5.605989658291222e-08	2.1692742590779075e-07
g__Eubacterium_G	33.037937812092565	6.697349411549638e-08	2.536442968629437e-07
g__Coprococcus	32.08152559966047	1.0804016294516053e-07	4.0064893758830365e-07
g__Enterococcus_B	31.99371585735095	1.1288932435508747e-07	4.1008774969807286e-07
g__Coprococcus_A	31.73761644555336	1.2831107822718068e-07	4.567874384887632e-07
g__Brotaphodocola	31.352547675728474	1.555538539138697e-07	5.324728076282464e-07
g__Roseburia_D	31.35906139577996	1.5504806088084725e-07	5.324728076282464e-07
g__CAG-238	31.25230866911898	1.6354881400553368e-07	5.492771489242452e-07
g__Agathobaculum	30.869798758147088	1.9801968756003293e-07	6.527315626978863e-07
g__Ruminococcus_B	29.42140281563821	4.08529623380985e-07	1.3221504174875516e-06
g__Enterococcus_A	29.384243411258087	4.161909341630701e-07	1.3228926121611871e-06
g__Barnesiella	29.1766764090013	4.617056802990245e-07	1.4418177384776555e-06
g__Angelakisella	28.457000580377127	6.616690766626431e-07	2.030639580102594e-06
g__Ruthenibacterium	28.32246736761478	7.077084061510625e-07	2.1351202761845617e-06
g__JAGTTR01	27.830525577441076	9.050616366948277e-07	2.6850161888613224e-06
g__RUG11247	26.325797044546615	1.9205508303294166e-06	5.604230291780921e-06
g__Bittarella	26.191346693398053	2.054098799280834e-06	5.8036442265395e-06
g__Aristaeella	26.219895202835076	2.0249863434222224e-06	5.8036442265395e-06
g__Roseburia	26.14810330516872	2.098995517677221e-06	5.837831283539771e-06
g__Phascolarctobacterium	25.843609491186843	2.4441705264231525e-06	6.592017509844373e-06
g__Enterocloster	25.843559834799798	2.4442312115153294e-06	6.592017509844373e-06
g__Pauljensenia	24.75180789582666	4.219035764229569e-06	1.120878158258005e-05
g__Peptostreptococcus	24.100002855314408	5.844547236850654e-06	1.52989618846973e-05
g__Dorea_A	23.865649210523667	6.571130927077811e-06	1.6951613116229713e-05
g__Butyribacter	23.721567736588728	7.061988645469285e-06	1.795762826990761e-05
g__Alistipes_A	23.18886576031979	9.217258750563622e-06	2.310805714930035e-05
g__Pararoseburia	23.04725138774096	9.893568149071152e-06	2.445909903520368e-05
g__Dorea	22.801720508959146	1.1185858017957315e-05	2.7275105852005508e-05
g__Guopingia	22.54933158341423	1.2690386854593168e-05	3.052552513672411e-05
g__Butyricimonas	22.40364637191223	1.3649288176209457e-05	3.2394310604870446e-05
g__Oliverpabstia	21.62127060774044	2.0183698105230687e-05	4.727234556225082e-05
g__CAG-488	21.542831454186047	2.099102217573076e-05	4.852470061402695e-05
g__Enterococcus_D	21.504211716839432	2.140029484088961e-05	4.883657027792757e-05
g__Avimonas	20.984917598095013	2.774489221473826e-05	6.251380777497988e-05
g__Sutterella	20.897888140963957	2.897885677864108e-05	6.395720449012695e-05
g__Dorea_D	20.889261547464187	2.9104121144383615e-05	6.395720449012695e-05
g__Allocoprobacillus	20.83278246728043	2.99377230098463e-05	6.498676458234929e-05
g__Faecalimonas	20.4993240640854	3.536945257228341e-05	7.585256093814997e-05
g__Senegalimassilia	20.07561837821693	4.371544048430566e-05	9.26351000738858e-05
g__Collinsella	19.514477206380466	5.787421535734631e-05	0.00012119541568950168
g__Holdemanella	19.473398529637716	5.907520499488533e-05	0.00012227193591964638
g__Merdivicinus	18.50033980381432	9.609532389554165e-05	0.00019660882360237258
g__Pediococcus	17.435413590531766	0.00016366207155578825	0.00033104373564693534
g__Fusobacterium	17.036675434758305	0.00019977122575142388	0.00039954245150284777
g__Veillonella	16.989983407227303	0.0002044899549751716	0.00040443568872867275
g__Eubacterium_F	16.927248912535394	0.00021100590137705294	0.0004127368180781914
g__Lachnospira	16.886203958478518	0.00021538100557372099	0.00041671542382741664
g__Limosilactobacillus	16.86395418763956	0.0002177904722524227	0.00041684628022506707
g__Sarcina	16.700173908482522	0.00023637596364241983	0.00044760554817394396
g__Alitiscatomonas	16.615974669849045	0.0002465397462898544	0.00046193762989046405
g__Prevotella	16.531233925945283	0.0002572101859976596	0.0004769105532039939
g__Schaedlerella	16.237656881114482	0.0002978774372196837	0.0005466204518051927
g__Eisenbergiella	15.796071099859867	0.00037147256346331997	0.0006747154724129689
g__Lactobacillus	15.665490245998363	0.0003965354462617764	0.0007129627215615777
g__Holdemania	15.621331136106335	0.00040538814461245717	0.0007215908974101737
g__Gemella	15.483740146375114	0.00043425871967794606	0.0007653272485413306
g__Actinomyces	15.319476025611493	0.00047143090347799473	0.0008226931452851281
g__Pseudobutyricicoccus	14.992766330536067	0.0005550884068576309	0.0009528010094080291
g__Anaerotruncus	14.986994263324336	0.0005566927245979496	0.0009528010094080291
g__Gordonibacter	14.85201579263643	0.0005955603110364782	0.001009616527280887
g__Butyricicoccus	14.310466726326464	0.0007807673317788747	0.0013110998590249027
g__Parasutterella	14.24858725742072	0.0008053016512310228	0.0013396606908329164
g__Granulicatella	14.053111281091862	0.0008879850590161372	0.0014635309306006705
g__Tyzzerella	13.751220899904602	0.0010326670546429812	0.001686373722261015
g__UMGS1202	13.690896546680355	0.0010642890373163659	0.001722213169475574
g__Corynebacterium	12.699876503418228	0.0017468549982415044	0.002801262970153043
g__Mediterraneibacter_A	12.395504059050515	0.0020339978680243777	0.0032326037545387432
g__Intestinibacter	11.908053370754192	0.0025953687159741617	0.004088279924277883
g__Enterococcus	11.418433040388518	0.0033152689739338955	0.0051764726084231
g__Laedolimicola	11.039439096331764	0.004006971547044147	0.006202095090207462
g__Anaeroglobus	10.484890921122481	0.005287311102405739	0.008113287726105357
g__Terrisporobacter	10.349965639187191	0.005656314090893167	0.008605332548538323
g__Ruminiclostridium_E	10.320560379817978	0.005740091144700831	0.008658781557260577
g__Nanosynbacter	9.641842376019458	0.008059359533146064	0.01205517644453781
g__Clostridium_A	9.39756733994346	0.009106346691122305	0.01350774759183142
g__Negativibacillus	9.321370360446279	0.009459978390501375	0.013868753708824327
g__Thomasclavelia	9.31175881883824	0.00950555029481218	0.013868753708824327
g__CAG-217	9.239484392953914	0.009855336474173297	0.014262194247177616
g__Blautia	9.18826894697558	0.010110968305958272	0.014514131923069133
g__Coprobacter	9.165182120884703	0.010228359634164257	0.0145651841190499
g__Bacteroides	8.70532266849575	0.012872508905148418	0.018184972897749355
g__Limisoma	8.329934918241468	0.015530220258905462	0.021766765402245453
g__Citrobacter	8.188426044781751	0.0166688591413828	0.023180132243485457
g__Odoribacter	8.155301698176569	0.01694723052961966	0.02338455065327364
g__Monoglobus	8.093197100758006	0.017481736870692915	0.02393653202294876
g__Anaerostipes	7.571363456136958	0.022693386783382098	0.030835288911771095
g__Weissella	7.419009589929561	0.024489647666209338	0.03302391882261562
g__Latilactobacillus	7.305064889061641	0.025925390960651582	0.03469713978192467
g__Slackia	7.24786036631163	0.02667762224506156	0.03543743850463402
g__Rothia	7.030973573941193	0.02973332563518661	0.03920394046713494
g__Blautia_A	7.00753436920254	0.030083838311470826	0.039374435437072114
g__Lachnoclostridium_A	6.842897154896539	0.03266508274842711	0.04215337698119051
g__Clostridium_AP	6.841940689401463	0.03268070799665332	0.04215337698119051
g__Lactonifactor	6.739735080295457	0.034394192891461846	0.0440443621200015
g__Merdimmobilis	6.643055033897849	0.03609764984716919	0.045895583377115114
g__Streptococcus	6.258045836001002	0.04376053400075792	0.05524379469599226
g__Fusobacterium_A	6.242593514595807	0.04409994440014125	0.055280211994543256
g__URXU01	6.111914334933024	0.047077638014388655	0.05860013682909917
g__Bifidobacterium	5.825295182603295	0.05433169116259013	0.06716000713153503
g__Hominimerdicola	5.405914505351699	0.06700706263554529	0.0822569458560487
g__Flavonifractor	5.113689413499305	0.07754904479228343	0.09454609570566062
g__Lactococcus	5.098006023581002	0.07815955132045545	0.09464217778939503
g__Pseudoflavonifractor_A	4.963669119300476	0.08358973448688724	0.1005335995855806
g__Acutalibacter	4.794088294496377	0.09098649889639238	0.10869528056079089
g__Amedibacterium	4.747622279370903	0.0931251362044417	0.11050849496260415
g__Leuconostoc	4.520171706895141	0.10434152629045622	0.12299862039537224
g__Lancefieldella	4.464191029711479	0.10730333863668932	0.12565785708770197
g__Enterobacter	4.099647617878163	0.12875758752533942	0.14979640901640795
g__Eggerthella	4.064229295593555	0.13105808622002257	0.15148272303353258
g__Haemophilus_D	3.909153938393008	0.14162437549708254	0.16263960540955286
g__Scatomonas	3.836997461183819	0.14682722397242315	0.16753362735314947
g__Anaeromassilibacillus	2.8541883869568485	0.24000531897775293	0.2721079412614014
g__Hungatella	2.719852443129131	0.25667971368266945	0.28917081668047573
g__Merdibacter	2.6858486845380924	0.2610810607561159	0.2922794265068468
g__Eubacterium	2.2164027295136988	0.33015225083326377	0.36729437905200596
g__Clostridium	2.0292366482077293	0.3625407765047739	0.40082147961397363
g__Faecalibacillus	1.9664059695714362	0.37411090623728444	0.4110601315446705
g__Longicatena	1.77258517379493	0.412181048975244	0.4501118203533339
g__Allisonella	1.4919697415167403	0.4742669781734514	0.5147531836272826
g__Turicibacter	1.233082060029006	0.5398083930827866	0.5823387513256728
g__Fournierella	1.2166533795394716	0.5442608247490943	0.583604980755053
g__Faecalibacterium	1.1586045366271038	0.5602891617161707	0.5971944358411879
g__Klebsiella	0.9636948530073857	0.6176412902672309	0.6544056527831376
g__Ligilactobacillus	0.9060493096716523	0.6357024602934105	0.6695564374687992
g__Kineothrix	0.8155422344364367	0.6651310984575751	0.6917939339391685
g__Anaerofustis	0.8117729343998966	0.6663858197783277	0.6917939339391685
g__Massilioclostridium	0.8055124490285174	0.6684750372895337	0.6917939339391685
g__Muricomes	0.7900611509843363	0.6736594414649992	0.6931293675189009
g__Dialister	0.7203667910309148	0.6975483870936648	0.7135839821992663
g__Megamonas	0.6767543417699842	0.7129263421228198	0.7251479365592111
g__Sellimonas	0.2537190459385274	0.8808574041388691	0.89086714736772
g__Lactiplantibacillus	0.22257928033859517	0.8946795762535009	0.8997342631249896
g__Merdimonas	0.1203451951572338	0.9416020013328648	0.9416020013328648
