	statistic	p-value	adjusted-p
PWY-7371	52.632745739643674	3.72344101999682e-12	5.502152652350643e-10
PWY-6263	53.56651399642568	2.334421520767815e-12	5.502152652350643e-10
PWY-7090	52.38672214812303	4.210831111492839e-12	5.502152652350643e-10
PWY-7374	48.87959970391887	2.4318108144693896e-11	2.383174598180002e-09
PWY-5198	44.351196696507465	2.3402378785122963e-10	6.852518378305885e-09
PWY-7286	44.351196696507465	2.3402378785122963e-10	6.852518378305885e-09
METHANOGENESIS-PWY	44.351196696507465	2.3402378785122963e-10	6.852518378305885e-09
PWY-6654	44.351196696507465	2.3402378785122963e-10	6.852518378305885e-09
PWY-6350	44.351196696507465	2.3402378785122963e-10	6.852518378305885e-09
PWY-6349	44.351196696507465	2.3402378785122963e-10	6.852518378305885e-09
PWY-6141	44.351196696507465	2.3402378785122963e-10	6.852518378305885e-09
PWY-6167	44.351196696507465	2.3402378785122963e-10	6.852518378305885e-09
PWY-6174	44.26170823188974	2.4473279922521017e-10	6.852518378305885e-09
PWY-6148	44.30672057084242	2.392863209483884e-10	6.852518378305885e-09
LACTOSECAT-PWY	41.0282807178728	1.23259965297878e-09	3.221193759784545e-08
P241-PWY	40.7336367278651	1.4282465070638298e-09	3.4992039423063836e-08
PWY-922	38.59037466506561	4.17067754911281e-09	9.264991038289861e-08
PWY-5910	38.550655866749594	4.254332619622896e-09	9.264991038289861e-08
PWY-6478	36.21594924208775	1.3671197068238447e-08	2.820583816183932e-07
PWY-7391	30.17143201693083	2.807739307074817e-07	5.291397173645969e-06
PWY-6396	30.152335266064938	2.8346770573103403e-07	5.291397173645969e-06
GOLPDLCAT-PWY	29.01998069372213	4.993341395956793e-07	8.897226487341195e-06
POLYAMINSYN3-PWY	28.757190380681777	5.69449808599438e-07	9.705405433520855e-06
PWY-181	28.449012208726497	6.643171909193509e-07	1.0850514118349397e-05
CODH-PWY	26.779915701609415	1.5304360689162012e-06	2.3997237560606035e-05
PWY-1622	26.455248554994927	1.8001793169476762e-06	2.714116508628804e-05
PWY-5989	26.336119812967354	1.910663667271587e-06	2.7740005835943042e-05
PWY-7323	26.185613727636337	2.059995285375306e-06	2.8839933995254282e-05
COLANSYN-PWY	25.960303696135043	2.305640956197466e-06	3.012704182764689e-05
PWY-6470	25.994808352673083	2.2662044455259655e-06	3.012704182764689e-05
PWY-6282	25.81467858629776	2.47978351695261e-06	3.135726253694913e-05
PWY-7664	25.655968362286785	2.684585599171686e-06	3.2886173589853155e-05
PWYG-321	24.92273148216873	3.873447033310053e-06	4.601185566841033e-05
FASYN-INITIAL-PWY	24.68729421058947	4.357347290852974e-06	5.0237651118069584e-05
PWY-7003	24.581110901124475	4.5949372860041816e-06	5.1463297603246834e-05
PWY-7456	23.865719937400083	6.5708985534041e-06	7.154978424817797e-05
PWY-5154	23.79110998684905	6.820655383595739e-06	7.226207865863594e-05
PWY-6507	23.46407288914679	8.032325707749929e-06	8.28597809852098e-05
GLUCOSE1PMETAB-PWY	22.90041547550686	1.0647262535667823e-05	0.00010701863882004581
VALDEG-PWY	22.16861765266684	1.5351324111230414e-05	0.00015044297629005805
PWY-6572	22.019620468998415	1.653865425895149e-05	0.000158125669988024
HISTSYN-PWY	21.375000880594143	2.2828508270912567e-05	0.0002042411637605576
BIOTIN-BIOSYNTHESIS-PWY	21.445438381023905	2.2038509775396752e-05	0.0002042411637605576
PWY-6749	21.3665625858288	2.292502858536871e-05	0.0002042411637605576
PWY0-1533	21.13287863614419	2.5766397998181487e-05	0.00022445395589526984
