	statistic	p-value	adjusted-p
isoprene biosynthesis II (engineered)	13.294401115972416	0.0012976497205946687	0.04238989087275918
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	13.489834823410149	0.0011768458689945277	0.04238989087275918
archaetidylserine and archaetidylethanolamine biosynthesis	13.489834823410149	0.0011768458689945277	0.04238989087275918
archaetidylinositol biosynthesis	13.489834823410149	0.0011768458689945277	0.04238989087275918
CDP-archaeol biosynthesis	13.489834823410149	0.0011768458689945277	0.04238989087275918
mevalonate pathway II (archaea)	13.294401115972416	0.0012976497205946687	0.04238989087275918
flavin biosynthesis II (archaea)	13.489834823410149	0.0011768458689945277	0.04238989087275918
phosphopantothenate biosynthesis III	13.489834823410149	0.0011768458689945277	0.04238989087275918
tetrahydromethanopterin biosynthesis	13.687422484306719	0.0010661393471236517	0.04238989087275918
methanogenesis from H2 and CO2	13.489834823410149	0.0011768458689945277	0.04238989087275918
coenzyme B biosynthesis	13.489834823410149	0.0011768458689945277	0.04238989087275918
factor 420 biosynthesis	13.489834823410149	0.0011768458689945277	0.04238989087275918
coenzyme M biosynthesis I	8.370061000696428	0.01522174166641407	0.4589940564026396
superpathway of L-alanine biosynthesis	7.83338529005195	0.01990682492436573	0.5573910978822405
adenosine deoxyribonucleotides de novo biosynthesis II	7.335097001763643	0.025539002107741064	0.6257055516396561
guanosine deoxyribonucleotides de novo biosynthesis II	7.335097001763643	0.025539002107741064	0.6257055516396561
Bifidobacterium shunt	7.06642249392246	0.029210961481120724	0.6361498278110735
dTDP-N-acetylthomosamine biosynthesis	7.124367701034373	0.028376786338050294	0.6361498278110735
heterolactic fermentation	6.754816602316595	0.03413580992916955	0.7042756574860244
superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	6.396604223270941	0.040831472438629265	0.8002968597971336
glycolysis II (from fructose 6-phosphate)	6.080196267696266	0.04783019550274077	0.8148670192823066
1,4-dihydroxy-6-naphthoate biosynthesis I	6.13087677042757	0.04663339399238183	0.8148670192823066
glycolysis I (from glucose 6-phosphate)	5.995876710043348	0.04988981750708	0.8148670192823066
aspartate superpathway	6.068303422470109	0.04811546137399847	0.8148670192823066
formaldehyde assimilation I (serine pathway)	5.893937469235788	0.05249860219385842	0.8231780823997
